repetition,method,layout_render_validation_seconds
0,TMTM,0.7163525830255821
0,ST-MTM,0.8556960419518873
0,X-only RA-MTM,1.7454231249867007
0,Dual-Y,1.602667958009988
1,ST-MTM,0.8287975830025971
1,X-only RA-MTM,1.6549509590258822
1,Dual-Y,1.5602116659283638
1,TMTM,0.7394153750501573
2,X-only RA-MTM,1.6698435420403257
2,Dual-Y,1.709325416944921
2,TMTM,0.7086655419552699
2,ST-MTM,0.7513506659306586
