Dataset,Method,SNS,TW,TD,Runtime_seconds,calibration,rendered,iou_min,interior_only,reference_nmae,motion_step_nmae,trajectory_nmae,growth_step_log_mae,total_growth_log_mae,distance_nrmse,matched_pairs,growth_pairs,collapsed_intervals,features,reference_features,frames,affine_scale,affine_shift,first_run_including_validation_seconds,TW_valid_frames,TW_k1_mean,TW_k1_valid_frames
Ring,TMTM,0.1364750855601469,0.7936507936507936,282.1538461538462,0.024127082899212837,native,False,0.0,False,0.26881118881118915,0.021092377941693007,0.0719704952581665,3.5034936073774046e-05,0.004197005675298779,0.8579197266619875,146,146,0,165,165,40,1.0,0.0,0.03289654094260186,3,0.7039682539682542,27
Ring,ST-MTM,0.06436551634457119,0.9365079365079364,780.7123005934789,0.1136362919351086,native,False,0.0,False,0.38891820702996344,0.03542136502647605,0.15465068313875846,0.15375039942250435,2.5420427987898946,0.28242999991827156,146,146,0,165,165,40,1.0,0.0,0.12175837496761233,3,0.9226631393298059,27
Ring,My Method,0.14696541491575169,0.7063492063492064,961.5956878364758,0.43384187505580485,native,False,0.0,False,0.04400910313640646,0.03568399971818623,0.052678208622524536,2.395344196965235e-17,2.2773805633336544e-17,0.5057005784286088,146,146,0,165,165,40,1.0,0.0,0.4413771670078859,3,0.6082451499118166,27
