repetition,method,layout_render_seconds,including_validation_seconds
0,TMTM,0.024127082899212837,0.03289654094260186
0,ST-MTM,0.1136362919351086,0.12175837496761233
0,My Method,0.43384187505580485,0.4413771670078859
1,ST-MTM,0.11088758299592882,0.11853483307641
1,My Method,0.41335654095746577,0.4211248329374939
1,TMTM,0.023982750019058585,0.03284383309073746
2,My Method,0.44367462501395494,0.4519412909867242
2,TMTM,0.02447887510061264,0.03352954110596329
2,ST-MTM,0.11542487505357713,0.12348312500398606
