t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
0,0,0.0,,,,False,True,,104.46153846153852,104.46153846153852,1.0,43875.0
1,0,0.0,0.0,0.0,0.0,True,True,1.0,104.46153846153852,104.46153846153852,1.0,43875.0
2,0,1.3534147347811433e-16,1.3534147347811433e-16,0.0,1.3534147347811433e-16,True,True,1.0,104.4615384615385,104.46153846153852,1.0,43875.0
3,0,2.0301221021717148e-16,6.767073673905717e-17,0.0,2.0301221021717148e-16,True,True,1.0,104.46153846153848,104.46153846153852,1.0,43875.0
4,0,1.3534147347811433e-16,6.767073673905717e-17,0.0,1.3534147347811433e-16,True,True,1.0,104.4615384615385,104.46153846153852,1.0,43875.0
5,0,1.3534147347811433e-16,0.0,0.0,1.3534147347811433e-16,True,True,1.0,104.4615384615385,104.46153846153852,1.0,43875.0
6,0,1.3534147347811433e-16,0.0,0.0,1.3534147347811433e-16,True,True,1.0,104.4615384615385,104.46153846153852,1.0,43875.0
7,0,1.3534147347811433e-16,0.0,0.0,1.3534147347811433e-16,True,True,1.0,104.4615384615385,104.46153846153852,1.0,43875.0
8,0,0.42051282051282085,0.4205128205128207,3.886705197443856,0.42051282051282085,True,False,0.010256410256410256,16.153846153846153,104.46153846153852,0.5,450.0
8,1,0.42051282051282085,,,,False,False,,48.46153846153846,136.76923076923083,0.5,450.0
9,0,0.4021978021978025,0.018315018315018333,0.4054651081081644,0.4021978021978025,True,False,0.6666666666666666,21.538461538461537,106.00000000000006,0.5,675.0
9,1,0.43882783882783916,0.018315018315018285,0.4054651081081644,0.018315018315018285,True,False,0.6666666666666666,43.07692307692307,135.23076923076928,0.5,675.0
10,0,0.4068547941699205,0.004656991972117992,0.1541506798272369,0.4068547941699205,True,False,0.75,20.192307692307693,105.63181446799099,0.5714285714285836,900.0
10,1,0.4405811032659775,0.001753264438138336,0.15415067982722042,0.02006828275315662,True,False,1.0,43.07692307692307,135.59895476277833,0.4285714285714448,675.0
11,0,0.4462554402565445,0.03940064608662405,0.3364722366211348,0.4462554402565445,True,False,0.25,16.153846153846153,109.8674886077205,0.19999999999998863,225.0
11,1,0.4204112264101521,0.02016987685582538,0.3364722366212129,0.00010159410266875771,True,False,1.0,43.07692307692307,131.363280623055,0.6000000000000227,675.0
11,2,0.25342616342517804,,,,False,False,,32.30769230769231,85.5271866269797,0.19999999999998863,225.0
12,1,0.4422259317505541,0.021814705340401967,0.1823215567939641,0.02171311123773321,True,False,0.75,36.34615384615385,129.2135995137702,0.6666666666666856,900.0
12,2,0.30212427859759666,0.04869811517241859,0.1823215567938693,0.04869811517241861,True,False,0.5,24.23076923076923,87.67686773626453,0.3333333333333428,450.0
13,1,0.446402168306782,0.004176236556227899,0.1541506798273151,0.02588934779396111,True,False,0.6,36.34615384615385,130.09060919057805,0.5714285714285552,900.0
13,2,0.2594865035798303,0.04263777501776636,0.15415067982731523,0.006060340154652232,True,False,0.6666666666666666,32.30769230769231,86.79985805945667,0.4285714285714164,675.0
14,1,0.47078037877852563,0.024378210471743683,0.1541506798273151,0.050267558265704795,True,False,1.0,36.34615384615385,135.21003338964422,0.6666666666666856,900.0
14,2,0.31203137003116344,0.05254486645133317,0.15415067982722996,0.058605206605985366,True,False,0.3333333333333333,16.153846153846153,81.68043386039048,0.1666666666666572,225.0
14,3,0.2529274681453121,,,,False,False,,48.46153846153846,101.576306772054,0.1666666666666572,225.0
15,1,0.6173776194561233,0.1465972406775978,0.15415067982711617,0.19686479894330253,True,False,0.25,16.153846153846153,145.80314623963207,0.14285714285716722,225.0
15,4,0.40558930926462317,,,,False,False,,48.46153846153846,133.63529340710932,0.14285714285716722,225.0
15,5,0.2158948427809896,,,,False,False,,64.61538461538461,109.95330159939243,0.1428571428571388,225.0
15,2,0.33438653840941707,0.02235516837825361,0.15415067982722996,0.080960374984239,True,True,0.3333333333333333,5.384615384615384,75.60578845059297,0.4285714285714164,675.0
15,3,0.2314109568661593,0.02151651127915278,0.15415067982722985,0.02151651127915278,True,False,1.0,48.46153846153846,97.05783940343191,0.1428571428571388,225.0
16,1,0.6290184316668709,0.011640812210747446,0.0,0.20850561115404997,True,False,1.0,16.153846153846153,148.24771680388903,0.14285714285716722,225.0
16,4,0.40558931705338147,7.788758336703592e-09,0.0,7.788758336703592e-09,True,False,1.0,48.46153846153846,133.63529504274857,0.14285714285716722,225.0
16,2,0.32771108001605287,0.006675458393364205,0.0,0.07428491659087479,True,True,1.0,5.384615384615384,74.20394218798648,0.4285714285714164,675.0
16,5,0.21589483439254234,8.388447270135657e-09,0.0,8.388447270135657e-09,True,False,1.0,64.61538461538461,109.9532998378185,0.1428571428571388,225.0
16,3,0.22644560364846486,0.004965353217694442,0.0,0.02648186449684722,True,False,1.0,48.46153846153846,96.01511522771608,0.1428571428571388,225.0
17,1,0.5583986542392501,0.07061977742762081,0.3566749439386755,0.13788583372642918,True,False,1.0,16.153846153846153,133.41756354408867,0.10000000000002274,225.0
17,2,0.4266888997889159,0.09897781977286302,0.3566749439386897,0.17326273636373785,True,True,0.75,4.038461538461538,93.64313049413387,0.4000000000000057,900.0
17,4,0.43093326788590464,0.02534395083252316,0.3566749439389596,0.02534395862128146,True,True,0.25,52.5,142.99598625603997,0.39999999999997726,900.0
17,3,0.1599230976501868,0.06652250599827805,0.3566749439387608,0.09300437049512528,True,False,1.0,48.46153846153846,82.04538896807769,0.09999999999999432,225.0
18,2,0.3288424967972614,0.0978464029916545,0.09531017980431072,0.07541633337208335,True,True,0.5,3.230769230769231,72.28769355819412,0.45454545454546746,1125.0
18,4,0.42608266671238343,0.004850601173521206,0.09531017980423966,0.020493357447760256,True,True,1.0,52.5,141.97736000960052,0.36363636363637397,900.0
18,3,0.26646625561262927,0.10654315796244244,0.09531017980423966,0.01353878746731716,True,False,1.0,48.46153846153846,104.4194521401906,0.09090909090909349,225.0
18,6,0.3057954127408184,,,,False,False,,32.30769230769231,96.52472898326417,0.09090909090909349,225.0
19,7,0.49446052785354155,,,,False,True,,24.23076923076923,128.06748008001296,0.19999999999998863,450.0
19,2,0.45865490990970886,0.12981241311244748,0.0953101798042395,0.20522874648453082,True,True,0.4,0.0,96.31753108103887,0.19999999999998863,450.0
19,4,0.40323105429907247,0.022851612413310952,0.09531017980423956,0.0023582549655506973,True,False,0.3333333333333333,64.61538461538461,149.29390601818983,0.39999999999997726,900.0
19,8,0.3530657262043994,,,,False,True,,0.0,74.14380250292388,0.09999999999999432,225.0
