Dataset,Method,SNS,TW,TD,Runtime_seconds
Ring,TMTM,0.1364750855601469,0.7936507936507936,282.1538461538462,0.024127082899212837
Ring,ST-MTM,0.06436551634457119,0.9365079365079364,780.7123005934789,0.1136362919351086
Ring,My Method,0.14696541491575169,0.7063492063492064,961.5956878364758,0.43384187505580485
