t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
0,0,0.0,,,,False,True,,104.46153846153852,104.46153846153852,211.07692307692307,43875.0
1,0,0.0,0.0,0.0,0.0,True,True,1.0,104.46153846153852,104.46153846153852,211.07692307692307,43875.0
2,0,1.3534147347811433e-16,1.3534147347811433e-16,0.0,1.3534147347811433e-16,True,True,1.0,104.4615384615385,104.46153846153852,211.07692307692307,43875.0
3,0,2.0301221021717148e-16,6.767073673905717e-17,0.0,2.0301221021717148e-16,True,True,1.0,104.46153846153848,104.46153846153852,211.07692307692307,43875.0
4,0,1.3534147347811433e-16,6.767073673905717e-17,0.0,1.3534147347811433e-16,True,True,1.0,104.4615384615385,104.46153846153852,211.07692307692307,43875.0
5,0,1.3534147347811433e-16,0.0,0.0,1.3534147347811433e-16,True,True,1.0,104.4615384615385,104.46153846153852,211.07692307692307,43875.0
6,0,1.3534147347811433e-16,0.0,0.0,1.3534147347811433e-16,True,True,1.0,104.4615384615385,104.46153846153852,211.07692307692307,43875.0
7,0,1.3534147347811433e-16,0.0,0.0,1.3534147347811433e-16,True,True,1.0,104.4615384615385,104.46153846153852,211.07692307692307,43875.0
8,0,0.4102564102564106,0.41025641025641046,0.0051151006667709,0.4102564102564106,True,False,0.010256410256410256,16.153846153846153,102.30769230769238,2.1538461538461537,450.0
8,1,0.2717948717948721,,,,False,False,,48.46153846153846,105.5384615384616,2.1538461538461537,450.0
9,0,0.38461538461538497,0.025641025641025633,0.0,0.38461538461538497,True,False,0.6666666666666666,21.538461538461537,102.30769230769238,3.230769230769231,675.0
9,1,0.30256410256410293,0.030769230769230795,0.0,0.030769230769230795,True,False,0.6666666666666666,43.07692307692307,106.61538461538468,3.230769230769231,675.0
10,0,0.3858974358974362,0.0012820512820512521,0.0,0.3858974358974362,True,False,0.75,20.192307692307693,101.2307692307693,4.3076923076923075,900.0
10,1,0.30256410256410293,0.0,0.0,0.030769230769230795,True,False,1.0,43.07692307692307,106.61538461538468,3.230769230769231,675.0
11,0,0.40000000000000024,0.014102564102564094,0.0,0.40000000000000024,True,False,0.25,16.153846153846153,100.15384615384622,1.0769230769230769,225.0
11,1,0.30256410256410293,0.0,0.0,0.030769230769230795,True,False,1.0,43.07692307692307,106.61538461538468,3.230769230769231,675.0
11,2,0.33333333333333365,,,,False,False,,32.30769230769231,102.30769230769238,1.0769230769230769,225.0
12,1,0.3294871794871798,0.026923076923076886,0.0,0.057692307692307716,True,False,0.75,36.34615384615385,105.5384615384616,4.3076923076923075,900.0
12,2,0.36666666666666703,0.03333333333333332,0.0,0.03333333333333333,True,False,0.5,24.23076923076923,101.2307692307693,2.1538461538461537,450.0
13,1,0.3294871794871798,0.0,0.0,0.057692307692307716,True,False,0.6,36.34615384615385,105.5384615384616,4.3076923076923075,900.0
13,2,0.32820512820512854,0.038461538461538464,0.0,0.005128205128205144,True,False,0.6666666666666666,32.30769230769231,101.2307692307693,3.230769230769231,675.0
14,1,0.3346153846153849,0.005128205128205144,0.0,0.06282051282051279,True,False,1.0,36.34615384615385,106.61538461538468,4.3076923076923075,900.0
14,2,0.40000000000000024,0.07179487179487178,0.0,0.0666666666666666,True,False,0.3333333333333333,16.153846153846153,100.15384615384622,1.0769230769230769,225.0
14,3,0.2564102564102568,,,,False,False,,48.46153846153846,102.30769230769238,1.0769230769230769,225.0
15,1,0.4307692307692311,0.09615384615384616,0.0,0.15897435897435902,True,False,0.25,16.153846153846153,106.61538461538468,1.0769230769230769,225.0
