t,method,raster_length,nominal_topology_failed,nominal_width_collapsed,topology_equal,hierarchy_legal,max_overlap,anchor_raster_error,width_raster_error,root_level_error_scalar
30,ST-MTM,196,False,True,True,True,0.0,0.7429984095053328,0.4000000000000057,1.4861555529850062e-36
31,ST-MTM,196,False,True,True,True,0.0,0.6873194199822734,0.22222222222222854,1.7622886659787255e-35
32,ST-MTM,196,False,True,True,True,0.0,0.8000982437562243,1.5069261541352585,1.979996827279649e-34
33,ST-MTM,196,False,True,True,True,0.0,0.6515916471437038,0.2727272727272805,2.1099083637785903e-33
34,ST-MTM,196,False,True,True,True,0.0,0.7456886230799,1.416017063226165,2.134525193469159e-32
35,ST-MTM,196,False,True,True,True,0.0,0.7488861254054342,1.234198881407978,2.0520823694580073e-31
36,ST-MTM,196,False,True,True,True,0.0,0.8190497262321372,1.5220776692867883,1.876514185221277e-30
37,ST-MTM,196,False,True,True,True,0.0,0.5133727461319211,0.4166666666666856,1.6336959641477324e-29
38,ST-MTM,196,False,True,True,True,0.0,0.7095887509663612,1.3887443359534342,1.3553237045696052e-28
39,ST-MTM,196,False,True,True,True,0.0,0.5836233454213016,0.18181818181818699,1.0723798902714933e-27
0,RA-MTM,784,False,False,True,True,0.0,0.073348002805524,0.13341543513956822,0.0
1,RA-MTM,784,False,False,True,True,0.0,0.07334800280553821,0.13341543513956822,0.0
2,RA-MTM,784,False,False,True,True,0.0,0.0733480028055169,0.13341543513956822,0.0
3,RA-MTM,784,False,False,True,True,0.0,0.07334800280553821,0.13341543513956822,0.0
4,RA-MTM,784,False,False,True,True,0.0,0.0733480028055169,0.13341543513956822,0.0
5,RA-MTM,784,False,False,True,True,0.0,0.07334800280553821,0.13341543513956822,0.0
6,RA-MTM,784,False,False,True,True,0.0,0.0733480028055169,0.13341543513956822,0.0
7,RA-MTM,784,False,False,True,True,0.0,0.09442720679327365,0.13341543513956822,0.0
8,RA-MTM,784,False,False,True,True,0.0,0.08198716722058208,0.0013683634373287124,0.0
9,RA-MTM,784,False,False,True,True,0.0,0.033773384130164175,0.0020525451559934016,0.0
10,RA-MTM,784,False,False,True,True,0.0,0.04821780299126033,0.0027367268746574247,0.0
11,RA-MTM,784,False,False,True,True,0.0,0.10545501465792739,0.0020525451559934016,0.0
12,RA-MTM,784,False,False,True,True,0.0,0.10250884173298402,0.0027367268746574247,0.0
13,RA-MTM,784,False,False,True,True,0.0,0.10250884173298402,0.0027367268746574247,0.0
14,RA-MTM,784,False,False,True,True,0.0,0.10379826112584567,0.0027367268746574247,0.0
15,RA-MTM,784,False,False,True,True,0.0,0.12485818445840735,0.0020525451559934016,0.0
16,RA-MTM,784,False,False,True,True,0.0,0.12275880447037224,0.0020525451559934016,0.0
17,RA-MTM,784,False,False,True,True,0.0,0.03592566510662465,0.0027367268746574247,0.0
18,RA-MTM,784,False,False,True,True,0.0,0.12017388741526247,0.003420908593322114,0.0
19,RA-MTM,784,False,False,True,True,0.0,0.08673845311776418,0.0027367268746574247,0.0
20,RA-MTM,784,False,False,True,True,0.0,0.08605427139910304,0.0013683634373287124,0.0
21,RA-MTM,784,False,False,True,True,0.0,0.12642745359789842,0.0027367268746574247,0.0
22,RA-MTM,784,False,False,True,True,0.0,0.12133436486884719,0.0013683634373287124,0.0
23,RA-MTM,784,False,False,True,True,0.0,0.13160618825360437,0.0013683634373287124,8.407790785948902e-45
24,RA-MTM,784,False,False,True,True,0.0,0.12623415856174347,0.0013683634373287124,1.6255062186167878e-43
25,RA-MTM,784,False,False,True,True,0.0,0.07811590311975891,0.0020525451559934016,2.71992031925447e-42
26,RA-MTM,784,False,False,True,True,0.0,0.12456241218687936,0.0020525451559934016,4.2918969365340497e-41
27,RA-MTM,784,False,False,True,True,0.0,0.1160498531306473,0.0020525451559934016,6.381821492197368e-40
28,RA-MTM,784,False,False,True,True,0.0,0.08316755083997407,0.003420908593322114,8.952863658706577e-39
29,RA-MTM,784,False,False,True,True,0.0,0.09745798890531532,0.003420908593322114,1.18625679946978e-37
30,RA-MTM,784,False,False,True,True,0.0,0.1175990361988255,0.0027367268746574247,1.4861555529850062e-36
31,RA-MTM,784,False,False,True,True,0.0,0.12313955201886984,0.0013683634373287124,1.7622886659787255e-35
32,RA-MTM,784,False,False,True,True,0.0,0.0996221211738515,0.0013683634373287124,1.979996827279649e-34
33,RA-MTM,784,False,False,True,True,0.0,0.0996221211738515,0.0020525451559934016,2.1099083637785903e-33
34,RA-MTM,784,False,False,True,True,0.0,0.06383916597998507,0.0020525451559934016,2.134525193469159e-32
35,RA-MTM,784,False,False,True,True,0.0,0.11711993732468784,0.003420908593322114,2.0520823694580073e-31
36,RA-MTM,784,False,False,True,True,0.0,0.12313955201886984,0.003420908593322114,1.876514185221277e-30
37,RA-MTM,784,False,False,True,True,0.0,0.12313955201886984,0.003420908593322114,1.6336959641477324e-29
38,RA-MTM,784,False,False,True,True,0.0,0.12313955201886984,0.0020525451559934016,1.3553237045696052e-28
39,RA-MTM,784,False,False,True,True,0.0,0.13365418500346493,0.0013683634373287124,1.0723798902714933e-27
