scene,method,t,feature,q,area,x,z,width
translation,TMTM,0,A,27.361425339366516,776.953125,47.787940269916604,47.787940269916604,6.278409090909091
translation,TMTM,0,B,57.67451298701299,541.40625,53.12884936082569,53.14305390628024,4.375
translation,TMTM,0,C,78.10060975609755,720.703125,62.219758451734776,62.219758451734776,5.823863636363636
translation,TMTM,1,A,28.02801724137931,815.625,47.81634936082569,47.83055390628024,6.590909090909091
translation,TMTM,1,B,58.490566037735846,558.984375,53.412940269916604,53.412940269916604,4.517045454545454
translation,TMTM,1,C,78.63636363636364,696.09375,61.99248572446206,62.006690269916604,5.625
translation,TMTM,2,A,28.464506172839506,854.296875,47.67430390628024,47.67430390628024,6.903409090909091
translation,TMTM,2,B,58.94954819277108,583.59375,53.49816754264387,53.51237208809842,4.715909090909091
translation,TMTM,2,C,79.4057881773399,713.671875,62.1913493608257,62.1913493608257,5.767045454545454
translation,TMTM,3,A,29.0625,780.46875,47.787940269916604,47.80214481537114,6.306818181818182
translation,TMTM,3,B,59.46774193548387,544.921875,53.18566754264387,53.18566754264387,4.403409090909091
translation,TMTM,3,C,79.93566176470588,717.1875,62.1913493608257,62.20555390628023,5.795454545454545
translation,TMTM,4,A,29.9025974025974,812.109375,47.87316754264387,47.87316754264387,6.5625
translation,TMTM,4,B,60.16826923076923,548.4375,53.38453117900751,53.39873572446206,4.431818181818182
translation,TMTM,4,C,80.30464824120602,699.609375,62.04930390628023,62.04930390628023,5.653409090909091
translation,TMTM,5,A,30.322745901639344,857.8125,47.64589481537114,47.66009936082569,6.931818181818182
translation,TMTM,5,B,60.752245508982035,587.109375,53.52657663355296,53.52657663355296,4.744318181818182
translation,TMTM,5,C,81.20977722772277,710.15625,62.13453117900751,62.14873572446206,5.738636363636363
translation,TMTM,6,A,30.795200892857142,787.5,47.787940269916604,47.80214481537114,6.363636363636363
translation,TMTM,6,B,61.31009615384615,548.4375,53.21407663355296,53.22828117900751,4.431818181818182
translation,TMTM,6,C,81.74261083743842,713.671875,62.13453117900751,62.13453117900751,5.767045454545454
translation,TMTM,7,A,31.645742358078603,805.078125,47.84475845173478,47.84475845173478,6.505681818181818
translation,TMTM,7,B,61.95859872611465,551.953125,53.35612208809842,53.35612208809842,4.4602272727272725
translation,TMTM,7,C,82.10625,703.125,62.07771299718932,62.09191754264387,5.681818181818182
translation,TMTM,8,A,32.13520408163265,861.328125,47.67430390628024,47.67430390628024,6.9602272727272725
translation,TMTM,8,B,62.627245508982035,587.109375,53.55498572446206,53.55498572446206,4.744318181818182
translation,TMTM,8,C,83.06902985074628,706.640625,62.10612208809842,62.10612208809842,5.7102272727272725
translation,TMTM,9,A,32.50545851528384,805.078125,47.81634936082569,47.81634936082569,6.505681818181818
translation,TMTM,9,B,63.236464968152866,551.953125,53.32771299718933,53.32771299718933,4.4602272727272725
translation,TMTM,9,C,83.55816831683168,710.15625,62.07771299718932,62.09191754264387,5.738636363636363
translation,TMTM,10,A,33.41814159292036,794.53125,47.84475845173478,47.85896299718933,6.420454545454545
translation,TMTM,10,B,63.59172077922078,541.40625,53.27089481537114,53.28509936082569,4.375
translation,TMTM,10,C,83.98125,703.125,62.10612208809842,62.12032663355296,5.681818181818182
translation,TMTM,11,A,33.91203703703704,854.296875,47.70271299718933,47.70271299718933,6.903409090909091
translation,TMTM,11,B,64.50224550898204,587.109375,53.55498572446206,53.55498572446206,4.744318181818182
translation,TMTM,11,C,84.80841708542714,699.609375,62.10612208809842,62.10612208809842,5.653409090909091
translation,TMTM,12,A,34.31573275862069,815.625,47.787940269916604,47.80214481537114,6.590909090909091
translation,TMTM,12,B,64.921875,562.5,53.38453117900751,53.39873572446206,4.545454545454545
translation,TMTM,12,C,85.3125,703.125,62.04930390628023,62.063508451734776,5.681818181818182
translation,TMTM,13,A,35.239955357142854,787.5,47.84475845173478,47.85896299718933,6.363636363636363
translation,TMTM,13,B,65.3921568627451,537.890625,53.24248572446206,53.24248572446206,4.346590909090909
translation,TMTM,13,C,85.70504926108374,713.671875,62.162940269916604,62.162940269916604,5.767045454545454
translation,TMTM,14,A,35.734375,843.75,47.73112208809842,47.74532663355296,6.818181818181818
translation,TMTM,14,B,66.26136363636364,580.078125,53.52657663355296,53.52657663355296,4.6875
translation,TMTM,14,C,86.68341708542714,699.609375,62.07771299718932,62.07771299718932,5.653409090909091
translation,TMTM,15,A,36.09775641025641,822.65625,47.73112208809842,47.74532663355296,6.6477272727272725
translation,TMTM,15,B,66.67824074074075,569.53125,53.38453117900751,53.39873572446206,4.6022727272727275
translation,TMTM,15,C,87.03358208955224,706.640625,62.02089481537115,62.02089481537115,5.7102272727272725
translation,TMTM,16,A,36.93156108597285,776.953125,47.81634936082569,47.81634936082569,6.278409090909091
translation,TMTM,16,B,67.18344155844156,541.40625,53.15725845173478,53.17146299718933,4.375
translation,TMTM,16,C,87.58004926108374,713.671875,62.219758451734776,62.219758451734776,5.767045454545454
translation,TMTM,17,A,37.5,836.71875,47.787940269916604,47.80214481537114,6.761363636363636
translation,TMTM,17,B,67.93981481481481,569.53125,53.49816754264387,53.51237208809842,4.6022727272727275
translation,TMTM,17,C,88.41053299492386,692.578125,62.02089481537115,62.02089481537115,5.596590909090909
translation,TMTM,18,A,37.8860294117647,836.71875,47.70271299718933,47.71691754264387,6.761363636363636
translation,TMTM,18,B,68.4375,576.5625,53.44134936082569,53.45555390628024,4.659090909090909
translation,TMTM,18,C,88.90858208955224,706.640625,62.02089481537115,62.02089481537115,5.7102272727272725
translation,TMTM,19,A,38.735986547085204,783.984375,47.81634936082569,47.81634936082569,6.3352272727272725
translation,TMTM,19,B,69.05844155844156,541.40625,53.18566754264387,53.19987208809842,4.375
translation,TMTM,19,C,89.3841911764706,717.1875,62.219758451734776,62.23396299718932,5.795454545454545
translation,TMTM,20,A,39.311708860759495,833.203125,47.84475845173478,47.84475845173478,6.732954545454545
translation,TMTM,20,B,69.7360248447205,566.015625,53.52657663355296,53.52657663355296,4.573863636363636
translation,TMTM,20,C,90.21045918367346,689.0625,61.96407663355296,61.97828117900751,5.568181818181818
translation,ST-MTM,0,A,27.361425339366516,776.953125,23.756440782422615,23.756440782422615,9.323437499999997
translation,ST-MTM,0,B,57.67451298701299,541.40625,52.95244361209507,52.95244361209507,6.496875000000003
translation,ST-MTM,0,C,78.10060975609755,720.703125,86.4276636879594,86.4276636879594,8.6484375
translation,ST-MTM,1,A,28.02801724137931,815.625,23.74041730751681,23.74041730751681,9.637945670628184
translation,ST-MTM,1,B,58.490566037735846,558.984375,53.03902228205058,53.03902228205058,6.6053162139218955
translation,ST-MTM,1,C,78.63636363636364,696.09375,86.35710849290967,86.35710849290967,8.225488115449906
translation,ST-MTM,2,A,28.464506172839506,854.296875,23.61826670732578,23.61826670732578,9.71553308823529
translation,ST-MTM,2,B,58.94954819277108,583.59375,53.02653343893546,53.02653343893546,6.636948529411768
translation,ST-MTM,2,C,79.4057881773399,713.671875,86.49174793621583,86.49174793621583,8.116268382352928
translation,ST-MTM,3,A,29.0625,780.46875,23.6900805199428,23.6900805199428,9.34950516351119
translation,ST-MTM,3,B,59.46774193548387,544.921875,52.957483795567555,52.957483795567555,6.527807659208264
translation,ST-MTM,3,C,79.93566176470588,717.1875,86.48898376696671,86.48898376696671,8.59143717728054
translation,ST-MTM,4,A,29.9025974025974,812.109375,23.862373329129277,23.862373329129277,9.645531143344712
translation,ST-MTM,4,B,60.16826923076923,548.4375,52.973345426290244,52.973345426290244,6.513865187713307
translation,ST-MTM,4,C,80.30464824120602,699.609375,86.30082932705754,86.30082932705754,8.30935366894198
translation,ST-MTM,5,A,30.322745901639344,857.8125,23.65569036402183,23.65569036402183,9.739600326264274
translation,ST-MTM,5,B,60.752245508982035,587.109375,52.998240503089924,52.998240503089924,6.666037928221854
translation,ST-MTM,5,C,81.20977722772277,710.15625,86.48261721536531,86.48261721536531,8.06311174551388
translation,ST-MTM,6,A,30.795200892857142,787.5,23.6471141384764,23.6471141384764,9.40137221269297
translation,ST-MTM,6,B,61.31009615384615,548.4375,53.01913778133899,53.01913778133899,6.547384219554033
translation,ST-MTM,6,C,81.74261083743842,713.671875,86.47029616266168,86.47029616266168,8.519993567753005
translation,ST-MTM,7,A,31.645742358078603,805.078125,23.82744046953417,23.82744046953417,9.562020051194537
translation,ST-MTM,7,B,61.95859872611465,551.953125,52.99235299018988,52.99235299018988,6.555620733788402
translation,ST-MTM,7,C,82.10625,703.125,86.31675462275301,86.31675462275301,8.351109215017061
translation,ST-MTM,8,A,32.13520408163265,861.328125,23.61619911239639,23.61619911239639,9.779516721044047
translation,ST-MTM,8,B,62.627245508982035,587.109375,53.00296321723834,53.00296321723834,6.666037928221854
translation,ST-MTM,8,C,83.06902985074628,706.640625,86.51738575284234,86.51738575284234,8.023195350734085
translation,ST-MTM,9,A,32.50545851528384,805.078125,23.56137135637474,23.56137135637474,9.52949617346939
translation,ST-MTM,9,B,63.236464968152866,551.953125,53.06768772705332,53.06768772705332,6.533322704081627
translation,ST-MTM,9,C,83.55816831683168,710.15625,86.50748899904903,86.50748899904903,8.405931122448976
translation,ST-MTM,10,A,33.41814159292036,794.53125,23.808725369466277,23.808725369466277,9.534375000000004
translation,ST-MTM,10,B,63.59172077922078,541.40625,52.93678916923523,52.93678916923523,6.496875000000003
translation,ST-MTM,10,C,83.98125,703.125,86.39103354377558,86.39103354377558,8.4375
translation,ST-MTM,11,A,33.91203703703704,854.296875,23.61806935406754,23.61806935406754,9.763392857142854
translation,ST-MTM,11,B,64.50224550898204,587.109375,53.045647210504946,53.045647210504946,6.709821428571431
translation,ST-MTM,11,C,84.80841708542714,699.609375,86.47283151790458,86.47283151790458,7.995535714285722
translation,ST-MTM,12,A,34.31573275862069,815.625,23.56902499690754,23.56902499690754,9.589104729729733
translation,ST-MTM,12,B,64.921875,562.5,52.994162534732425,52.994162534732425,6.613175675675677
translation,ST-MTM,12,C,85.3125,703.125,86.57336055083711,86.57336055083711,8.266469594594582
translation,ST-MTM,13,A,35.239955357142854,787.5,23.82636002717558,23.82636002717558,9.449999999999996
translation,ST-MTM,13,B,65.3921568627451,537.890625,52.93757583192502,52.93757583192502,6.454687500000006
translation,ST-MTM,13,C,85.70504926108374,713.671875,86.37261222337646,86.37261222337646,8.564062500000006
translation,ST-MTM,14,A,35.734375,843.75,23.63917862463613,23.63917862463613,9.722682119205302
translation,ST-MTM,14,B,66.26136363636364,580.078125,53.03655640920133,53.03655640920133,6.68434395695364
translation,ST-MTM,14,C,86.68341708542714,699.609375,86.46081304863961,86.46081304863961,8.061723923841072
translation,ST-MTM,15,A,36.09775641025641,822.65625,23.631049843119968,23.631049843119968,9.590766331658294
translation,ST-MTM,15,B,66.67824074074075,569.53125,53.0539032692926,53.0539032692926,6.639761306532662
translation,ST-MTM,15,C,87.03358208955224,706.640625,86.4515949700645,86.4515949700645,8.23822236180905
translation,ST-MTM,16,A,36.93156108597285,776.953125,23.775945627671156,23.775945627671156,9.355698529411768
translation,ST-MTM,16,B,67.18344155844156,541.40625,52.955601631500336,52.955601631500336,6.519355536332185
translation,ST-MTM,16,C,87.58004926108374,713.671875,86.40500082330558,86.40500082330558,8.593695934256061
translation,ST-MTM,17,A,37.5,836.71875,23.66600851472096,23.66600851472096,9.754711055276381
translation,ST-MTM,17,B,67.93981481481481,569.53125,52.985044221368085,52.985044221368085,6.639761306532662
translation,ST-MTM,17,C,88.41053299492386,692.578125,86.48549534638802,86.48549534638802,8.07427763819095
translation,ST-MTM,18,A,37.8860294117647,836.71875,23.599144247407313,23.599144247407313,9.657649253731343
translation,ST-MTM,18,B,68.4375,576.5625,52.99343309890974,52.99343309890974,6.65485074626865
translation,ST-MTM,18,C,88.90858208955224,706.640625,86.54397073616002,86.54397073616002,8.15625
translation,ST-MTM,19,A,38.735986547085204,783.984375,23.756780802112193,23.756780802112193,9.391620051635108
translation,ST-MTM,19,B,69.05844155844156,541.40625,52.97161847796506,52.97161847796506,6.485692771084331
translation,ST-MTM,19,C,89.3841911764706,717.1875,86.40814880239984,86.40814880239984,8.59143717728054
translation,ST-MTM,20,A,39.311708860759495,833.203125,23.66658671870129,23.66658671870129,9.762784090909093
translation,ST-MTM,20,B,69.7360248447205,566.015625,52.9761860234574,52.9761860234574,6.632102272727266
translation,ST-MTM,20,C,90.21045918367346,689.0625,86.4937753403184,86.4937753403184,8.073863636363626
translation,RA-MTM,0,A,27.361425339366516,776.953125,26.361425339366516,26.361411183853313,9.3234375
translation,RA-MTM,0,B,57.67451298701299,541.40625,56.67451298701299,56.674522851035874,6.496875
translation,RA-MTM,0,C,78.10060975609755,720.703125,79.10060975609755,79.10027648513403,8.6484375
translation,RA-MTM,1,A,28.02801724137931,815.625,27.02801724137931,27.02801000605147,9.7875
translation,RA-MTM,1,B,58.490566037735846,558.984375,57.490566037735846,57.4905709964303,6.7078125
translation,RA-MTM,1,C,78.63636363636364,696.09375,79.63636363636364,79.63601176953871,8.353125
translation,RA-MTM,2,A,28.464506172839506,854.296875,27.464506172839506,27.464493106453812,10.2515625
translation,RA-MTM,2,B,58.94954819277108,583.59375,57.94954819277108,57.94955711877932,7.003125
translation,RA-MTM,2,C,79.4057881773399,713.671875,80.4057881773399,80.40540034493107,8.5640625
translation,RA-MTM,3,A,29.0625,780.46875,28.0625,28.06248701864211,9.365625
translation,RA-MTM,3,B,59.46774193548387,544.921875,58.46774193548387,58.46775099904454,6.5390625
translation,RA-MTM,3,C,79.93566176470588,717.1875,80.93566176470588,80.93533203618722,8.606250000000001
translation,RA-MTM,4,A,29.9025974025974,812.109375,28.9025974025974,28.90258915866773,9.7453125
translation,RA-MTM,4,B,60.16826923076923,548.4375,59.16826923076923,59.16827479809828,6.58125
translation,RA-MTM,4,C,80.30464824120602,699.609375,81.30464824120602,81.30430207242476,8.3953125
translation,RA-MTM,5,A,30.322745901639344,857.8125,29.322745901639344,29.322733894145003,10.293750000000001
translation,RA-MTM,5,B,60.752245508982035,587.109375,59.752245508982035,59.75225372722606,7.0453125000000005
translation,RA-MTM,5,C,81.20977722772277,710.15625,82.20977722772277,82.20938647913763,8.521875
translation,RA-MTM,6,A,30.795200892857142,787.5,29.795200892857142,29.795188810712126,9.450000000000001
translation,RA-MTM,6,B,61.31009615384615,548.4375,60.31009615384615,60.31010456819724,6.58125
translation,RA-MTM,6,C,81.74261083743842,713.671875,82.74261083743842,82.74227579296863,8.5640625
translation,RA-MTM,7,A,31.645742358078603,805.078125,30.645742358078603,30.64573315199679,9.660937500000001
translation,RA-MTM,7,B,61.95859872611465,551.953125,60.95859872611465,60.95860503770781,6.6234375000000005
translation,RA-MTM,7,C,82.10625,703.125,83.10625,83.10590602525998,8.4375
translation,RA-MTM,8,A,32.13520408163265,861.328125,31.13520408163265,31.135193138490436,10.3359375
translation,RA-MTM,8,B,62.627245508982035,587.109375,61.627245508982035,61.627252968185154,7.0453125000000005
translation,RA-MTM,8,C,83.06902985074628,706.640625,84.06902985074628,84.0686377638782,8.4796875
translation,RA-MTM,9,A,32.50545851528384,805.078125,31.50545851528384,31.505447225914097,9.660937500000001
translation,RA-MTM,9,B,63.236464968152866,551.953125,62.236464968152866,62.23647270802644,6.6234375000000005
translation,RA-MTM,9,C,83.55816831683168,710.15625,84.55816831683168,84.55782292220125,8.521875
translation,RA-MTM,10,A,33.41814159292036,794.53125,32.41814159292036,32.418132500110296,9.534375
translation,RA-MTM,10,B,63.59172077922078,541.40625,62.59172077922078,62.59172697520654,6.496875
translation,RA-MTM,10,C,83.98125,703.125,84.98125,84.98091576116859,8.4375
translation,RA-MTM,11,A,33.91203703703704,854.296875,32.91203703703704,32.91202837044225,10.2515625
translation,RA-MTM,11,B,64.50224550898204,587.109375,63.50224550898204,63.50225146503688,7.0453125000000005
translation,RA-MTM,11,C,84.80841708542714,699.609375,85.80841708542714,85.80803014714913,8.3953125
translation,RA-MTM,12,A,34.31573275862069,815.625,33.31573275862069,33.31572343764132,9.7875
translation,RA-MTM,12,B,64.921875,562.5,63.921875,63.92188142826168,6.75
translation,RA-MTM,12,C,85.3125,703.125,86.3125,86.31214612116885,8.4375
translation,RA-MTM,13,A,35.239955357142854,787.5,34.239955357142854,34.239943294845894,9.450000000000001
translation,RA-MTM,13,B,65.3921568627451,537.890625,64.3921568627451,64.39216510172474,6.4546875
translation,RA-MTM,13,C,85.70504926108374,713.671875,86.70504926108374,86.70471924752415,8.5640625
translation,RA-MTM,14,A,35.734375,843.75,34.734375,34.73436643017008,10.125
translation,RA-MTM,14,B,66.26136363636364,580.078125,65.26136363636364,65.2613695281216,6.9609375
translation,RA-MTM,14,C,86.68341708542714,699.609375,87.68341708542714,87.68303852798425,8.3953125
