scene,t,anchor_error,interval_extent_error
translation,0,0.01902695199399318,0.030948491695163227
translation,1,0.027179464404682108,0.03376053370786458
translation,2,0.029235044358802753,0.027062469467513672
translation,3,0.021837013994655763,0.03197896311675663
translation,4,0.018293656758487487,0.046309385686370774
translation,5,0.021208590692964435,0.023787860283340123
translation,6,0.02644083255322016,0.015544088910600884
translation,7,0.02027662432827526,0.011754244015630633
translation,8,0.015130218312762622,0.03806561431363065
translation,9,0.025243566578417642,0.02163074010747401
translation,10,0.021192598925253492,0.037550378602833945
translation,11,0.024885107383887828,0.012312988519784795
translation,12,0.0234871152906706,0.00842696629213524
translation,13,0.024789984386529795,0.0468246213971657
translation,14,0.028692904250121387,0.01667073766487448
translation,15,0.021181629846751093,0.024442782120175366
translation,16,0.003954302400373422,0.04841383732291149
translation,17,0.021739130434781373,0.034179592085980204
translation,18,0.021769662921343524,0.020556759892524923
translation,19,0.016822441678840505,0.04841383732291149
translation,20,0.02802009909972014,0.05061446629213506
growth,0,0.01902695199399318,0.030948491695163227
growth,1,0.02885409406151851,0.00842696629213524
growth,2,0.02351218264280419,0.03638022105520289
growth,3,0.023473801706408892,0.0468246213971657
growth,4,0.02640227383754734,0.04785509281875733
growth,5,0.02496813332074055,0.022757388861750272
growth,6,0.024573438821832383,0.044152265510502886
growth,7,0.016443063320608076,0.024486290913532827
growth,8,0.026807523204688266,0.0358649853444053
growth,9,0.022630679042503488,0.022800897655105956
growth,10,0.026807523204688266,0.024303095994136825
growth,11,0.020992780763180008,0.026031998045921156
growth,12,0.02321335298681504,0.018914875427455513
growth,13,0.026807523204688266,0.04462399242794213
growth,14,0.02079158835169892,0.03497420004885221
growth,15,0.025410640799929496,0.05328682217879788
growth,16,0.013495359062041246,0.024163409868098285
growth,17,0.019385817109927928,0.03956781265266329
growth,18,0.018604822079367977,0.029542470688813438
growth,19,0.026578529555450814,0.045514777723500544
growth,20,0.0266813430306172,0.05263190034196086
translation_growth,0,0.01902695199399318,0.030948491695163227
translation_growth,1,0.01488840376160283,0.04242336345872033
translation_growth,2,0.02725995914197199,0.03970749877870006
translation_growth,3,0.014752455233058015,0.0468246213971657
translation_growth,4,0.01794120632665397,0.02004152418172911
translation_growth,5,0.01689897670893714,0.03647639838788397
translation_growth,6,0.02803374726192942,0.04298210796287272
translation_growth,7,0.02120930199143345,0.03193545432339917
translation_growth,8,0.025472040607372293,0.05057095749877938
translation_growth,9,0.02242343104971667,0.02987451148021414
translation_growth,10,0.026449856933481897,0.043637029799706184
translation_growth,11,0.01761724474841131,0.03651990718124232
translation_growth,12,0.024085310981405428,0.03160341353199847
translation_growth,13,0.024548393032787885,0.03548943575964891
translation_growth,14,0.025712599928183977,0.01956979726428898
translation_growth,15,0.024571662321008603,0.012452674645823336
translation_growth,16,0.028191026502184968,0.04176844162188509
translation_growth,17,0.025647288715191507,0.0299180202735716
translation_growth,18,0.028061151182498634,0.034458964338057285
translation_growth,19,0.018533219345382435,0.008566652418172893
translation_growth,20,0.022675228716082074,0.052771586468001175
