t,track,leaf,support_samples,centroid_x,centroid_y,peak_x,peak_y,centroid_anchor_x,centroid_anchor_y,peak_anchor_x,peak_anchor_y
0,0,44,195,104.46153846153852,104.46153846153847,32.30769230769231,48.46153846153846,104.46153842999978,104.46153842999972,32.79365451621548,48.553504422406846
1,0,44,195,104.46153846153852,104.46153846153847,32.30769230769231,48.46153846153846,104.46153845803423,104.46153845803417,32.7936545162155,48.55350442240687
2,0,44,195,104.4615384615385,104.46153846153847,32.30769230769231,48.46153846153846,104.46153846114913,104.4615384611491,32.793654516215476,48.553504422406874
3,0,44,195,104.46153846153848,104.46153846153848,32.30769230769231,48.46153846153846,104.46153846149522,104.46153846149522,32.7936545162155,48.55350442240685
4,0,44,195,104.4615384615385,104.46153846153848,32.30769230769231,48.46153846153846,104.46153846153369,104.46153846153368,32.793654516215476,48.55350442240687
5,0,30,195,104.4615384615385,104.46153846153848,32.30769230769231,32.30769230769231,104.46153846153797,104.46153846153796,32.7936545162155,32.75082883712258
6,0,30,195,104.4615384615385,104.46153846153848,32.30769230769231,32.30769230769231,104.46153846153844,104.46153846153842,32.793654516215476,32.7889995510967
7,0,43,195,104.4615384615385,104.46153846153848,16.153846153846153,48.46153846153846,104.4615384615385,104.46153846153848,26.11607142857143,48.59582412703035
8,0,43,2,16.153846153846153,40.38461538461539,16.153846153846153,48.46153846153846,16.153846171404748,37.92925824175825,17.726829091966685,50.9168956043956
8,1,45,2,48.46153846153846,40.38461538461539,48.46153846153846,48.46153846153846,48.46153842158012,42.839972527472526,48.98586610563838,46.00618131868132
9,0,29,3,21.538461538461537,48.46153846153846,16.153846153846153,32.30769230769231,20.2714937846382,50.21153846153846,17.568174536971124,30.557692307692307
9,1,45,3,43.07692307692307,32.307692307692314,48.46153846153846,48.46153846153846,44.34389157065237,30.557692307692314,47.2802445875491,50.21153846153846
10,0,29,4,20.192307692307693,52.5,16.153846153846153,32.30769230769231,18.442307692307693,54.25,16.663904632413193,30.557692307692307
10,1,45,3,43.07692307692307,32.307692307692314,48.46153846153846,48.46153846153846,44.82692307692307,30.557692307692314,47.97737270620871,50.21153846153846
11,0,29,1,16.153846153846153,32.30769230769231,16.153846153846153,32.30769230769231,14.403846153846153,34.76304945054945,14.403846153846153,34.76304945054945
11,1,31,3,43.07692307692307,32.307692307692314,48.46153846153846,32.30769230769231,44.82692307692307,29.852335164835168,50.04984413220043,29.85233516483516
11,2,58,1,32.30769230769231,64.61538461538461,32.30769230769231,64.61538461538461,31.754556446812597,65.5422198409738,32.625042901945385,65.54221984228887
12,1,16,4,36.34615384615385,28.269230769230766,32.30769230769231,16.153846153846153,38.09615384615385,27.62223515260291,34.89697802197802,17.903846153846153
12,2,58,2,24.23076923076923,64.61538461538461,32.30769230769231,64.61538461538461,22.48076923076923,65.092544434856,29.71840659340659,62.86538461538461
13,1,16,4,36.34615384615385,20.192307692307693,32.30769230769231,16.153846153846153,38.09615384615385,20.106705686534514,34.96394230769231,17.163910345659165
13,2,58,3,32.30769230769231,64.61538461538461,32.30769230769231,64.61538461538461,30.557692307692307,64.68211593987171,29.651442307692307,63.605320423571605
14,1,15,4,36.34615384615385,20.192307692307693,16.153846153846153,16.153846153846153,44.926167582417584,19.2944543821161,13.631524725274726,16.574314690363725
14,2,57,1,16.153846153846153,64.61538461538461,16.153846153846153,64.61538461538461,11.721708771367025,66.93681318681318,18.67616758241758,66.93681318681318
14,3,59,1,48.46153846153846,64.61538461538461,48.46153846153846,64.61538461538461,39.88152472527472,62.293956043956044,50.751180745859564,62.293956043956044
15,1,15,1,16.153846153846153,16.153846153846153,16.153846153846153,16.153846153846153,31.575943292282915,13.698489010989015,32.398167502709285,13.698489010989015
15,4,17,1,48.46153846153846,16.153846153846153,48.46153846153846,16.153846153846153,51.50078164588094,16.73349823541594,52.44334011181101,17.72988597116054
15,5,46,1,64.61538461538461,48.46153846153846,64.61538461538461,48.46153846153846,67.43742656987327,46.00618131868132,68.37997199437358,46.72005893417623
15,2,57,3,5.384615384615384,48.46153846153845,16.153846153846153,64.61538461538461,2.37609022447726,50.91689560439559,11.099715070451861,67.07074175824175
15,3,59,1,48.46153846153846,64.61538461538461,48.46153846153846,64.61538461538461,30.433086149425773,67.07074175824175,31.255310359852146,62.160027472527474
16,1,15,1,16.153846153846153,16.153846153846153,16.153846153846153,16.153846153846153,31.40515861169924,13.698489010989007,31.276286280303623,13.698489010989007
16,4,17,1,48.46153846153846,16.153846153846153,48.46153846153846,16.153846153846153,51.485121841495236,16.73349823541606,51.36484694094434,16.81014344585762
16,2,42,3,5.384615384615384,48.46153846153846,0.0,48.46153846153846,2.5299228265478875,50.916895604395606,0.401785714285714,50.916895604395606
16,5,46,1,64.61538461538461,48.46153846153846,64.61538461538461,48.46153846153846,67.4217966403723,46.006181318681314,67.30151659416046,46.006181318681314
16,3,59,1,48.46153846153846,64.61538461538461,48.46153846153846,64.61538461538461,30.262301468842097,67.07074175824175,30.13342913744648,67.07074175824175
17,1,15,1,16.153846153846153,16.153846153846153,16.153846153846153,16.153846153846153,17.033738653825253,19.214629120879124,18.103253406562768,14.403846153846153
17,2,28,4,4.038461538461538,52.5,0.0,32.30769230769231,0.5357142857142858,52.349300606952006,0.5357142857142858,30.557692307692307
17,4,46,4,52.5,24.230769230769234,64.61538461538461,48.46153846153846,49.22728883985144,17.669986263736266,55.60507906040435,50.21153846153846
17,3,59,1,48.46153846153846,64.61538461538461,48.46153846153846,64.61538461538461,53.00309065934065,68.93378284944033,57.149721917547204,66.36538461538461
18,2,28,5,3.230769230769231,35.53846153846154,0.0,32.30769230769231,1.4807692307692302,52.19937644373087,0.6696428571428572,26.438587859046525
18,4,46,4,52.5,24.230769230769234,64.61538461538461,48.46153846153846,54.25,19.72370509077848,67.03502747252747,63.637706043956044
