run,t,method,raster_length,nominal_topology_failed,nominal_width_collapsed,topology_equal,hierarchy_legal,max_overlap,root_level_error_hPa,anchor_raster_error,width_raster_error
six_hour,45,ST-MTM,65536,False,False,True,True,0.0,0.08302410823284845,0.0014411156086282517,0.002344937439461181
six_hour,46,ST-MTM,65536,False,False,True,True,0.0,0.06470298679437292,0.0010932487442119054,0.000912784453185822
six_hour,47,ST-MTM,65536,False,False,True,True,0.0,0.030975006154449147,0.0013888396507653056,0.001312504103174239
six_hour,48,ST-MTM,65536,False,False,True,True,0.0,0.05239695756927176,0.001142161162782429,0.0020393171088320117
six_hour,49,ST-MTM,65536,False,False,True,True,0.0,0.03234494974390145,0.0014884727196573522,0.0019818662333879813
six_hour,50,ST-MTM,65536,False,False,True,True,0.0,0.00037889546842961863,0.0010931682523818154,0.0014323712917692077
six_hour,51,ST-MTM,65536,False,False,True,True,0.0,0.03073052478248428,0.0015759691513324015,0.0028290217839379572
six_hour,52,ST-MTM,65536,False,False,True,True,0.0,0.03378007889909895,0.0014092411369261981,0.0012471354182923555
six_hour,53,ST-MTM,65536,False,False,True,True,0.0,0.043449734093655934,0.0011647135025114608,0.0021247346369852593
six_hour,54,ST-MTM,65536,False,False,True,True,0.0,0.025513829259580234,0.001005747472383689,0.00237402376803475
six_hour,55,ST-MTM,65536,False,False,True,True,0.0,0.06379116050675293,0.0012669935347560113,0.0015998513117208013
six_hour,56,ST-MTM,65536,False,False,True,True,0.0,0.0579589910953473,0.00163997564387941,0.0012707863391596685
six_hour,57,ST-MTM,65536,False,False,True,True,0.0,0.04865643967013966,0.0010750113060709054,0.0028507164531708096
six_hour,58,ST-MTM,65536,False,False,True,True,0.0,0.06840040874953957,0.0012434825068794453,0.0008384610404848503
six_hour,59,ST-MTM,65536,False,False,True,True,0.0,0.01788088038370006,0.001392512276765956,0.001991851910417175
six_hour,60,ST-MTM,65536,False,True,True,True,0.0,0.015638227701856522,0.0015344922083357915,0.001181177252393941
six_hour,61,ST-MTM,65536,False,False,True,True,0.0,0.05676195182400079,0.0009343781426167652,0.0011660177147838624
six_hour,62,ST-MTM,65536,False,False,True,True,0.0,0.05057929356735258,0.001343253413409684,0.0026502676249018364
six_hour,63,ST-MTM,65536,False,False,True,True,0.0,0.004203839800766218,0.0013838678445949881,0.00204908663089709
six_hour,64,ST-MTM,65536,False,False,True,True,0.0,0.0029375177564361366,0.001480877681842685,0.002345341731383524
six_hour,65,ST-MTM,65536,False,False,True,True,0.0,0.00327464102065278,0.001638593046571657,0.002892647964165246
six_hour,66,ST-MTM,65536,False,False,True,True,0.0,0.010770896444228129,0.001567483829376215,0.002727905619960058
six_hour,67,ST-MTM,65536,False,False,True,True,0.0,0.017984712578936524,0.0005898568160773721,0.0019815312598252532
six_hour,68,ST-MTM,65536,False,False,True,True,0.0,0.021369388134417022,0.0014632791581590254,0.0017781975441406583
six_hour,69,ST-MTM,65536,False,False,True,True,0.0,0.02988641240472134,0.0015432908978070259,0.00187516100402485
six_hour,70,ST-MTM,65536,False,False,True,True,0.0,0.0056147480131585326,0.0014659595180432916,0.0024172442532894856
six_hour,71,ST-MTM,65536,False,False,True,True,0.0,0.04057051910149312,0.0014349481124327212,0.0023807308243783964
six_hour,72,ST-MTM,65536,False,False,True,True,0.0,0.005640194181523839,0.0015760157007775888,0.002326062271909457
six_hour,73,ST-MTM,65536,False,False,True,True,0.0,0.018195810277120472,0.0014416483118324663,0.0019914935750144913
six_hour,74,ST-MTM,65536,False,False,True,True,0.0,0.00394291896895993,0.0015831411112543492,0.0020722184453239034
six_hour,75,ST-MTM,65536,False,False,True,True,0.0,0.03330887897868706,0.0011529446682345679,0.0026174150202149526
six_hour,76,ST-MTM,65536,False,False,True,True,0.0,0.09830220639969411,0.0014140424587480993,0.0023725355624890643
six_hour,77,ST-MTM,65536,False,False,True,True,0.0,0.005366473915955794,0.0010723693989262983,0.001692528944889915
six_hour,78,ST-MTM,65536,False,False,True,True,0.0,0.04103788387988061,0.00161986835787431,0.0021839130734599976
six_hour,79,ST-MTM,65536,False,True,True,True,0.0,0.005178944557428622,0.0012706633260393119,0.0014431012750567573
six_hour,80,ST-MTM,65536,False,False,True,True,0.0,0.03327511705742836,0.0015337055288924262,0.0021261200122482116
six_hour,81,ST-MTM,65536,False,True,True,True,0.0,0.05169607456650738,0.0013481499316654322,0.0022558924276174785
six_hour,82,ST-MTM,65536,False,False,True,True,0.0,0.05071080937159422,0.0013303472602927968,0.001789527606886221
six_hour,83,ST-MTM,65536,False,True,True,True,0.0,0.0751697112095826,0.0010522584397847368,0.0023859104872804987
six_hour,84,ST-MTM,65536,False,False,True,True,0.0,0.04354706946992337,0.0016137729287919456,0.0025117192763000062
six_hour,85,ST-MTM,65536,False,False,True,True,0.0,0.005770180996705676,0.0016287881452541342,0.0023599728792746966
six_hour,86,ST-MTM,65536,False,False,True,True,0.0,0.024520225312244293,0.0014817544673491057,0.0013001576445517138
six_hour,87,ST-MTM,65536,False,False,True,True,0.0,0.03968589500732378,0.001534022342099206,0.002237114101501625
six_hour,88,ST-MTM,65536,False,False,True,True,0.0,0.008682810274876829,0.0015546458036084232,0.0013930896343237187
six_hour,89,ST-MTM,65536,False,False,True,True,0.0,0.04134803841043322,0.0015712129258815821,0.002790514777731623
six_hour,90,ST-MTM,65536,False,True,True,True,0.0,0.028735035607496684,0.0016248023934313238,0.002881024078641936
six_hour,91,ST-MTM,65536,False,True,True,True,0.0,0.005965947000277083,0.0014363070977942982,0.0025581406187598077
six_hour,92,ST-MTM,65536,False,False,True,True,0.0,0.004762934358723214,0.0012828136132108092,0.0018370510741813548
six_hour,93,ST-MTM,65536,False,False,True,True,0.0,0.0056014212211721315,0.0015948895903434845,0.0021270260768986304
six_hour,94,ST-MTM,65536,False,False,True,True,0.0,0.020213748211745042,0.0013157579128773023,0.0023740483482753982
six_hour,95,ST-MTM,65536,False,True,True,True,0.0,0.0339990369395764,0.0011018407772098726,0.0019501463490911863
six_hour,96,ST-MTM,65536,False,False,True,True,0.0,0.03499747398996078,0.002795184522369709,0.0012859894443097986
six_hour,97,ST-MTM,65536,False,False,True,True,0.0,0.020596448017840885,0.0014536325215743773,0.0018520076921749729
six_hour,98,ST-MTM,65536,False,False,True,True,0.0,0.0006234552961359441,0.0015086917647124665,0.002893002049044302
six_hour,99,ST-MTM,65536,False,False,True,True,0.0,0.003664211795467054,0.0015050395131552818,0.0011013283124230444
six_hour,100,ST-MTM,65536,False,False,True,True,0.0,0.010134268855608752,0.0013891318969427857,0.0017063664059633332
six_hour,101,ST-MTM,65536,False,False,True,True,0.0,0.011260014570325438,0.001399385558087829,0.0020402310367746423
six_hour,102,ST-MTM,65536,False,False,True,True,0.0,0.008947781770530128,0.0014409000688075935,0.002719652055535482
six_hour,103,ST-MTM,65536,False,False,True,True,0.0,0.022904548583937867,0.0011800442941307665,0.0015154811563120596
six_hour,104,ST-MTM,65536,False,False,True,True,0.0,0.014158663999069176,0.0011459846171106847,0.0008291184845873323
six_hour,105,ST-MTM,65536,False,True,True,True,0.0,0.013663091353919299,0.001466158189316502,0.000823099966072327
six_hour,106,ST-MTM,65536,False,False,True,True,0.0,0.44009038431636327,0.0013918484593204994,0.0019741162080819663
six_hour,107,ST-MTM,65536,False,False,True,True,0.0,0.4423474797031304,0.0013176336659199706,0.0023402430283550046
six_hour,108,ST-MTM,65536,False,False,True,True,0.0,0.0011831692095256585,0.001254884911944032,0.0015195856771872407
six_hour,109,ST-MTM,65536,False,False,True,True,0.0,0.018293471817287354,0.0008531572880698945,0.000895336670424296
six_hour,110,ST-MTM,65536,False,False,True,True,0.0,0.02870212417019502,0.0013442579877818162,0.0025685411918630052
six_hour,111,ST-MTM,65536,False,False,True,True,0.0,0.003549440804590631,0.0007693354156543819,0.002347411753947315
six_hour,112,ST-MTM,65536,False,False,True,True,0.0,0.013373588326430763,0.0005270030116548696,0.0026995325594096273
six_hour,113,ST-MTM,65536,False,False,True,True,0.0,0.03550829934329158,0.0014192877936949344,0.002327423753194058
six_hour,114,ST-MTM,65536,False,False,True,True,0.0,0.014379707406078523,0.0015519055414117133,0.0023862953229794037
six_hour,115,ST-MTM,65536,False,False,True,True,0.0,0.060894403453858104,0.0011949434523153002,0.0022115049663907205
six_hour,116,ST-MTM,65536,False,False,True,True,0.0,0.010048540451862209,0.0007761539533310824,0.0012539480995181762
six_hour,117,ST-MTM,65536,False,False,True,True,0.0,0.05069448966514756,0.0008338894900958849,0.0010168605995688473
six_hour,118,ST-MTM,65536,False,False,True,True,0.0,0.04820373024926994,0.0011331180128557605,0.0022610261031155154
six_hour,119,ST-MTM,65536,False,False,True,True,0.0,0.017383239241553383,0.0007399654326150085,0.0014831631465255235
six_hour,120,ST-MTM,65536,False,False,True,True,0.0,0.046651237477362884,0.001373185624062856,0.0017934013049127895
six_hour,121,ST-MTM,65536,False,False,True,True,0.0,0.06519905125605874,0.0016159593674345274,0.001777487477198303
six_hour,122,ST-MTM,65536,False,False,True,True,0.0,0.005097379077596997,0.001199592679060224,0.001157576376072722
six_hour,123,ST-MTM,65536,False,False,True,True,0.0,0.02956277657699502,0.0015259779550937935,0.0018624759457357976
six_hour,124,ST-MTM,65536,False,False,True,True,0.0,0.00567246464515847,0.0013081386165012532,0.0019143958239351555
six_hour,125,ST-MTM,65536,False,False,True,True,0.0,0.028620663843184957,0.0015617707851092177,0.0012250930067172483
six_hour,126,ST-MTM,65536,False,False,True,True,0.0,0.006643939485002193,0.0013952702200441536,0.002684083563101236
six_hour,127,ST-MTM,65536,False,False,True,True,0.0,0.018260996663684637,0.0015030983181247848,0.0023576687893483994
six_hour,128,ST-MTM,65536,False,False,True,True,0.0,0.002764711354075189,0.0017066453355738531,0.002202140817400222
six_hour,129,ST-MTM,65536,False,False,True,True,0.0,0.040549031469026886,0.001606750920217337,0.002761043192786694
six_hour,130,ST-MTM,65536,False,False,True,True,0.0,0.0043426443642147206,0.0014862470763361557,0.0018055616697338905
six_hour,131,ST-MTM,65536,False,False,True,True,0.0,0.05474530331866845,0.0012598021348786403,0.0016510341161701803
six_hour,132,ST-MTM,65536,False,False,True,True,0.0,0.04861667793397828,0.0007753169065285448,0.0014172326035715166
six_hour,133,ST-MTM,65536,False,False,True,True,0.0,0.01679937080734817,0.0013664396336423579,0.002301634075238465
six_hour,134,ST-MTM,65536,False,True,True,True,0.0,0.01012606051426701,0.001629069897362001,0.0029392581078577784
six_hour,135,ST-MTM,65536,False,True,True,True,0.0,0.008591018717652332,0.0015957862038993298,0.0023433712618357028
six_hour,136,ST-MTM,65536,False,False,True,True,0.0,0.06855460324322848,0.0012116616198341035,0.0009931949442370698
six_hour,137,ST-MTM,65536,False,False,True,True,0.0,0.05768849269816201,0.0008033964858746856,0.0022768819273762952
six_hour,138,ST-MTM,65536,False,False,True,True,0.0,0.08383149007727297,0.001502104166945628,0.0019506991921862116
six_hour,139,ST-MTM,65536,False,False,True,True,0.0,0.02445635028061588,0.0014349068468106907,0.0019729764069991163
six_hour,140,ST-MTM,65536,False,False,True,True,0.0,0.041731463964651994,0.0008411925417206589,0.002054427961271421
six_hour,141,ST-MTM,65536,False,False,True,True,0.0,0.06625430082317507,0.0015791625537815435,0.0011368101141844278
six_hour,142,ST-MTM,65536,False,True,True,True,0.0,0.07079951953573982,0.006911463412549779,0.0019389772232329128
six_hour,143,ST-MTM,65536,False,False,True,True,0.0,0.03237054577652998,0.0015199681489619365,0.001269743456413619
six_hour,144,ST-MTM,65536,False,True,True,True,0.0,0.00866281226421961,0.0014942229784509209,0.0028093817134652588
six_hour,145,ST-MTM,65536,False,True,True,True,0.0,0.05896614901416797,0.0014590760451627105,0.0024174501581724385
six_hour,146,ST-MTM,65536,False,False,True,True,0.0,0.026023424870118106,0.0015485639948269458,0.0012615553515764044
six_hour,147,ST-MTM,65536,False,False,True,True,0.0,0.015341432386094311,0.0014196165735675947,0.001878451767636423
six_hour,148,ST-MTM,65536,False,False,True,True,0.0,0.04902432477433649,0.0016319434702012359,0.0022604365630072287
six_hour,149,ST-MTM,65536,False,False,True,True,0.0,0.005058170467009404,0.001636047774940863,0.002777296700037457
six_hour,150,ST-MTM,65536,False,False,True,True,0.0,0.18339948898369585,0.0013997041127105092,0.002607314908673608
six_hour,151,ST-MTM,65536,False,False,True,True,0.0,0.07549768726562434,0.000684844092692316,0.002871049802208314
six_hour,152,ST-MTM,65536,False,False,True,True,0.0,0.17812774533581432,0.0016141590348865975,0.0023239162709986494
six_hour,153,ST-MTM,65536,False,False,True,True,0.0,0.00419498071983071,0.001336901650390132,0.0023607029747267916
six_hour,154,ST-MTM,65536,False,False,True,True,0.0,0.03639859064332995,0.001541563822504699,0.002956623095674793
six_hour,155,ST-MTM,65536,False,False,True,True,0.0,0.0021203826975124684,0.001566864192497519,0.0028470343823565614
six_hour,156,ST-MTM,65536,False,False,True,True,0.0,0.005772271773139437,0.0011828909665378973,0.0009722646855507833
six_hour,157,ST-MTM,65536,False,False,True,True,0.0,0.012274844109924743,0.0007171577207065738,0.0010303687946677798
six_hour,158,ST-MTM,65536,False,False,True,True,0.0,1.317894202657044e-07,0.0006427216152298243,0.0017368569030500325
six_hour,159,ST-MTM,65536,False,False,True,True,0.0,0.004900784587789531,0.0011077315593936987,0.0008813789695762964
six_hour,160,ST-MTM,65536,False,True,True,True,0.0,0.015852192330839898,0.0010805245820737497,0.0009842344726287422
six_hour,161,ST-MTM,65536,False,False,True,True,0.0,0.006359424082120313,0.0009670496300131504,0.0008232850888064414
six_hour,162,ST-MTM,65536,False,False,True,True,0.0,0.014898855775300035,0.0015774431492658891,0.002608722514453987
six_hour,163,ST-MTM,65536,False,False,True,True,0.0,0.002359759078899515,0.0014504595445359314,0.00155569640017017
six_hour,164,ST-MTM,65536,False,False,True,True,0.0,0.013043715870026062,0.0013290687105360632,0.0018973310829129009
six_hour,165,ST-MTM,65536,False,False,True,True,0.0,8.961314051703084e-06,0.001185335322038128,0.000968618733387494
six_hour,166,ST-MTM,65536,False,False,True,True,0.0,0.04065909268683754,0.0014639400059799357,0.0023357775707570916
six_hour,167,ST-MTM,65536,False,False,True,True,0.0,0.034117759011905946,0.0013775960444348812,0.0018591487324899347
six_hour,168,ST-MTM,65536,False,False,True,True,0.0,0.0855806388858582,0.001610320448117708,0.002711518670895141
six_hour,169,ST-MTM,65536,False,True,True,True,0.0,0.07501084533828362,0.001577164200867287,0.0008184229326997361
six_hour,170,ST-MTM,65536,False,False,True,True,0.0,0.028253484504375592,0.0015249447389167337,0.0018773774821640998
six_hour,171,ST-MTM,65536,False,False,True,True,0.0,0.034036246129971914,0.0016182287175441346,0.0012335947805510172
six_hour,172,ST-MTM,65536,False,False,True,True,0.0,0.049738642133661415,0.0016265786375697644,0.0031391365651121106
six_hour,173,ST-MTM,65536,False,False,True,True,0.0,0.022125039319462303,0.00031414339661850477,0.0021798099375431867
six_hour,174,ST-MTM,65536,False,False,True,True,0.0,0.0039047434358963073,0.0011583254810023647,0.001906770740544017
six_hour,175,ST-MTM,65536,False,False,True,True,0.0,0.008831219337480434,0.0008024836468365493,0.0023712498978539776
six_hour,176,ST-MTM,65536,False,False,True,True,0.0,0.0109897371335137,0.0015951843759154372,0.002399923066918941
