t,rmse_hPa,max_change_hPa,input_min_hPa,smoothed_min_hPa
0,1.1910569561389872,7.908459962691154,993.4428945411686,999.8361164121351
1,1.2163971185284759,6.297362762678631,996.405548239924,1000.6666713155921
2,1.1812517878676745,6.134739321432789,998.8376714367308,1001.6231391715118
3,1.1775953453831909,5.5461494181197395,997.4029846716566,1000.4557792432519
4,1.1582214120789747,5.457080550461569,994.9579986860065,998.8637685470464
5,1.152313426878677,6.349083925938999,993.815167663725,998.028263229509
6,1.1407397726127566,6.790423464249443,994.5166488044637,998.5581559880179
7,1.2198841024694178,6.967875202959021,997.2599757144905,1000.545598669474
8,1.4152591335917408,8.087178001641405,993.2458413580358,999.9066768298202
9,1.578477074874252,10.289239553672928,987.2127598399903,996.780137999619
10,1.5770440654669202,8.724467305475628,989.0473125825106,996.6181349770183
11,1.628479728263829,7.656191794517895,989.6836921905015,994.7604583368742
12,1.7014664219627516,9.388207383747044,984.4158256182591,990.3189246331285
13,1.862253925725843,11.460051761584623,974.8455385954442,983.0785366206458
14,1.8896791595163578,13.15871044823939,969.9982196967524,979.9753946111736
15,1.7738175091749153,13.42165409362076,970.51459871906,977.8924547685093
16,1.727974912229711,12.337667037245183,971.7734091670403,977.3216482470741
17,1.6060870558828173,8.68761295526906,974.757180489297,977.5213543573932
18,1.5216219284304537,6.713807493245099,976.79195049296,980.4044205792649
19,1.6086789779597972,8.760392742130989,977.2000803226451,982.649751719138
20,1.641721215461048,10.379039220969844,978.7163841970148,987.3760717176709
21,1.5489229514339424,8.549647458096842,980.0049941430356,986.7144116651193
22,1.580400757922034,10.031075510071446,975.7004515158759,984.9662425366918
23,1.8127185836577644,10.19344171062869,973.1346910322723,982.8075439272354
24,1.969171752597892,11.118244183935644,970.315581534567,980.8372130907949
25,2.050960385959605,10.910363045988788,969.2033803259125,979.7426820043551
26,2.03608391629972,10.608705212383256,971.0978514652551,980.802279460356
27,2.063105194481796,11.293563064658542,972.8377919489016,981.7624798467107
28,1.9572685097202935,10.439195886069456,976.7235505761543,984.7798340322555
29,1.8225939336532044,8.89905386795408,981.521316783739,986.4957793398252
30,1.7311554316391393,10.104631042020287,984.3821414317773,989.260999954956
31,1.5799569237431532,8.778224326124928,985.77464461559,992.220674026382
32,1.516217656610723,8.41938332295183,988.9808355632441,994.8189283516396
33,1.505566612926901,7.707527282764431,989.9159274722268,995.4830710048482
34,1.6143162337234835,13.03691892342215,980.2833888784091,993.0873131737482
35,1.777183211878545,16.066465721388113,972.7472626011689,988.2980875851339
36,1.8782201334325357,15.744418601752841,967.305585725165,982.9954574839747
37,1.929493644513765,16.96498808995409,961.1360376506259,977.7070697108034
38,1.8547984391710564,15.444347158893152,961.5370886091995,975.9035586849906
39,1.8207092319416034,14.90922006178414,960.4873772738775,973.826111455863
40,1.662535628210981,11.748201900083473,963.7333624944159,974.1346272291308
41,1.644194568512167,10.718451803578773,965.4902869656738,974.0127254347678
42,1.640896989767691,8.196144746644222,968.9747130564433,974.9871143752675
43,1.7949919246229495,10.30052371673105,968.5869852262754,976.0491948407093
44,1.9171743871629057,12.271759306216609,971.6985165274108,978.8272947644319
45,1.8265471280662853,10.865004471144857,972.3876351232838,979.8634434172038
46,1.6915129690268365,8.910046804084345,973.6184349213614,979.3209921631549
47,1.6382096502304884,10.6790127122797,971.2186307178505,977.6287390994718
48,1.7303051640737066,13.511381613029698,971.5311069888709,978.0207235849763
49,1.8094166358328987,10.13628723539523,971.0460266132255,977.989096533818
50,1.814327689395846,9.484871590865623,970.4020081938121,977.7656073385806
51,1.9843090382273663,10.121485544753227,968.1803956336154,976.06953597078
52,2.1381844982959315,11.821340704752743,967.6397522475071,974.4949643849081
53,2.1045052031026987,12.166492225281218,967.0827528322135,972.9582692276348
54,1.8090006435637336,12.477494124701252,959.8773785626613,971.5048405531577
55,1.6542760854635303,12.560626872310877,954.8075932196845,967.2572801250251
56,1.7121342884618564,13.275950665074788,953.557493833193,964.4563334544381
57,1.7828008548079686,8.337069689677378,955.2718435960056,962.530992191224
58,1.6903518808666027,8.94050627229035,955.1572697136586,961.9014517469643
59,1.6270836849276968,9.736587356724954,956.0542328868987,962.4506460291366
60,1.5695004980423206,7.960963981921054,957.427470296381,963.1439445834799
61,1.52654717643384,7.604863240242025,959.9134166486766,964.830535761244
62,1.4409237045247931,8.127374174238867,963.5076711971543,968.6585333162784
63,1.4671510836381914,8.71737773255984,969.0082690365342,973.545868902544
64,1.5416455720566384,8.116182809213115,973.8041957158887,976.9176883859423
65,1.6166248384733761,11.33470639709833,977.1055624287317,979.3218445110207
66,1.700820063415428,15.12099535942366,967.6643509600557,981.3387993266081
67,1.8381574117075081,18.184529837533546,958.8021320858322,975.6825121347781
68,1.8138274339930853,16.54436990658121,957.8132929587247,973.7768344106406
69,1.739251649141251,14.309898974922135,960.720549217461,974.9321396090884
70,1.536682076706968,11.130410272348968,968.0218271119465,978.1381438810834
71,1.4075202851997237,8.293979597446082,974.1126541530836,981.1926740753407
72,1.4380537392210682,8.35532744793295,979.2728424814734,984.2452717430607
73,1.6010405551397728,11.458923503098845,980.1865821346382,987.4725774229915
74,1.692070328594099,11.138320782418191,974.165173693431,984.6999805946973
75,1.739118334815039,10.602688408940821,970.7143456697579,979.7727209437923
76,1.7853469883264026,12.387062784947148,965.7900405742539,977.3430212771549
77,1.9659245908703489,15.815207961031433,958.3842819195967,973.6929619132572
78,1.9740145947319616,14.996115386745373,961.1437396190796,975.777463509078
79,2.0226172389740937,14.543880078719326,963.4116267692466,977.9555068479659
80,1.968533482598257,13.335498927340382,967.4046388367645,980.3997880631593
81,1.7964970827295559,12.311695105265244,970.0237473554631,980.9189238596335
