scene,angle,reference_weight,method,calibration,projection_span,tau_max,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,distance_nrmse,error_step_rms,error_step_max
hierarchy_change,0.0,0.25,RA-MTM,fixed_reference,120.0,13.264152613578403,0.015965729304064067,0.1181919734986551,0.08767968809152064,0.026051868170878786,0.0047983705983445,5.837344496661956e-17,5.412337245047638e-17,,0.2955489052634774,2.812776758742321,15.21019915979248
hierarchy_change,0.0,1.0,RA-MTM,fixed_reference,120.0,13.264152613578403,0.015173496791737852,0.0974281096857112,0.07959678060860656,0.015577020431022515,0.004366512144516552,5.837344496661956e-17,5.412337245047638e-17,,0.2963623976008895,2.53539726341157,15.21019915979248
hierarchy_change,0.0,4.0,RA-MTM,fixed_reference,120.0,13.264152613578403,0.013768217758578529,0.04897242262912117,0.06785488874301351,0.004145360930394589,0.0037201309703468687,5.837344496661956e-17,5.412337245047638e-17,,0.29894022992578534,2.2870980548165445,14.873641839460504
hierarchy_change,0.0,,TMTM,first_frame_affine,120.0,,0.25259548349842703,0.3466367182529884,0.05203762726178481,0.016147388856229242,0.005165952807259779,1.027606819081761e-16,3.3306690738754695e-17,,0.876628640486553,1.9515609631972635,12.449089683454226
hierarchy_change,0.0,,ST-MTM,first_frame_affine,120.0,,0.0501840915848235,0.148713318186634,0.06627101979471652,0.01758941319132887,0.005599795790817145,0.6079385421020255,0.6079384918076312,,0.35585906367708464,2.475831615965285,15.699895277624421
hierarchy_change,30.0,0.25,RA-MTM,fixed_reference,163.92304845413264,24.621565783526506,0.016069906747267375,0.08984029247753661,0.10703477702466511,0.034376602270847975,0.0057483309684137765,5.837344496661956e-17,5.412337245047638e-17,,0.21716835275665158,4.213363568356965,24.374664546779513
hierarchy_change,30.0,1.0,RA-MTM,fixed_reference,163.92304845413264,24.621565783526506,0.014545802739892165,0.06101499278195508,0.09333337031914406,0.02074033167990285,0.005059912114759402,5.837344496661956e-17,5.412337245047638e-17,,0.21884892941932674,3.941621409906057,24.374664546779528
hierarchy_change,30.0,4.0,RA-MTM,fixed_reference,163.92304845413264,24.621565783526506,0.012506319580020277,0.028000283782207237,0.08019177781183873,0.00766053788693593,0.0043898447205063095,5.837344496661956e-17,5.412337245047638e-17,,0.22262360180612228,3.8015113089349146,24.374664546779528
hierarchy_change,30.0,,TMTM,first_frame_affine,163.92304845413264,,0.22125751968955237,0.36253623355888753,0.10175453483611153,0.0009261785047029568,0.009148644208247436,6.982261990806649e-17,8.118505867571457e-17,,0.6976392771431515,4.926334778401622,31.486264189653397
hierarchy_change,30.0,,ST-MTM,first_frame_affine,163.92304845413264,,0.06080582293621516,0.16696890912531676,0.05674864443302676,0.003237749714348194,0.004568964221698421,0.6079385421020254,0.607938491807631,,0.38811020966134296,2.3753430899373837,15.063099792663607
