distance_nrmse,scene,method,first_frame_scale,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift
0.007184792397333994,static,TMTM,1.0086524516912945,0.0008554244677005545,0.0012831367015509207,0.0,0.0,0.0,0.0,0.0,0.0
3.5726571348373304e-16,static,ST-MTM,1.0000000000000002,6.908054375445419e-17,1.1842378929335003e-16,0.0,0.0,0.0,0.0,0.0,0.0
0.007184792397334053,translation,TMTM,1.0086524516912945,0.050065801882130785,0.09890166287774854,0.054166666666666675,0.054166666666666675,0.008333333333333335,0.0,0.0,0.0
3.095900157662338e-16,translation,ST-MTM,1.0000000000000002,0.04999999999999996,0.09999999999999994,0.054166666666666675,0.054166666666666675,0.008333333333333337,0.0,0.0,0.0
0.0018515362507141805,growth,TMTM,0.9972677595628423,0.03544316111939055,0.06948497267759571,0.0389874772313296,0.038987477231329594,0.006990437158469947,3.7816971776294396e-17,1.7694179454963432e-16,0.0
0.0048069506848807415,growth,ST-MTM,1.0,0.017462121212121155,0.03407118124373335,0.019208333333333272,0.019208333333333272,0.003500000000000001,0.11779477140370413,0.11779477140370412,0.20815576034871827
0.005244222335539571,collective_growth,TMTM,1.0086524516912945,0.0006746674402869272,0.0012744842498595805,0.0004221589647108015,0.0001968479032475903,0.00032814806830503665,1.2038980923279042e-16,4.0245584642661923e-17,
0.004097114055242949,collective_growth,ST-MTM,1.0000000000000002,0.0005283035847201331,0.0010701633862442309,0.0005811339431921613,0.0001944444444444541,0.0003944640211055687,0.15141931039994072,0.15141931039994078,
0.004849354467214921,translation_growth,TMTM,1.0086524516912945,0.04189682166390118,0.08314807157135576,0.046000961383521305,0.0460009613835213,0.008361591802871743,1.1391350825581034e-16,4.0245584642661923e-17,
0.004095620619874191,translation_growth,ST-MTM,1.0000000000000002,0.04171717171717163,0.08255219940349522,0.045888888888888854,0.045888888888888854,0.008305555555555547,0.1510628037834912,0.15106280378349124,
0.3731179059386995,hierarchy_conflict,TMTM,0.8328035269308396,0.07669788240944773,0.11449389835650384,0.0,0.0,0.0,0.0,0.0,0.0
0.14832889961576717,hierarchy_conflict,ST-MTM,0.9281381987289383,0.023518699647567,0.045383236957170205,1.4802973661668754e-17,1.4802973661668754e-17,1.4802973661668755e-18,3.885780586188051e-16,4.440892098500627e-16,1.5543122344752203e-15
0.3621433359359644,topology_change,TMTM,0.8328035269308396,0.07554452521973562,0.11449389835650384,0.0020369969784653093,0.0016493716424143257,0.000674342986821496,2.896988204881268e-17,4.336808689942018e-17,0.0
0.14523673421481376,topology_change,ST-MTM,0.9281381987289383,0.02335387758276471,0.04838442492458009,0.002986574122394808,0.002986574122394808,0.0006359346870747018,0.06554098062973862,0.06554096228856493,0.09415254329987299
0.796221622995994,crowding,TMTM,0.08316929133858242,0.00015447287839024418,0.00027635608049000855,0.00016992016622920344,0.00016992016622920344,3.834481627296604e-05,5.139118297581291e-17,1.5178830414797062e-16,
0.7957041893468794,crowding,ST-MTM,0.20395425411200074,5.366161616166156e-05,0.00010415329066659614,5.902777777776258e-05,5.902777777776258e-05,1.2489996444452109e-05,0.04128206196298349,0.04128206196298344,
0.14523673421481376,summary_only,ST-MTM,0.9281381987289383,0.02335387758276471,0.04838442492458009,0.002986574122394808,0.002986574122394808,0.0006359346870747018,0.06554098062973862,0.06554096228856493,0.09415254329987299
0.23878111965337176,gaussian2d_translation,TMTM,3.380369378310323,0.05618241380050666,0.1407868179999727,0.051414170250323556,0.051374092706150114,0.005367876763843653,2.6367796834847467e-17,1.1826477297471882e-16,
0.1984785930483591,gaussian2d_translation,ST-MTM,0.804767674492407,0.0527583013679884,0.12174489077988786,0.05248114233683107,0.052481142336831064,0.00501689511203839,0.022822494161362106,0.02282249416136209,
0.14499468255805312,gaussian2d_growth,TMTM,3.380369378310323,0.05207206806593872,0.1173856552799021,0.02650335230267298,0.015486991891636992,0.0038876785710501315,9.43689570931383e-17,1.536964999715451e-16,
0.2000385348313898,gaussian2d_growth,ST-MTM,0.804767674492407,0.02890597252962499,0.04556956511925721,0.004430336119163766,0.0010067888258233602,0.0006665354281880646,0.32476069720008643,0.3247606972000864,
0.1449534191701912,gaussian2d_translation_growth,TMTM,3.380369378310323,0.05934835125617457,0.13956243191108766,0.04153772390625472,0.035304103115436324,0.0054947306821747175,7.979727989493313e-17,1.3426759704060488e-16,
0.20006226409510172,gaussian2d_translation_growth,ST-MTM,0.804767674492407,0.052194713383373566,0.12925272421949038,0.05164308862849731,0.05164308862849731,0.004935077354070066,0.3244577312591267,0.3244577312591267,
0.24911799076450203,gaussian2d_local_growth,TMTM,3.380369378310323,0.038192648860737526,0.05774908932953723,0.0058943093610789275,0.0013273404119288543,0.0017153527112873776,6.406912037941007e-17,1.4838390932636613e-16,
0.1984878326575819,gaussian2d_local_growth,ST-MTM,0.804767674492407,0.024844939129893655,0.038197060886243,0.00043632415401035756,0.00034450425412277554,0.00035232329038319805,0.05494863065600393,0.054948630656003916,
0.876628640486553,gaussian2d_hierarchy_change,TMTM,0.33513676981900886,0.25259548349842703,0.3466367182529883,0.05203762726178483,0.016147388856229235,0.005165952807259778,1.027606819081761e-16,3.3306690738754695e-17,
0.35585906367708475,gaussian2d_hierarchy_change,ST-MTM,0.7350525313516039,0.05018409158482349,0.148713318186634,0.06627101979471654,0.017589413191328895,0.005599795790817147,0.6079385421020255,0.6079384918076312,
0.7103340308899709,gaussian2d_crowding,TMTM,1.222222509587131,0.02885479968825299,0.06767055836829684,0.029527836402341426,0.029527836402341426,0.0028336914236663574,9.707946252435206e-17,4.605690828718423e-17,
0.705412669791114,gaussian2d_crowding,ST-MTM,0.294529040306015,0.028991769307970316,0.07279780966364063,0.030260861266045755,0.03026086126604575,0.002895277527011084,0.025927862721388938,0.02592786272138888,
0.850597235117717,gaussian2d_advection_diffusion,TMTM,0.33155610954553927,0.22166968164318676,0.28168667151490995,0.03289652774835073,0.03289652774835073,0.003111272136903023,7.12429247540225e-17,6.808789643208968e-17,
