t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.1563382949072341,,,,0.0,312.1394149751615,19347.245074504273,0.0,4,0
1,1999-11-18 00:00:00,0,0.15894406102140998,0.029054284332215595,0.39419738326177745,0.029054284332215595,0.3941973832618162,470.1769986628288,27940.870158899557,0.0,5,2
2,1999-11-19 00:00:00,0,0.1679914247763765,0.05931219760752818,0.04732065619008474,0.08836648193974378,0.44151803945189166,1598.5666453578683,18219.91692435897,0.0,5,2
3,1999-11-20 00:00:00,0,0.18789935749812328,0.17660497446114087,1.8355725806084502,0.21244522059641996,1.394054541156559,2.210596777205274,2335.0760980981913,0.0,2,2
4,1999-11-21 00:00:00,0,0.30973139092658597,0.07499222466739813,1.0539466713649233,0.28743744526381815,0.34010786979163415,693.0340804759273,23030.268399256896,0.0,5,2
5,1999-11-22 00:00:00,0,0.2023468656410288,0.08217571780918848,0.9701339638949706,0.20526172745462964,0.6300260941033415,106.07153149872457,13087.426199991201,0.0,4,2
6,1999-11-23 00:00:00,0,0.3058715004670308,0.09891678959922186,0.5535182080673033,0.12336286495264434,0.07650788603603711,2546.1082710245046,38607.89289639539,0.0,5,1
7,1999-11-24 00:00:00,1,0.3275953268718047,0.10463950281309857,0.6900937430730728,0.06351854782888378,0.7666016291090941,2983.237193440428,36416.788077654404,0.0,5,3
8,1999-11-25 00:00:00,1,0.5741177288970833,0.28084222271819176,0.5205344378929656,0.30451144170644046,0.24606719121614248,3220.597115221491,46132.25902149704,0.0,5,3
9,1999-11-26 00:00:00,1,0.4880169439855251,0.21710141853921078,0.09333193979221674,0.3153405529474041,0.15273525142392344,6511.642593037816,60766.597702103965,0.0,6,4
10,1999-11-27 00:00:00,1,0.4654384342223354,0.04870333706630795,0.3097147874516569,0.18995527080590063,0.1569795360277381,2637.1252437288686,40042.37843063189,0.0,5,5
11,1999-11-28 00:00:00,1,0.38328514051096085,0.07033827229817799,0.32971545415832326,0.22969941493571205,0.17273591813059028,19103.69285855175,91747.39653935202,0.0,7,4
12,1999-11-29 00:00:00,1,0.446304774607884,0.33248332563162025,0.29522927707793734,0.5007526342225351,0.12249335995657043,3927.6487670066504,40568.40588879457,0.0,5,4
13,1999-11-30 00:00:00,1,0.4454152733564464,0.11251061361513612,0.09731720820479266,0.3836466085040588,0.025176154892475513,2351.457511495814,41498.98534087543,0.0,5,4
14,1999-12-01 00:00:00,2,0.47617937068777466,0.04777867788830329,0.12020308869575154,0.3082766555598807,0.09502693380327971,8094.5561399512035,77760.09088584603,0.0,6,5
