scene,sigma,seed,max_input_change,max_anchor_change,changed_order_frames,max_budget_violation
translation,0.01,0,0.023250307746387477,0.02325121504120986,0,-0.9999883789422128
translation,0.01,1,0.027111624789661448,0.02711533861750226,0,-0.9999883689014837
translation,0.01,2,0.02441467382639856,0.0237488073911436,0,-0.9999794218359597
translation,0.01,3,0.033229995166448825,0.02828824501923677,0,-0.9999882090814687
translation,0.01,4,0.022527291247240275,0.020580257492298415,0,-0.9999887402599796
translation,0.1,0,0.23250307746388188,0.23259438953,0,-0.9988630103000062
translation,0.1,1,0.2711162478965967,0.2714837186960146,0,-0.9989287621784371
translation,0.1,2,0.24414673826398559,0.23747950206131208,0,-0.9988567830762349
translation,0.1,3,0.3322999516644883,0.28347161548883903,0,-0.9987918996184497
translation,0.1,4,0.22527291247240278,0.20579861599117066,0,-0.9993829565528571
translation,1.0,0,2.325030774638833,2.334813880395096,0,-0.8815719271173847
translation,1.0,1,2.711162478965967,2.744412644192238,0,-0.8794837921736836
translation,1.0,2,2.4414673826398556,2.3710937017415787,0,-0.8962911044558268
translation,1.0,3,3.3229995166448827,2.8873125741484955,0,-0.8861737457026742
translation,1.0,4,2.2527291247240275,2.070788546425746,0,-0.9397276478547099
topology_change,0.01,0,0.023250307746387477,0.019896741853223432,0,-0.7545718925662612
topology_change,0.01,1,0.027111624789661448,0.0291820298614347,0,-0.7520672678036746
topology_change,0.01,2,0.02441467382639928,0.02433948891750859,0,-0.7451143362444625
topology_change,0.01,3,0.0332299951664492,0.022350038235607883,0,-0.751013056869553
topology_change,0.01,4,0.024262205012208327,0.02306862163091239,0,-0.7579830641766989
topology_change,0.1,0,0.23250307746388188,0.19877806676277743,0,-0.7524312570353544
topology_change,0.1,1,0.2711162478965967,0.2918699647550582,0,-0.7271858110030109
topology_change,0.1,2,0.2441467382639857,0.2433223642252571,0,-0.6562971745589081
topology_change,0.1,3,0.33229995166448845,0.22369041734062023,0,-0.7164382043914514
topology_change,0.1,4,0.2426220501220815,0.23026009536565084,0,-0.7857961755014955
topology_change,1.0,0,2.325030774638833,1.968825977975019,0,-0.5022303462066233
topology_change,1.0,1,2.711162478965967,2.9229311944998706,0,-0.1265402540610907
topology_change,1.0,2,2.441467382639855,2.5363721654607616,0,0.0
topology_change,1.0,3,3.3229995166448827,2.2527412477244226,0,-0.32255219707803917
topology_change,1.0,4,2.426220501220822,2.2574749797719704,0,-0.6334456610240053
crowding,0.01,0,0.023250307746387477,0.017854708609462477,0,7.105427357601002e-15
crowding,0.01,1,0.027111624789661448,0.014429672855108322,0,7.105427357601002e-15
crowding,0.01,2,0.02441467382639928,0.00737142272927116,0,7.105427357601002e-15
crowding,0.01,3,0.0332299951664492,0.018939035333261245,0,7.105427357601002e-15
crowding,0.01,4,0.022527291247243397,0.011324305177865313,0,7.105427357601002e-15
crowding,0.1,0,0.23250307746388188,0.17854708609459635,0,7.105427357601002e-15
crowding,0.1,1,0.27111624789660027,0.144296728551069,0,0.0
crowding,0.1,2,0.2441467382639857,0.07371422729265475,0,7.105427357601002e-15
crowding,0.1,3,0.33229995166448845,0.18939035333259824,0,0.0
crowding,0.1,4,0.22527291247240555,0.11324305177865313,0,7.105427357601002e-15
crowding,1.0,0,2.325030774638833,1.7854708609459493,0,7.105427357601002e-15
crowding,1.0,1,2.711162478965967,1.4429672855105693,0,7.105427357601002e-15
crowding,1.0,2,2.441467382639857,0.7371422729265475,0,0.0
crowding,1.0,3,3.3229995166448827,1.893903533325954,0,0.0
crowding,1.0,4,2.252729124724027,1.1324305177865241,0,0.0
