scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds
static,TMTM,defined,13,0.155555555555555,0.0,0.0,0.0,0.011189434999827831,5.162124179278722e-05,0.0,0,0.0,0.10000000000000142,,,0.011666666999999964
static,STMTM,defined,13,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,0.014186333000000051
static,Budget,defined,13,6.956064596353465e-07,6.459202834818711e-07,1.6714686965772312e-05,0.0,1.5973010398301955e-07,2.1731303116998764e-14,1.1626565090239183e-05,0,0.0,0.00027957763313679607,0.0,-0.9999883734349027,0.038296
translation,TMTM,defined,13,6.01196581196581,1.0000000000000002,1.0000000000000002,0.0,0.011189434999827948,5.1621241792788224e-05,,0,0.0,0.10000000000000142,,,0.010961250000000033
translation,STMTM,defined,13,5.9999999999999964,1.0000000000000004,1.0000000000000004,0.0,1.9339934962146237e-16,4.020855656655498e-32,,0,0.0,0.0,,,0.013131582999999947
translation,Budget,defined,13,6.956064616394414e-07,6.459202836792441e-07,1.6714686966167057e-05,0.0,1.5973010398057793e-07,2.1731303115831878e-14,,0,0.0,0.00027957763313679607,0.0,-0.9999883734349027,0.03414704199999996
growth,TMTM,defined,11,4.263636363636362,0.8399999999999999,0.8399999999999999,3.027880976250427e-17,0.0018111415295628856,8.768891778195118e-33,8.400000000000006,0,0.0,0.10000000000000142,,,0.005462124999999984
growth,STMTM,defined,11,2.0954545454545386,0.4200000000000001,0.42000000000000026,0.11642596934383813,0.0048069506848807415,4.913022604745461e-33,4.097916784640002,0,0.0,3.552713678800501e-15,,,0.008978957999999926
growth,Budget,defined,11,9.978688614802939e-08,4.439250780308157e-08,5.990866171146081e-07,3.027880976250427e-17,3.7175714588498086e-09,8.46809610874448e-33,3.3480196748314484e-07,0,0.0,4.661521060711493e-06,0.0,-0.9999996652653707,0.025080082999999975
collective_growth,TMTM,defined,11,0.1646464646464639,0.03666666666666861,4.500103993147301e-15,9.420074148334662e-17,0.010385469656104838,2.6204922651892684e-05,,0,0.0,0.10000000000000853,,,0.009169874999999994
collective_growth,STMTM,defined,11,0.0633964301664191,0.04733568253266753,0.04733568253266753,0.15165902521131056,0.004097114055243177,1.7770812573068892e-08,,0,0.0,7.105427357601002e-15,,,0.012079417000000037
collective_growth,Budget,defined,11,3.306497156473118e-05,8.914416246241786e-06,9.69001812676377e-05,3.364312195833808e-17,1.729676618908558e-07,2.6198675846161108e-14,,0,0.0,0.0004826130085362479,0.0,-0.9999196274659425,0.028545583000000097
translation_growth,TMTM,defined,11,5.0323232323232325,1.0033333333333336,1.0000000000000002,9.420074148334662e-17,0.010000256588822707,2.209196217108845e-05,,0,0.0,0.10000000000000853,,,0.009252958000000033
translation_growth,STMTM,defined,11,5.006060606060597,0.9966666666666658,0.9966666666666658,0.15129267275068037,0.0040956206198744394,1.0571563635980195e-08,,0,0.0,7.105427357601002e-15,,,0.012188332999999885
translation_growth,Budget,defined,11,3.306497156849921e-05,8.91441624576809e-06,9.690018126976933e-05,3.364312195833808e-17,1.730015710521203e-07,2.619867585942865e-14,,0,0.0,0.0004826130085433533,0.0,-0.9999196274659425,0.028469791000000022
hierarchy_conflict,TMTM,defined,11,7.874533928233898,0.0,0.0,0.0,0.35313589791128935,0.12335487672443012,0.0,0,0.0,0.0,,,0.013295708000000017
hierarchy_conflict,STMTM,defined,11,3.652966147976979,1.7763568394002506e-16,3.552713678800501e-16,3.2802043909379626e-16,0.13009513968503245,0.016924745369668096,7.105427357601002e-15,0,0.0,2.248997792302216,,,0.11135099999999998
hierarchy_conflict,Budget,defined,11,3.6660622128027827,2.5655223456766407e-07,4.395100031473476e-07,0.0,0.13009806892269574,0.016925505070814688,2.911002532357543e-06,0,0.0,1.0476900827788924,5.297378358750912,-0.754801982485219,0.054057041999999944
topology_change,TMTM,defined,11,7.663690781042004,0.08677303497599995,0.08411871398834565,2.5232341468753557e-17,0.3378681087216806,0.11342649381900426,0.19999999999998863,0,0.0,0.10000000000000142,,,0.01333183300000007
topology_change,STMTM,defined,11,3.580543881933274,0.07640983806504975,0.06751361749440213,0.061983793250065575,0.12629528330068038,0.015956779075461322,0.5793932609538359,0,0.0,2.55310140888675,,,0.09820404100000002
topology_change,Budget,defined,11,3.6292711254365404,0.03491786132845291,0.029343400836456545,2.0185873175002847e-17,0.12633813279272305,0.015967533020046287,0.4132084593730667,0,0.0,1.4849999999999994,5.675262148337595,-0.754801982485219,0.049613999999999825
crowding,TMTM,defined,11,22.418939393939397,0.17875000000000227,0.17291666666666855,6.055761952500853e-17,1.4501661903695802,1.1531378902818242e-32,,0,0.0,0.10000000000000853,,,0.005547999999999886
crowding,STMTM,defined,11,7.961901007176693,0.05853795688852585,0.05853795688852585,0.03654193424579643,0.0017826967254127846,5.89511869363385e-33,,0,0.0,0.0,,,0.009175708999999976
crowding,Budget,defined,11,2.8634848484848496,0.012333333333332775,0.04008333333333347,5.0464682937507114e-17,0.5092262743906134,1.1136859516406366e-32,,0,0.0,2.7875000000000085,1.9249999999999972,7.105427357601002e-15,0.016133833999999903
summary_only,STMTM,skeleton_only,11,3.580543881933274,0.07640983806504975,0.06751361749440213,0.061983793250065575,0.12629528330068038,0.015956779075461322,0.5793932609538359,0,0.0,2.55310140888675,,,0.09193529199999984
summary_only,Budget,defined,11,3.6292711254365404,0.03491786132845291,0.029343400836456545,2.0185873175002847e-17,0.12633813279272305,0.015967533020046287,0.4132084593730667,0,0.0,1.4849999999999994,5.675262148337595,-0.754801982485219,0.048316000000000026
