dataset,method,position_2d_nrmse,position_2d_nmae,reference_x_nmae,reference_y_nmae,reference_x_p95,reference_y_p95,motion_2d_nmae,motion_magnitude_2d_nmae,trajectory_2d_nmae,direction_error_radians,direction_count,direction_zero_predictions,matched_steps,minimum_motion
ring,TMTM,0.22759886248636754,0.19969025534450757,0.2688111888111891,0.05031080031080031,0.5082051282051283,0.19230769230769232,0.021434186105962025,0.019077851734971115,0.0729135787261589,1.829145384334013,61,16,146,0.21
ring,ST-MTM,0.3330666678905606,0.2828827040159011,0.38900685241232064,0.05031080031080031,0.9087141525381169,0.19230769230769232,0.03039618870470434,0.020790522412114643,0.1259479070523286,2.0577525209349123,61,6,146,0.21
ring,X-only RA-MTM,0.06572918701664808,0.04560444573215417,0.020714959795419575,0.05031080031080031,0.07790549169859502,0.19230769230769232,0.022193635274328445,0.017158242668802108,0.05733433849959855,1.181032264068252,61,7,146,0.21
ring,Dual-Reference RA-MTM,0.029078487736397193,0.019591457586019666,0.020714959795419575,0.012051698833308035,0.07790549169859502,0.04000392965910193,0.017562173048987426,0.014887343855890085,0.03189726077122352,0.3691111829274199,61,0,146,0.21
