dataset,method,position_2d_nrmse,position_2d_nmae,reference_x_nmae,reference_y_nmae,reference_x_p95,reference_y_p95,motion_2d_nmae,motion_magnitude_2d_nmae,trajectory_2d_nmae,direction_error_radians,direction_count,direction_zero_predictions,matched_steps,minimum_motion,SNS_x,TW_x,TW_valid_frames_x,TD_x,distance_nrmse_x,growth_step_log_mae_x,SNS_y,TW_y,TW_valid_frames_y,TD_y,distance_nrmse_y,growth_step_log_mae_y,runtime_seconds,raster_x,raster_y,tau_x,tau_y
ring,TMTM,0.22759886248636754,0.19969025534450757,0.2688111888111891,0.05031080031080031,0.5082051282051283,0.19230769230769232,0.021434186105962025,0.019077851734971115,0.0729135787261589,1.829145384334013,61,16,146,0.21,0.1364750855601469,0.7936507936507936,3,282.1538461538463,0.8579197266619875,3.5034936073774046e-05,,,,,,,0.03413633303716779,196,,,
ring,ST-MTM,0.3329999757627383,0.28282827862385657,0.38891820702996344,0.05031080031080031,0.91115853137752,0.19230769230769232,0.03040728896165906,0.020748437103422626,0.12615374044555683,1.957075664335315,61,1,146,0.21,0.06436551634457119,0.9365079365079364,3,780.7123005934793,0.28242999991827156,0.15375039942250435,,,,,,,0.12549062492325902,196,,,
ring,X-only RA-MTM,0.06573888237034967,0.04559137801590086,0.020723177864510094,0.05031080031080031,0.07762073092200664,0.19230769230769232,0.022217397036010472,0.017177683217011835,0.05738657679824076,1.1340930346488312,61,5,146,0.21,0.14682143845999573,0.7063492063492064,3,867.9333601377367,0.5143414567737111,2.395344196965235e-17,,,,,,,0.42326154198963195,784,,32.879120879120876,
ring,Dual-Reference RA-MTM,0.0290842098764076,0.01956686530593629,0.020723177864510094,0.012014464405264342,0.07762073092200664,0.03978441796992191,0.017545737605299535,0.014867510269604627,0.031898618725957145,0.3683131756126478,61,0,146,0.21,0.14682143845999573,0.7063492063492064,3,867.9333601377367,0.5143414567737111,2.395344196965235e-17,0.09275625134633347,0.8809523809523809,3,588.3909723131222,0.3839968023579815,2.395344196965235e-17,0.8048186239320785,784,784,32.879120879120876,20.830700549450544
