repetition,method,layout_render_validation_seconds
0,TMTM,0.03679312497843057
0,ST-MTM,0.1365986670134589
0,X-only RA-MTM,0.5159327499568462
0,Dual-Y,0.33973029197659343
1,ST-MTM,0.1214753749081865
1,X-only RA-MTM,0.42326154198963195
1,Dual-Y,0.33600999996997416
1,TMTM,0.03239116701297462
2,X-only RA-MTM,0.4181710409466177
2,Dual-Y,0.38664758298546076
2,TMTM,0.03413633303716779
2,ST-MTM,0.12549062492325902
