scene,t,hierarchy_switch,tau,budget,reference_max,any_initial_layout_bound,initial_error_box_bound,cumulative_motion_lower_bound,cumulative_motion_max,step_motion_lower_bound,step_motion_max
hierarchy_change,0,False,13.264152613578403,14.264152613578403,14.264152613578403,0.0,0.0,0.0,0.0,0.0,0.0
hierarchy_change,1,False,13.21019915979248,14.21019915979248,14.21019915979248,0.0,0.053953453785922534,0.053953453785922534,0.2257397488953785,0.053953453785922534,0.2257397488953785
hierarchy_change,2,True,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,14.927595293246426,13.21019915979248,14.873641839460504
hierarchy_change,3,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.33655732033197694
hierarchy_change,4,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.0
hierarchy_change,5,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.0
hierarchy_change,6,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.0
hierarchy_change,7,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.0
hierarchy_change,8,True,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.0
hierarchy_change,9,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.0
hierarchy_change,10,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.0
hierarchy_change,11,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.0
hierarchy_change,12,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.036666106567665224
