scene,method,t,scalar_topology_equal,source_leaf_count,output_leaf_count,hierarchy_legal
translation,RA-MTM,16,True,3,3,True
translation,RA-MTM,17,True,3,3,True
translation,RA-MTM,18,True,3,3,True
translation,RA-MTM,19,True,3,3,True
translation,RA-MTM,20,True,3,3,True
growth,TMTM,0,True,3,3,True
growth,TMTM,1,True,3,3,True
growth,TMTM,2,True,3,3,True
growth,TMTM,3,True,3,3,True
growth,TMTM,4,True,3,3,True
growth,TMTM,5,True,3,3,True
growth,TMTM,6,True,3,3,True
growth,TMTM,7,True,3,3,True
growth,TMTM,8,True,3,3,True
growth,TMTM,9,True,3,3,True
growth,TMTM,10,True,3,3,True
growth,TMTM,11,True,3,3,True
growth,TMTM,12,True,3,3,True
growth,TMTM,13,True,3,3,True
growth,TMTM,14,True,3,3,True
growth,TMTM,15,True,3,3,True
growth,TMTM,16,True,3,3,True
growth,TMTM,17,True,3,3,True
growth,TMTM,18,True,3,3,True
growth,TMTM,19,True,3,3,True
growth,TMTM,20,True,3,3,True
growth,ST-MTM,0,True,3,3,True
growth,ST-MTM,1,True,3,3,True
growth,ST-MTM,2,True,3,3,True
growth,ST-MTM,3,True,3,3,True
growth,ST-MTM,4,True,3,3,True
growth,ST-MTM,5,True,3,3,True
growth,ST-MTM,6,True,3,3,True
growth,ST-MTM,7,True,3,3,True
growth,ST-MTM,8,True,3,3,True
growth,ST-MTM,9,True,3,3,True
growth,ST-MTM,10,True,3,3,True
growth,ST-MTM,11,True,3,3,True
growth,ST-MTM,12,True,3,3,True
growth,ST-MTM,13,True,3,3,True
growth,ST-MTM,14,True,3,3,True
growth,ST-MTM,15,True,3,3,True
growth,ST-MTM,16,True,3,3,True
growth,ST-MTM,17,True,3,3,True
growth,ST-MTM,18,True,3,3,True
growth,ST-MTM,19,True,3,3,True
growth,ST-MTM,20,True,3,3,True
growth,RA-MTM,0,True,3,3,True
growth,RA-MTM,1,True,3,3,True
growth,RA-MTM,2,True,3,3,True
growth,RA-MTM,3,True,3,3,True
growth,RA-MTM,4,True,3,3,True
growth,RA-MTM,5,True,3,3,True
growth,RA-MTM,6,True,3,3,True
growth,RA-MTM,7,True,3,3,True
growth,RA-MTM,8,True,3,3,True
growth,RA-MTM,9,True,3,3,True
growth,RA-MTM,10,True,3,3,True
growth,RA-MTM,11,True,3,3,True
growth,RA-MTM,12,True,3,3,True
growth,RA-MTM,13,True,3,3,True
growth,RA-MTM,14,True,3,3,True
growth,RA-MTM,15,True,3,3,True
growth,RA-MTM,16,True,3,3,True
growth,RA-MTM,17,True,3,3,True
growth,RA-MTM,18,True,3,3,True
growth,RA-MTM,19,True,3,3,True
growth,RA-MTM,20,True,3,3,True
translation_growth,TMTM,0,True,3,3,True
translation_growth,TMTM,1,True,3,3,True
translation_growth,TMTM,2,True,3,3,True
translation_growth,TMTM,3,True,3,3,True
translation_growth,TMTM,4,True,3,3,True
translation_growth,TMTM,5,True,3,3,True
translation_growth,TMTM,6,True,3,3,True
translation_growth,TMTM,7,True,3,3,True
translation_growth,TMTM,8,True,3,3,True
translation_growth,TMTM,9,True,3,3,True
translation_growth,TMTM,10,True,3,3,True
translation_growth,TMTM,11,True,3,3,True
translation_growth,TMTM,12,True,3,3,True
translation_growth,TMTM,13,True,3,3,True
translation_growth,TMTM,14,True,3,3,True
translation_growth,TMTM,15,True,3,3,True
translation_growth,TMTM,16,True,3,3,True
translation_growth,TMTM,17,True,3,3,True
translation_growth,TMTM,18,True,3,3,True
translation_growth,TMTM,19,True,3,3,True
translation_growth,TMTM,20,True,3,3,True
translation_growth,ST-MTM,0,True,3,3,True
translation_growth,ST-MTM,1,True,3,3,True
translation_growth,ST-MTM,2,True,3,3,True
translation_growth,ST-MTM,3,True,3,3,True
translation_growth,ST-MTM,4,True,3,3,True
translation_growth,ST-MTM,5,True,3,3,True
translation_growth,ST-MTM,6,True,3,3,True
translation_growth,ST-MTM,7,True,3,3,True
translation_growth,ST-MTM,8,True,3,3,True
translation_growth,ST-MTM,9,True,3,3,True
translation_growth,ST-MTM,10,True,3,3,True
translation_growth,ST-MTM,11,True,3,3,True
translation_growth,ST-MTM,12,True,3,3,True
translation_growth,ST-MTM,13,True,3,3,True
translation_growth,ST-MTM,14,True,3,3,True
translation_growth,ST-MTM,15,True,3,3,True
translation_growth,ST-MTM,16,True,3,3,True
translation_growth,ST-MTM,17,True,3,3,True
translation_growth,ST-MTM,18,True,3,3,True
translation_growth,ST-MTM,19,True,3,3,True
translation_growth,ST-MTM,20,True,3,3,True
translation_growth,RA-MTM,0,True,3,3,True
translation_growth,RA-MTM,1,True,3,3,True
translation_growth,RA-MTM,2,True,3,3,True
translation_growth,RA-MTM,3,True,3,3,True
translation_growth,RA-MTM,4,True,3,3,True
translation_growth,RA-MTM,5,True,3,3,True
translation_growth,RA-MTM,6,True,3,3,True
translation_growth,RA-MTM,7,True,3,3,True
translation_growth,RA-MTM,8,True,3,3,True
translation_growth,RA-MTM,9,True,3,3,True
translation_growth,RA-MTM,10,True,3,3,True
translation_growth,RA-MTM,11,True,3,3,True
translation_growth,RA-MTM,12,True,3,3,True
translation_growth,RA-MTM,13,True,3,3,True
translation_growth,RA-MTM,14,True,3,3,True
translation_growth,RA-MTM,15,True,3,3,True
translation_growth,RA-MTM,16,True,3,3,True
translation_growth,RA-MTM,17,True,3,3,True
translation_growth,RA-MTM,18,True,3,3,True
translation_growth,RA-MTM,19,True,3,3,True
translation_growth,RA-MTM,20,True,3,3,True
local_growth,TMTM,0,True,3,3,True
local_growth,TMTM,1,True,3,3,True
local_growth,TMTM,2,True,3,3,True
local_growth,TMTM,3,True,3,3,True
local_growth,TMTM,4,True,3,3,True
local_growth,TMTM,5,True,3,3,True
local_growth,TMTM,6,True,3,3,True
local_growth,TMTM,7,True,3,3,True
local_growth,TMTM,8,True,3,3,True
local_growth,TMTM,9,True,3,3,True
local_growth,TMTM,10,True,3,3,True
local_growth,TMTM,11,True,3,3,True
local_growth,TMTM,12,True,3,3,True
local_growth,TMTM,13,True,3,3,True
local_growth,TMTM,14,True,3,3,True
local_growth,TMTM,15,True,3,3,True
local_growth,TMTM,16,True,3,3,True
local_growth,TMTM,17,True,3,3,True
local_growth,TMTM,18,True,3,3,True
local_growth,TMTM,19,True,3,3,True
local_growth,TMTM,20,True,3,3,True
local_growth,ST-MTM,0,True,3,3,True
local_growth,ST-MTM,1,True,3,3,True
local_growth,ST-MTM,2,True,3,3,True
local_growth,ST-MTM,3,True,3,3,True
local_growth,ST-MTM,4,True,3,3,True
local_growth,ST-MTM,5,True,3,3,True
local_growth,ST-MTM,6,True,3,3,True
local_growth,ST-MTM,7,True,3,3,True
local_growth,ST-MTM,8,True,3,3,True
local_growth,ST-MTM,9,True,3,3,True
local_growth,ST-MTM,10,True,3,3,True
local_growth,ST-MTM,11,True,3,3,True
local_growth,ST-MTM,12,True,3,3,True
local_growth,ST-MTM,13,True,3,3,True
local_growth,ST-MTM,14,True,3,3,True
local_growth,ST-MTM,15,True,3,3,True
local_growth,ST-MTM,16,True,3,3,True
local_growth,ST-MTM,17,True,3,3,True
local_growth,ST-MTM,18,True,3,3,True
local_growth,ST-MTM,19,True,3,3,True
local_growth,ST-MTM,20,True,3,3,True
local_growth,RA-MTM,0,True,3,3,True
local_growth,RA-MTM,1,True,3,3,True
local_growth,RA-MTM,2,True,3,3,True
local_growth,RA-MTM,3,True,3,3,True
local_growth,RA-MTM,4,True,3,3,True
local_growth,RA-MTM,5,True,3,3,True
local_growth,RA-MTM,6,True,3,3,True
local_growth,RA-MTM,7,True,3,3,True
local_growth,RA-MTM,8,True,3,3,True
local_growth,RA-MTM,9,True,3,3,True
local_growth,RA-MTM,10,True,3,3,True
local_growth,RA-MTM,11,True,3,3,True
local_growth,RA-MTM,12,True,3,3,True
local_growth,RA-MTM,13,True,3,3,True
local_growth,RA-MTM,14,True,3,3,True
local_growth,RA-MTM,15,True,3,3,True
local_growth,RA-MTM,16,True,3,3,True
local_growth,RA-MTM,17,True,3,3,True
local_growth,RA-MTM,18,True,3,3,True
local_growth,RA-MTM,19,True,3,3,True
local_growth,RA-MTM,20,True,3,3,True
hierarchy_change,TMTM,0,True,4,4,True
hierarchy_change,TMTM,1,True,4,4,True
hierarchy_change,TMTM,2,True,4,4,True
hierarchy_change,TMTM,3,True,4,4,True
hierarchy_change,TMTM,4,True,4,4,True
hierarchy_change,TMTM,5,True,4,4,True
hierarchy_change,TMTM,6,True,4,4,True
hierarchy_change,TMTM,7,True,4,4,True
hierarchy_change,TMTM,8,True,4,4,True
hierarchy_change,TMTM,9,True,4,4,True
hierarchy_change,TMTM,10,True,4,4,True
hierarchy_change,TMTM,11,True,4,4,True
hierarchy_change,TMTM,12,True,4,4,True
hierarchy_change,TMTM,13,True,4,4,True
hierarchy_change,TMTM,14,True,4,4,True
hierarchy_change,TMTM,15,True,4,4,True
hierarchy_change,TMTM,16,True,4,4,True
hierarchy_change,TMTM,17,True,4,4,True
hierarchy_change,TMTM,18,True,4,4,True
hierarchy_change,TMTM,19,True,4,4,True
hierarchy_change,TMTM,20,True,4,4,True
hierarchy_change,ST-MTM,0,True,4,4,True
hierarchy_change,ST-MTM,1,True,4,4,True
hierarchy_change,ST-MTM,2,True,4,4,True
hierarchy_change,ST-MTM,3,True,4,4,True
hierarchy_change,ST-MTM,4,True,4,4,True
hierarchy_change,ST-MTM,5,True,4,4,True
hierarchy_change,ST-MTM,6,True,4,4,True
hierarchy_change,ST-MTM,7,True,4,4,True
hierarchy_change,ST-MTM,8,True,4,4,True
hierarchy_change,ST-MTM,9,True,4,4,True
hierarchy_change,ST-MTM,10,True,4,4,True
hierarchy_change,ST-MTM,11,True,4,4,True
hierarchy_change,ST-MTM,12,True,4,4,True
hierarchy_change,ST-MTM,13,True,4,4,True
hierarchy_change,ST-MTM,14,True,4,4,True
hierarchy_change,ST-MTM,15,True,4,4,True
hierarchy_change,ST-MTM,16,True,4,4,True
hierarchy_change,ST-MTM,17,True,4,4,True
hierarchy_change,ST-MTM,18,True,4,4,True
hierarchy_change,ST-MTM,19,True,4,4,True
hierarchy_change,ST-MTM,20,True,4,4,True
hierarchy_change,RA-MTM,0,True,4,4,True
hierarchy_change,RA-MTM,1,True,4,4,True
hierarchy_change,RA-MTM,2,True,4,4,True
hierarchy_change,RA-MTM,3,True,4,4,True
hierarchy_change,RA-MTM,4,True,4,4,True
hierarchy_change,RA-MTM,5,True,4,4,True
hierarchy_change,RA-MTM,6,True,4,4,True
hierarchy_change,RA-MTM,7,True,4,4,True
hierarchy_change,RA-MTM,8,True,4,4,True
hierarchy_change,RA-MTM,9,True,4,4,True
hierarchy_change,RA-MTM,10,True,4,4,True
hierarchy_change,RA-MTM,11,True,4,4,True
hierarchy_change,RA-MTM,12,True,4,4,True
hierarchy_change,RA-MTM,13,True,4,4,True
hierarchy_change,RA-MTM,14,True,4,4,True
hierarchy_change,RA-MTM,15,True,4,4,True
hierarchy_change,RA-MTM,16,True,4,4,True
hierarchy_change,RA-MTM,17,True,4,4,True
hierarchy_change,RA-MTM,18,True,4,4,True
hierarchy_change,RA-MTM,19,True,4,4,True
hierarchy_change,RA-MTM,20,True,4,4,True
crowding,TMTM,0,True,3,3,True
crowding,TMTM,1,True,3,3,True
crowding,TMTM,2,True,3,3,True
crowding,TMTM,3,True,3,3,True
crowding,TMTM,4,True,3,3,True
crowding,TMTM,5,True,3,3,True
crowding,TMTM,6,True,3,3,True
crowding,TMTM,7,True,3,3,True
crowding,TMTM,8,True,3,3,True
crowding,TMTM,9,True,3,3,True
crowding,TMTM,10,True,3,3,True
crowding,TMTM,11,True,3,3,True
crowding,TMTM,12,True,3,3,True
crowding,TMTM,13,True,3,3,True
crowding,TMTM,14,True,3,3,True
crowding,TMTM,15,True,3,3,True
crowding,TMTM,16,True,3,3,True
crowding,TMTM,17,True,3,3,True
crowding,TMTM,18,True,3,3,True
crowding,TMTM,19,True,3,3,True
crowding,TMTM,20,True,3,3,True
crowding,ST-MTM,0,True,3,3,True
crowding,ST-MTM,1,True,3,3,True
crowding,ST-MTM,2,True,3,3,True
crowding,ST-MTM,3,True,3,3,True
crowding,ST-MTM,4,True,3,3,True
crowding,ST-MTM,5,True,3,3,True
crowding,ST-MTM,6,True,3,3,True
crowding,ST-MTM,7,True,3,3,True
crowding,ST-MTM,8,True,3,3,True
crowding,ST-MTM,9,True,3,3,True
crowding,ST-MTM,10,True,3,3,True
crowding,ST-MTM,11,True,3,3,True
crowding,ST-MTM,12,True,3,3,True
crowding,ST-MTM,13,True,3,3,True
crowding,ST-MTM,14,True,3,3,True
crowding,ST-MTM,15,True,3,3,True
crowding,ST-MTM,16,True,3,3,True
crowding,ST-MTM,17,True,3,3,True
crowding,ST-MTM,18,True,3,3,True
crowding,ST-MTM,19,True,3,3,True
crowding,ST-MTM,20,True,3,3,True
crowding,RA-MTM,0,True,3,3,True
crowding,RA-MTM,1,True,3,3,True
crowding,RA-MTM,2,True,3,3,True
crowding,RA-MTM,3,True,3,3,True
crowding,RA-MTM,4,True,3,3,True
crowding,RA-MTM,5,True,3,3,True
crowding,RA-MTM,6,True,3,3,True
crowding,RA-MTM,7,True,3,3,True
crowding,RA-MTM,8,True,3,3,True
crowding,RA-MTM,9,True,3,3,True
crowding,RA-MTM,10,True,3,3,True
crowding,RA-MTM,11,True,3,3,True
crowding,RA-MTM,12,True,3,3,True
crowding,RA-MTM,13,True,3,3,True
crowding,RA-MTM,14,True,3,3,True
crowding,RA-MTM,15,True,3,3,True
crowding,RA-MTM,16,True,3,3,True
crowding,RA-MTM,17,True,3,3,True
crowding,RA-MTM,18,True,3,3,True
crowding,RA-MTM,19,True,3,3,True
crowding,RA-MTM,20,True,3,3,True
advection_diffusion,TMTM,0,True,4,4,True
advection_diffusion,TMTM,1,True,4,4,True
advection_diffusion,TMTM,2,True,4,4,True
advection_diffusion,TMTM,3,True,4,4,True
advection_diffusion,TMTM,4,True,4,4,True
advection_diffusion,TMTM,5,True,4,4,True
advection_diffusion,TMTM,6,True,4,4,True
advection_diffusion,TMTM,7,True,4,4,True
advection_diffusion,TMTM,8,True,4,4,True
advection_diffusion,TMTM,9,True,4,4,True
advection_diffusion,TMTM,10,True,4,4,True
advection_diffusion,TMTM,11,True,4,4,True
advection_diffusion,TMTM,12,True,4,4,True
advection_diffusion,TMTM,13,True,4,4,True
advection_diffusion,TMTM,14,True,4,4,True
advection_diffusion,TMTM,15,True,4,4,True
advection_diffusion,TMTM,16,True,4,4,True
advection_diffusion,TMTM,17,True,4,4,True
advection_diffusion,TMTM,18,True,4,4,True
advection_diffusion,TMTM,19,True,4,4,True
advection_diffusion,TMTM,20,True,4,4,True
advection_diffusion,ST-MTM,0,True,4,4,True
advection_diffusion,ST-MTM,1,True,4,4,True
advection_diffusion,ST-MTM,2,True,4,4,True
advection_diffusion,ST-MTM,3,True,4,4,True
advection_diffusion,ST-MTM,4,True,4,4,True
advection_diffusion,ST-MTM,5,True,4,4,True
advection_diffusion,ST-MTM,6,True,4,4,True
advection_diffusion,ST-MTM,7,True,4,4,True
advection_diffusion,ST-MTM,8,True,4,4,True
advection_diffusion,ST-MTM,9,True,4,4,True
advection_diffusion,ST-MTM,10,True,4,4,True
advection_diffusion,ST-MTM,11,True,4,4,True
advection_diffusion,ST-MTM,12,True,4,4,True
advection_diffusion,ST-MTM,13,True,4,4,True
advection_diffusion,ST-MTM,14,True,4,4,True
advection_diffusion,ST-MTM,15,True,4,4,True
advection_diffusion,ST-MTM,16,True,4,4,True
advection_diffusion,ST-MTM,17,True,4,4,True
advection_diffusion,ST-MTM,18,True,4,4,True
advection_diffusion,ST-MTM,19,True,4,4,True
advection_diffusion,ST-MTM,20,True,4,4,True
advection_diffusion,RA-MTM,0,True,4,4,True
advection_diffusion,RA-MTM,1,True,4,4,True
advection_diffusion,RA-MTM,2,True,4,4,True
advection_diffusion,RA-MTM,3,True,4,4,True
advection_diffusion,RA-MTM,4,True,4,4,True
advection_diffusion,RA-MTM,5,True,4,4,True
advection_diffusion,RA-MTM,6,True,4,4,True
advection_diffusion,RA-MTM,7,True,4,4,True
advection_diffusion,RA-MTM,8,True,4,4,True
advection_diffusion,RA-MTM,9,True,4,4,True
advection_diffusion,RA-MTM,10,True,4,4,True
advection_diffusion,RA-MTM,11,True,4,4,True
advection_diffusion,RA-MTM,12,True,4,4,True
advection_diffusion,RA-MTM,13,True,4,4,True
advection_diffusion,RA-MTM,14,True,4,4,True
advection_diffusion,RA-MTM,15,True,4,4,True
advection_diffusion,RA-MTM,16,True,4,4,True
advection_diffusion,RA-MTM,17,True,4,4,True
advection_diffusion,RA-MTM,18,True,4,4,True
advection_diffusion,RA-MTM,19,True,4,4,True
advection_diffusion,RA-MTM,20,True,4,4,True
hierarchy_change_seed1,TMTM,0,True,4,4,True
hierarchy_change_seed1,TMTM,1,True,4,4,True
hierarchy_change_seed1,TMTM,2,True,4,4,True
hierarchy_change_seed1,TMTM,3,True,4,4,True
hierarchy_change_seed1,TMTM,4,True,4,4,True
hierarchy_change_seed1,TMTM,5,True,4,4,True
hierarchy_change_seed1,TMTM,6,True,4,4,True
hierarchy_change_seed1,TMTM,7,True,4,4,True
hierarchy_change_seed1,TMTM,8,True,4,4,True
hierarchy_change_seed1,TMTM,9,True,4,4,True
hierarchy_change_seed1,TMTM,10,True,4,4,True
hierarchy_change_seed1,TMTM,11,True,4,4,True
hierarchy_change_seed1,TMTM,12,True,4,4,True
hierarchy_change_seed1,TMTM,13,True,4,4,True
hierarchy_change_seed1,TMTM,14,True,4,4,True
hierarchy_change_seed1,TMTM,15,True,4,4,True
hierarchy_change_seed1,TMTM,16,True,4,4,True
hierarchy_change_seed1,TMTM,17,True,4,4,True
hierarchy_change_seed1,TMTM,18,True,4,4,True
hierarchy_change_seed1,TMTM,19,True,4,4,True
hierarchy_change_seed1,TMTM,20,True,4,4,True
hierarchy_change_seed1,ST-MTM,0,True,4,4,True
hierarchy_change_seed1,ST-MTM,1,True,4,4,True
hierarchy_change_seed1,ST-MTM,2,True,4,4,True
hierarchy_change_seed1,ST-MTM,3,True,4,4,True
hierarchy_change_seed1,ST-MTM,4,True,4,4,True
hierarchy_change_seed1,ST-MTM,5,True,4,4,True
hierarchy_change_seed1,ST-MTM,6,True,4,4,True
hierarchy_change_seed1,ST-MTM,7,True,4,4,True
hierarchy_change_seed1,ST-MTM,8,True,4,4,True
hierarchy_change_seed1,ST-MTM,9,True,4,4,True
hierarchy_change_seed1,ST-MTM,10,True,4,4,True
hierarchy_change_seed1,ST-MTM,11,True,4,4,True
hierarchy_change_seed1,ST-MTM,12,True,4,4,True
hierarchy_change_seed1,ST-MTM,13,True,4,4,True
hierarchy_change_seed1,ST-MTM,14,True,4,4,True
hierarchy_change_seed1,ST-MTM,15,True,4,4,True
hierarchy_change_seed1,ST-MTM,16,True,4,4,True
hierarchy_change_seed1,ST-MTM,17,True,4,4,True
hierarchy_change_seed1,ST-MTM,18,True,4,4,True
hierarchy_change_seed1,ST-MTM,19,True,4,4,True
hierarchy_change_seed1,ST-MTM,20,True,4,4,True
hierarchy_change_seed1,RA-MTM,0,True,4,4,True
hierarchy_change_seed1,RA-MTM,1,True,4,4,True
hierarchy_change_seed1,RA-MTM,2,True,4,4,True
hierarchy_change_seed1,RA-MTM,3,True,4,4,True
hierarchy_change_seed1,RA-MTM,4,True,4,4,True
hierarchy_change_seed1,RA-MTM,5,True,4,4,True
hierarchy_change_seed1,RA-MTM,6,True,4,4,True
hierarchy_change_seed1,RA-MTM,7,True,4,4,True
hierarchy_change_seed1,RA-MTM,8,True,4,4,True
hierarchy_change_seed1,RA-MTM,9,True,4,4,True
hierarchy_change_seed1,RA-MTM,10,True,4,4,True
hierarchy_change_seed1,RA-MTM,11,True,4,4,True
hierarchy_change_seed1,RA-MTM,12,True,4,4,True
hierarchy_change_seed1,RA-MTM,13,True,4,4,True
hierarchy_change_seed1,RA-MTM,14,True,4,4,True
hierarchy_change_seed1,RA-MTM,15,True,4,4,True
hierarchy_change_seed1,RA-MTM,16,True,4,4,True
hierarchy_change_seed1,RA-MTM,17,True,4,4,True
hierarchy_change_seed1,RA-MTM,18,True,4,4,True
hierarchy_change_seed1,RA-MTM,19,True,4,4,True
hierarchy_change_seed1,RA-MTM,20,True,4,4,True
hierarchy_change_seed2,TMTM,0,True,4,4,True
hierarchy_change_seed2,TMTM,1,True,4,4,True
hierarchy_change_seed2,TMTM,2,True,4,4,True
hierarchy_change_seed2,TMTM,3,True,4,4,True
hierarchy_change_seed2,TMTM,4,True,4,4,True
hierarchy_change_seed2,TMTM,5,True,4,4,True
hierarchy_change_seed2,TMTM,6,True,4,4,True
hierarchy_change_seed2,TMTM,7,True,4,4,True
hierarchy_change_seed2,TMTM,8,True,4,4,True
hierarchy_change_seed2,TMTM,9,True,4,4,True
hierarchy_change_seed2,TMTM,10,True,4,4,True
hierarchy_change_seed2,TMTM,11,True,4,4,True
hierarchy_change_seed2,TMTM,12,True,4,4,True
hierarchy_change_seed2,TMTM,13,True,4,4,True
hierarchy_change_seed2,TMTM,14,True,4,4,True
hierarchy_change_seed2,TMTM,15,True,4,4,True
hierarchy_change_seed2,TMTM,16,True,4,4,True
hierarchy_change_seed2,TMTM,17,True,4,4,True
hierarchy_change_seed2,TMTM,18,True,4,4,True
hierarchy_change_seed2,TMTM,19,True,4,4,True
hierarchy_change_seed2,TMTM,20,True,4,4,True
hierarchy_change_seed2,ST-MTM,0,True,4,4,True
hierarchy_change_seed2,ST-MTM,1,True,4,4,True
hierarchy_change_seed2,ST-MTM,2,True,4,4,True
hierarchy_change_seed2,ST-MTM,3,True,4,4,True
hierarchy_change_seed2,ST-MTM,4,True,4,4,True
hierarchy_change_seed2,ST-MTM,5,True,4,4,True
