scale,crowding,extra_budget,t,tau,budget,reference_max,projection_distortion,geometry_lower_bound,distance_nrmse,global_gap_bound
3.0,0.0,0.0,0,0.0,0.0,0.0,0.31917864586682304,0.31917864586682304,0.31917864586682304,0.0
3.0,0.0,0.0,1,0.0,0.0,0.0,0.3239066389881019,0.3239066389881019,0.3239066389881019,0.0
3.0,0.0,0.0,2,0.0,0.0,0.0,0.33393884112805594,0.33393884112805594,0.33393884112805594,0.0
3.0,0.0,0.0,3,0.0,0.0,0.0,0.3408206336928678,0.3408206336928678,0.3408206336928678,0.0
3.0,0.0,0.0,4,0.0,0.0,0.0,0.3454969611483205,0.3454969611483205,0.3454969611483205,0.0
3.0,0.0,0.0,5,0.0,0.0,0.0,0.3547766946966735,0.3547766946966735,0.3547766946966735,0.0
3.0,0.0,0.0,6,0.0,0.0,0.0,0.3610288534747926,0.3610288534747926,0.3610288534747926,0.0
3.0,0.0,0.0,7,0.0,0.0,0.0,0.37093301932773226,0.37093301932773226,0.37093301932773226,0.0
3.0,0.0,0.0,8,0.0,0.0,0.0,0.378111397412823,0.378111397412823,0.378111397412823,0.0
3.0,0.0,0.0,9,0.0,0.0,0.0,0.38376036472299385,0.38376036472299385,0.38376036472299385,0.0
3.0,0.0,0.0,10,0.0,0.0,0.0,0.3937733980383338,0.3937733980383338,0.3937733980383338,0.0
3.0,0.0,0.0,11,0.0,0.0,0.0,0.40105674490628246,0.40105674490628246,0.40105674490628246,0.0
3.0,0.0,0.0,12,0.0,0.0,0.0,0.41085519964278183,0.41085519964278183,0.41085519964278183,0.0
3.0,0.0,0.0,13,0.0,0.0,0.0,0.4201872964181402,0.4201872964181402,0.4201872964181402,0.0
3.0,0.0,0.0,14,0.0,0.0,0.0,0.42906959654881527,0.42906959654881527,0.42906959654881527,0.0
3.0,0.0,0.0,15,0.0,0.0,0.0,0.4382427618330167,0.4382427618330167,0.4382427618330167,0.0
3.0,0.0,0.0,16,0.0,0.0,0.0,0.44880138292869753,0.44880138292869753,0.44880138292869753,0.0
3.0,0.0,0.0,17,0.0,0.0,0.0,0.45675742907525424,0.45675742907525424,0.45675742907525424,0.0
3.0,0.0,0.0,18,0.0,0.0,0.0,0.4662978937208963,0.4662978937208963,0.4662978937208963,0.0
3.0,0.0,0.0,19,0.0,0.0,0.0,0.4761358367976109,0.4761358367976109,0.4761358367976109,0.0
3.0,0.0,0.0,20,0.0,0.0,0.0,0.4886846520621059,0.4886846520621059,0.4886846520621059,0.0
3.0,0.0,1.0,0,0.0,1.0,1.0,0.31917864586682304,0.2915736137440535,0.2980023196806335,1.9429895701250643e-06
3.0,0.0,1.0,1,0.0,1.0,1.0,0.3239066389881019,0.2961149375909288,0.3026381254796039,1.6364764405807364e-06
3.0,0.0,1.0,2,0.0,1.0,1.0,0.33393884112805594,0.30581561762880577,0.312421614925186,1.5785795994815999e-06
3.0,0.0,1.0,3,0.0,1.0,1.0,0.3408206336928678,0.31252576254020625,0.3191694793753326,1.3512088230527297e-06
3.0,0.0,1.0,4,0.0,1.0,1.0,0.3454969611483205,0.31704253285181744,0.3236783433742481,1.2908853932458442e-06
3.0,0.0,1.0,5,0.0,1.0,1.0,0.3547766946966735,0.32599768464161766,0.33279452402032544,1.2656331023208622e-06
3.0,0.0,1.0,6,0.0,1.0,1.0,0.3610288534747926,0.3320597376066712,0.33882875794609374,1.1265252055636665e-06
3.0,0.0,1.0,7,0.0,1.0,1.0,0.37093301932773226,0.3416700599603904,0.3484556478253147,1.0175270404033654e-06
3.0,0.0,1.0,8,0.0,1.0,1.0,0.378111397412823,0.34864000174765547,0.3554740369197213,9.967624237106065e-07
3.0,0.0,1.0,9,0.0,1.0,1.0,0.38376036472299385,0.3540452949513596,0.3609317494880032,8.784825240581995e-07
