scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
static,TMTM,defined,13,0.155555555555555,0.0,0.0,0.0,0.011189434999827831,5.162124179278722e-05,0.0,0,0.0,0.10000000000000142,,,0.01143054198473692,0.0012962962962962917,0.0019444444444443932,0.0,0.0,0.0,0.0,0.0,0.0,0.0012962962962962917,0.0019444444444443932,0.0,0.0,0.0,0.0,0.0,0.0
static,ST-MTM,defined,13,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,0.014039292000234127,5.921189464667501e-17,5.921189464667501e-17,0.0,0.0,0.0,0.0,0.0,0.0,9.537623066099165e-05,0.00019989451476790283,0.0,0.0,0.0,0.0,0.0,0.0
static,RA-MTM,defined,13,2.9640984843891918e-05,2.6057660621840264e-06,2.6220085644013125e-05,0.0,1.107882181456192e-06,1.0976115365635325e-12,3.4502778994749406e-05,0,0.0,0.0015326698606230593,0.0,-0.9999167435082299,0.04147679207380861,2.470082070324327e-07,4.4162623795548e-07,2.497184724740101e-07,2.497184724740101e-07,2.1714717184866888e-08,0.0,0.0,0.0,8.616946208548112e-05,0.00018156652011078005,0.0,0.0,0.0,0.0,0.0,0.0
hierarchy_conflict,TMTM,defined,11,7.874533928233898,0.0,0.0,0.0,0.35313589791128935,0.12335487672443012,0.0,0,0.0,0.0,,,0.014250290929339826,0.06562111606861581,0.12988990691828897,0.0,0.0,0.0,0.0,0.0,0.0,0.06562111606861581,0.12988990691828897,0.0,0.0,0.0,0.0,0.0,0.0
hierarchy_conflict,ST-MTM,defined,11,3.652966147976979,1.7763568394002506e-16,3.552713678800501e-16,3.2802043909379626e-16,0.13009513968503245,0.016924745369668096,7.105427357601002e-15,0,0.0,2.248997792302216,,,0.11454408406279981,0.030441384566474824,0.04596986584314588,1.4802973661668754e-17,1.4802973661668754e-17,1.4802973661668755e-18,3.608224830031761e-16,3.33066907387547e-16,1.4432899320127045e-15,0.030644123382035218,0.04700106787453606,0.0,0.0,0.0,0.0,0.0,0.0
hierarchy_conflict,RA-MTM,defined,11,3.3168469795583757,8.270979892088804e-08,1.19768442541357e-07,0.0,0.1312884134121422,0.01694960213633058,1.1704975904081039e-06,0,0.0,1.2750000000000057,5.297378358750912,-0.9651738312857674,0.05347775004338473,0.027640391496319798,0.04443502869958072,6.547991201107569e-09,6.547991201107569e-09,6.892483243407337e-10,0.0,0.0,0.0,0.02768542399148476,0.044522831115836624,0.0,0.0,0.0,0.0,0.0,0.0
summary_only,ST-MTM,skeleton_only,11,3.580543881933274,0.07640983806504975,0.06751361749440213,0.061983793250065575,0.12629528330068038,0.015956779075461322,0.5793932609538359,0,0.0,2.55310140888675,,,0.09859741700347513,0.029837865682777284,0.0492034230564143,0.0029865741223948352,0.0029865741223948352,0.0006367486505420813,0.06554098062973857,0.06554096228856478,0.09415254329987299,,,,,,,,
summary_only,RA-MTM,skeleton_only,11,3.3546590711951723,0.027908363025641324,0.02736169767231269,2.0185873175002847e-17,0.1274078952490121,0.0159765878916591,0.42620007570240404,0,0.0,1.4849999999999994,5.675262148337595,-0.9168575451700463,0.05276979098562151,0.027955492259959767,0.04652236858666328,0.0005597093887847792,2.066376871094159e-09,0.00023256969188034437,2.0556473190325163e-17,1.231653667943533e-16,0.0,,,,,,,,
