conflict,method,frames,reference_nmae,motion_step_nmae,distance_nrmse
False,TMTM,30,0.2446520417273035,0.07730616403739157,0.48894160371998013
False,ST-MTM,30,0.5141237997380091,0.0872217178938001,0.2667332368652816
False,RA-MTM,30,0.00768161234906356,0.01739705008763519,0.4623026860018797
True,TMTM,88,0.25855442730809186,0.08148526757961173,0.5310581541914545
True,ST-MTM,88,0.7031386787888447,0.07973255255182328,0.30454946800528215
True,RA-MTM,88,0.05359433670461466,0.03993875031071241,0.5356227774341291
