scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift,family,seed,grid,total_area_ratio_final,true_total_area_ratio_final,mean_displacement_final,true_mean_displacement_final
gaussian2d_hierarchy_change_seed1,TMTM,defined,21,15.526226411085062,0.8346653822637199,0.8348429390819015,2.9903328490647816e-17,0.6665794507015654,0.15044213078412022,,0,0.0,0.014204545454560957,,,0.1636499169981107,0.12938522009237552,0.2379361959468998,0.05480712346565319,0.02521920457300173,0.006955544852197666,4.90059381963448e-17,6.938893903907228e-17,,0.12938522009237552,0.2379361959468998,0.05480712346565319,0.02521920457300173,0.006955544852197666,4.90059381963448e-17,6.938893903907228e-17,,hierarchy_change,1,65,0.3064079422382671,0.3064079422382672,-1.7897727272727266,4.124416513342794
gaussian2d_hierarchy_change_seed1,ST-MTM,defined,21,9.34254735263946,0.7901559355466162,1.486796800031752,0.4030323073804019,0.2514263933327229,0.059815608146267574,,0,0.0,20.032033538127394,,,0.23098433297127485,0.0778545612719955,0.15799510016904522,0.06815100707882175,0.01741558241391077,0.006584632796221802,0.6101838549796226,0.6101838275192614,,0.07783149629516105,0.1576164365217107,0.06822373165725557,0.017370905378688548,0.00658667622467737,0.611039244311701,0.611254280928355,,hierarchy_change,1,65,1.0,0.3064079422382672,0.0,4.124416513342794
gaussian2d_hierarchy_change_seed1,RA-MTM,defined,21,0.975226930361216,0.025,0.21785360405488646,3.105981080796569e-17,0.2898269412245349,0.05693064752305105,,0,0.0,4.67178289570964,0.0,0.0,0.0742333329981193,0.008126891086343466,0.008333333333333333,0.0006622086215148319,0.0006622086215148319,0.00020833333333333335,5.108760636751697e-17,8.465450562766818e-17,,0.008113603322461216,0.008519702299695479,0.0008171257460708496,0.0007307203041027595,0.00036995764707120887,0.002402706503408494,0.0011258550990363536,,hierarchy_change,1,65,0.3064079422382671,0.3064079422382672,3.624416513342794,4.124416513342794
gaussian2d_hierarchy_change_seed2,TMTM,defined,21,36.587822951120025,1.5892027970625595,1.5891985277219973,2.048625819248801e-17,0.6638294861680373,0.07307444928771727,,0,0.0,0.014204545454560957,,,0.150456374976784,0.30489852459266686,0.4375542714797278,0.1497687121680328,0.01764693608042926,0.013243356642187997,3.872770160118222e-17,8.673617379884035e-17,,0.30489852459266686,0.4375542714797278,0.1497687121680328,0.01764693608042926,0.013243356642187997,3.872770160118222e-17,8.673617379884035e-17,,hierarchy_change,2,65,0.296525464064731,0.29652546406473107,0.6747159090909083,4.052296271093361
gaussian2d_hierarchy_change_seed2,ST-MTM,defined,21,9.057028584321408,0.8412204675275005,1.3582018709343633,0.41434366105111065,0.2368810042081984,0.052813347367021465,,0,0.0,17.356278719579308,,,0.1491661659674719,0.0754752382026784,0.147288297018661,0.08661649304927257,0.01782153361830802,0.00701017056272917,0.625446403594459,0.6254463944007022,,0.07548507308910718,0.14755517304535293,0.0870722068188968,0.017734119009912005,0.007051063100805497,0.6283905650734328,0.6284472303252773,,hierarchy_change,2,65,0.9999999999999997,0.29652546406473107,3.552713678800501e-15,4.052296271093361
gaussian2d_hierarchy_change_seed2,RA-MTM,defined,21,1.7670926460617333,0.49673105470032686,0.7854785320669823,3.502489303876982e-17,0.2879372451736118,0.05803398763086097,,0,0.0,5.452734375000006,12.36890431680618,0.0,0.07775104197207838,0.014725772050514445,0.09319466414194903,0.07512410075747694,0.014689408612780053,0.004139425455836057,6.075868974608767e-17,7.771561172376095e-17,,0.01472749299443327,0.09318247057170052,0.07505346266508835,0.014585647622532246,0.004250150962864946,0.0020571448420269394,0.0007605904311779581,,hierarchy_change,2,65,0.29652546406473107,0.29652546406473107,5.513527946668801,4.052296271093361
gaussian2d_hierarchy_change_seed3,TMTM,defined,21,15.543825521729783,1.4107700151968794,1.4107821243952956,3.502489303876982e-17,0.6627017802296747,0.11224583407392148,,0,0.0,0.014204545454560957,,,0.16917337500490248,0.12953187934774818,0.21814332951251025,0.1352730336623266,0.011580930763146622,0.011756416793307328,5.733261088103347e-17,6.279698983036042e-17,,0.12953187934774818,0.21814332951251025,0.1352730336623266,0.011580930763146622,0.011756416793307328,5.733261088103347e-17,6.279698983036042e-17,,hierarchy_change,3,65,0.31478102189781026,0.3147810218978102,0.9801136363636367,4.157620179194587
gaussian2d_hierarchy_change_seed3,ST-MTM,defined,21,9.186117999748609,0.867854898258752,1.4384370754874445,0.3952886902963816,0.24560511198812682,0.05647239934645879,,0,0.0,19.365142608754198,,,0.18121425004210323,0.0765509833312384,0.15728585301105386,0.08874302598550474,0.01786281433286476,0.007232124152156266,0.5906210896801296,0.5906210562666564,,0.076586940831121,0.15717300158599562,0.0884695848062056,0.017999280477318136,0.007307853801729467,0.591283834768188,0.5911709369893418,,hierarchy_change,3,65,0.9999999999999999,0.3147810218978102,3.552713678800501e-15,4.157620179194587
gaussian2d_hierarchy_change_seed3,RA-MTM,defined,21,1.3986946941293223,0.5266112994274141,0.8597377939143508,2.312964634635743e-17,0.28921397055853837,0.056016683909559974,,0,0.0,5.969531249999989,13.643518833425247,0.0,0.07808512495830655,0.011655789117744352,0.008333333333333333,0.08430558042307225,0.016708914813145796,0.004388427495228451,3.86843335142828e-17,1.412064909445121e-16,,0.011626132072226517,0.008568146824779996,0.08430371514775006,0.01671827995145374,0.004524357342263276,0.001811287286505534,0.0010054661776211743,,hierarchy_change,3,65,0.31478102189781026,0.3147810218978102,5.747133618992468,4.157620179194587
gaussian2d_crowding_seed1,TMTM,defined,21,3.7463455692787297,0.35215211583727885,0.3528623431100056,4.229421046191072e-17,0.7640518678048556,0.007154095820429932,,0,0.0,0.014204545454560957,,,0.11146029108203948,0.031219546410656083,0.061539495429266,0.030789186926514823,0.030789186926514823,0.0029346009653106572,4.557263131680737e-17,9.115971866258121e-17,,0.031219546410656083,0.061539495429266,0.030789186926514823,0.030789186926514823,0.0029346009653106572,4.557263131680737e-17,9.115971866258121e-17,,crowding,1,65,0.9604365620736698,0.9604365620736699,0.07575757575757318,7.082747858132073
gaussian2d_crowding_seed1,ST-MTM,defined,21,19.247341557395597,0.3541373929066037,0.3541373929066037,0.02437152686109592,0.000394033392188482,7.298294083710763e-08,,0,0.0,0.0,,,0.03054579207673669,0.16039451297829663,0.2797316175791774,0.031223214704292575,0.03122321470429257,0.002951144940888364,0.026066828781207217,0.026066828781207252,,0.16039100758066044,0.2800916501947363,0.031275541453537316,0.031275541453537316,0.0029511449408883643,0.023345507442113465,0.023036515705374357,,crowding,1,65,1.0,0.9604365620736699,0.0,7.082747858132073
gaussian2d_crowding_seed1,RA-MTM,defined,21,0.8450272005528162,0.029751184627017105,0.11226624482805422,5.2867763077388404e-17,0.7257756380486048,0.0005021164352455974,,0,0.0,2.166891477095433,0.26540577168368884,0.0,0.06651691708248109,0.0070418933379401355,0.008789495783103026,0.0002572365588822794,0.00016661782786756243,0.00024792653855847585,5.79469921121086e-17,9.094287822808411e-17,,0.007056282934367134,0.008742043784240507,0.0003848461440164671,0.00027788676031805496,0.00035859362871409276,0.0027970197447031242,0.0022530906517329026,,crowding,1,65,0.96043656207367,0.9604365620736699,7.162412828929725,7.082747858132073
gaussian2d_crowding_seed2,TMTM,defined,21,3.8099935955895448,0.3538700252623832,0.35363328283814066,6.520357446211237e-17,0.7556799047194389,0.009994122557807716,,0,0.0,0.014204545454546746,,,0.10757520899642259,0.03174994662991287,0.06567135296309949,0.030038926178116414,0.030023646795524616,0.0029489168771865268,7.207776042683633e-17,8.649764932089354e-17,,0.03174994662991287,0.06567135296309949,0.030038926178116414,0.030023646795524616,0.0029489168771865268,7.207776042683633e-17,8.649764932089354e-17,,crowding,2,65,0.9265463917525772,0.9265463917525774,0.028409090909091123,7.052973149025225
gaussian2d_crowding_seed2,ST-MTM,defined,21,20.236142565893758,0.35264865745126084,0.35264865745126084,0.038307368087525204,0.0006946329158545624,3.5868616967513186e-07,,0,0.0,0.0,,,0.02609933295752853,0.16863452138244797,0.27778281866143856,0.03023671497734269,0.030236714977342694,0.0029387388120938407,0.04134337973631801,0.04134337973631801,,0.1686106537429846,0.2775681106696181,0.030342207819595627,0.030342207819595627,0.002938738812093843,0.040826240733592686,0.04119698150868035,,crowding,2,65,1.0,0.9265463917525774,8.289665250534503e-15,7.052973149025225
gaussian2d_crowding_seed2,RA-MTM,defined,21,1.0013689520398084,0.00143739964179872,0.08785891412384264,5.2867763077388404e-17,0.7217533045606428,0.0017914274340665008,,0,0.0,1.864708178394359,0.0287479928359744,0.0,0.04796225007157773,0.008344741266998404,0.008333333333333333,1.1978330348322668e-05,3.992776782774223e-06,1.1978330348322668e-05,5.799758821349124e-17,1.2093191031903317e-16,,0.008327969902584723,0.008552887038954548,0.00015592253100528018,0.00010820141793715658,0.00015532677398355805,0.0021275320261323247,0.0013291829188313647,,crowding,2,65,0.9265463917525775,0.9265463917525774,7.043390484746567,7.052973149025225
gaussian2d_crowding_seed3,TMTM,defined,21,3.945263086805304,0.35558729969807223,0.3555872996980732,4.4056469231157003e-17,0.7668479954700708,0.0026793258225641047,,0,0.0,0.014204545454560957,,,0.10773466597311199,0.0328771923900442,0.06515609575620106,0.03146289672010684,0.03146289672010684,0.0029632274974839353,4.787836793695988e-17,1.029558382992235e-16,,0.0328771923900442,0.06515609575620106,0.03146289672010684,0.03146289672010684,0.0029632274974839353,4.787836793695988e-17,1.029558382992235e-16,,crowding,3,65,0.9555006180469715,0.9555006180469716,-0.018939393939393295,7.089965690931154
gaussian2d_crowding_seed3,ST-MTM,defined,21,20.05961936109302,0.35449828454655746,0.35449828454655746,0.03129796709409218,0.0008293076876359283,5.840080475724806e-07,,0,0.0,0.0,,,0.025934875011444092,0.16716349467577515,0.28378630755549294,0.03125771995243004,0.03125771995243004,0.002954152371221312,0.033494808402454404,0.033494808402454467,,0.16713905304336313,0.2835538765997371,0.03135024234363095,0.03135024234363094,0.002954152371221313,0.03216575722187999,0.03237826948446375,,crowding,3,65,1.0000000000000002,0.9555006180469716,4.736951571734001e-15,7.089965690931154
gaussian2d_crowding_seed3,RA-MTM,defined,21,1.1030469873262096,0.03894968899883769,0.11801476888790378,3.52451753849256e-17,0.7243629356124783,0.002395295399135463,,0,0.0,2.209685863921166,0.9453385013544846,0.0,0.04893370904028416,0.009192058227718413,0.013901536324578965,0.0009016611391043345,0.0001315857898639372,0.00032458074165698077,3.9002366151545214e-17,1.0286910212542466e-16,,0.009203403986851214,0.013743500942145302,0.000985895440838778,0.00017615192439075599,0.00048146216402768514,0.0026304339735823594,0.000993747565636764,,crowding,3,65,0.9555006180469714,0.9555006180469716,7.032334625080554,7.089965690931154
gaussian2d_advection_diffusion_seed1,TMTM,defined,21,10.731932647076675,0.3603713006780261,0.3607264143143897,3.9650822308041306e-17,0.5614694035342014,0.08989983839448093,,0,0.0,0.014204545454546746,,,0.15812683291733265,0.08943277205897229,0.14521626176014338,0.032847332906235316,0.03284733290623531,0.003003094172316884,4.3156667475785505e-17,5.204170427930421e-17,,0.08943277205897229,0.14521626176014338,0.032847332906235316,0.03284733290623531,0.003003094172316884,4.3156667475785505e-17,5.204170427930421e-17,,advection_diffusion,1,65,0.9325946445060019,0.9325946445060018,0.4545454545454568,7.661971468105978
