scene,t,feature,q_x,q_y,area,x,y,width_x,width_y
pure_x,0,0,27.970183486238533,31.943807339449542,766.40625,26.970183486238533,30.943807339449542,9.196875,9.196875
pure_x,0,1,57.68382352941177,45.0,717.1875,56.68382352941177,46.0,8.606250000000001,8.606250000000001
pure_x,0,2,82.0375,76.1375,1054.6875,83.0375,77.1375,12.65625,12.65625
pure_x,1,0,28.53298611111111,32.03125,759.375,27.53298611111111,31.03125,9.1125,9.1125
pure_x,1,1,58.70752427184466,45.0,724.21875,57.70752427184466,46.0,8.690625,8.690625
pure_x,1,2,82.70408163265306,76.0204081632653,1033.59375,83.70408163265306,77.0204081632653,12.403125000000001,12.403125000000001
pure_x,2,0,29.100678733031675,32.07013574660633,776.953125,28.100678733031675,31.070135746606333,9.3234375,9.3234375
pure_x,2,1,59.44110576923077,45.0,731.25,58.44110576923077,46.0,8.775,8.775
pure_x,2,2,83.22068403908794,76.08102605863192,1079.296875,84.22068403908794,77.08102605863192,12.9515625,12.9515625
pure_x,3,0,29.845183486238533,31.943807339449542,766.40625,28.845183486238533,30.943807339449542,9.196875,9.196875
pure_x,3,1,59.58131067961165,45.0,724.21875,58.58131067961165,46.0,8.690625,8.690625
pure_x,3,2,83.79807692307692,75.99707357859532,1051.171875,84.79807692307692,76.99707357859532,12.614062500000001,12.614062500000001
pure_x,4,0,30.205479452054796,31.99486301369863,769.921875,29.205479452054796,30.99486301369863,9.239062500000001,9.239062500000001
pure_x,4,1,60.58252427184466,45.0,724.21875,59.58252427184466,46.0,8.690625,8.690625
pure_x,4,2,84.43259385665529,75.9598976109215,1030.078125,85.43259385665529,76.9598976109215,12.3609375,12.3609375
pure_x,5,0,30.9375,32.13068181818182,773.4375,29.9375,31.13068181818182,9.28125,9.28125
pure_x,5,1,61.07673267326733,45.0,710.15625,60.07673267326733,46.0,8.521875,8.521875
pure_x,5,2,85.03460912052117,75.98330618892508,1079.296875,86.03460912052117,76.98330618892508,12.9515625,12.9515625
pure_x,6,0,31.669520547945204,31.99486301369863,769.921875,30.669520547945204,30.99486301369863,9.239062500000001,9.239062500000001
pure_x,6,1,61.45631067961165,45.0,724.21875,60.45631067961165,46.0,8.690625,8.690625
pure_x,6,2,85.44554455445545,75.99628712871286,1065.234375,86.44554455445545,76.99628712871286,12.7828125,12.7828125
pure_x,7,0,32.0625,31.926136363636363,773.4375,31.0625,30.926136363636363,9.28125,9.28125
pure_x,7,1,62.43389423076923,45.0,731.25,61.43389423076923,46.0,8.775,8.775
pure_x,7,2,86.1300505050505,76.05429292929293,1044.140625,87.1300505050505,77.05429292929293,12.5296875,12.5296875
pure_x,8,0,32.8125,31.995412844036696,766.40625,31.8125,30.995412844036696,9.196875,9.196875
pure_x,8,1,62.8125,45.0,703.125,61.8125,46.0,8.4375,8.4375
pure_x,8,2,86.73725328947368,76.01151315789474,1068.75,87.73725328947368,77.01151315789474,12.825000000000001,12.825000000000001
pure_x,9,0,33.59518348623853,31.943807339449542,766.40625,32.59518348623853,30.943807339449542,9.196875,9.196875
pure_x,9,1,63.30882352941177,45.0,717.1875,62.30882352941177,46.0,8.606250000000001,8.606250000000001
pure_x,9,2,87.32054455445545,75.99628712871286,1065.234375,88.32054455445545,76.99628712871286,12.7828125,12.7828125
pure_x,10,0,33.80067567567568,31.925675675675677,780.46875,32.80067567567568,30.925675675675677,9.365625,9.365625
pure_x,10,1,64.15876777251185,45.0,741.796875,63.15876777251185,46.0,8.9015625,8.9015625
pure_x,10,2,87.91107382550335,76.05704697986577,1047.65625,88.91107382550335,77.05704697986577,12.571875,12.571875
pure_x,11,0,34.592013888888886,31.979166666666668,759.375,33.592013888888886,30.979166666666668,9.1125,9.1125
pure_x,11,1,64.6875,45.0,703.125,63.6875,46.0,8.4375,8.4375
pure_x,11,2,88.57201986754967,76.04304635761589,1061.71875,89.57201986754967,77.04304635761589,12.740625,12.740625
pure_x,12,0,35.26744186046512,31.9796511627907,755.859375,34.26744186046512,30.9796511627907,9.0703125,9.0703125
pure_x,12,1,65.1980198019802,45.0,710.15625,64.1980198019802,46.0,8.521875,8.521875
pure_x,12,2,89.19467213114754,75.99590163934427,1072.265625,90.19467213114754,76.99590163934427,12.8671875,12.8671875
