scene,t,axis,tau,budget,achieved,global_gap
diagonal,2,x,0.0,1.0,1.0,4.9855120579422874e-05
diagonal,3,x,0.0,1.0,1.0,5.343809387170495e-05
diagonal,4,x,0.0,1.0,1.0,5.405345828535246e-05
diagonal,5,x,0.0,1.0,1.0,5.607703424459487e-05
diagonal,6,x,0.0,1.0,1.0,5.14060263014926e-05
diagonal,7,x,0.0,1.0,1.0,5.047567006499776e-05
diagonal,8,x,0.0,1.0,1.0,4.895394562254296e-05
diagonal,9,x,0.0,1.0,1.0,5.4367733540061636e-05
diagonal,10,x,0.0,1.0,1.0,5.121811057051673e-05
diagonal,11,x,0.0,1.0,1.0,5.3912130539401915e-05
diagonal,12,x,0.0,1.0,1.0,5.3160292623033456e-05
diagonal,13,x,0.0,1.0,1.0,5.258159553989117e-05
diagonal,14,x,0.0,1.0,1.0,4.868199039265164e-05
diagonal,15,x,0.0,1.0,1.0,5.3112900531004925e-05
diagonal,16,x,0.0,1.0,1.0,5.1601269390744164e-05
diagonal,17,x,0.0,1.0,1.0,4.9730094502820066e-05
diagonal,18,x,0.0,1.0,1.0,5.462964841740359e-05
diagonal,19,x,0.0,1.0,1.0,5.2554611130517515e-05
diagonal,20,x,0.0,1.0,1.0,5.185397056095553e-05
diagonal,0,y,0.0,1.0,1.0,0.00010657505896460862
diagonal,1,y,0.0,1.0,1.0,8.545994717223948e-05
diagonal,2,y,0.0,1.0,1.0,8.501100876401324e-05
diagonal,3,y,0.0,1.0,1.0,9.551409698360658e-05
diagonal,4,y,0.0,1.0,1.0,9.342702247749912e-05
diagonal,5,y,0.0,1.0,1.0,9.972148069437026e-05
diagonal,6,y,0.0,1.0,1.0,9.334039310715525e-05
diagonal,7,y,0.0,1.0,1.0,8.865783371447833e-05
diagonal,8,y,0.0,1.0,1.0,8.753912754855264e-05
diagonal,9,y,0.0,1.0,1.0,9.710332949453004e-05
diagonal,10,y,0.0,1.0,1.0,9.286698559662909e-05
diagonal,11,y,0.0,1.0,1.0,9.496080900817105e-05
diagonal,12,y,0.0,1.0,1.0,0.00010225274348840685
diagonal,13,y,0.0,1.0,1.0,8.805922948340594e-05
diagonal,14,y,0.0,1.0,1.0,8.321356779106281e-05
diagonal,15,y,0.0,1.0,1.0,9.223361900012605e-05
diagonal,16,y,0.0,1.0,1.0,9.230229670720291e-05
diagonal,17,y,0.0,1.0,1.0,8.719439944115948e-05
diagonal,18,y,0.0,1.0,1.0,9.900064782186746e-05
diagonal,19,y,0.0,1.0,1.0,9.66353692319899e-05
diagonal,20,y,0.0,1.0,1.0,8.980945028724818e-05
same_x,0,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,1,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,2,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,3,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,4,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
