scene,group,method,readout,position_2d_nrmse,position_2d_nmae,reference_x_nmae,reference_y_nmae,reference_x_p95,reference_y_p95,motion_2d_nmae,motion_magnitude_2d_nmae,trajectory_2d_nmae,direction_error_radians,direction_count,direction_zero_predictions,matched_steps,minimum_motion,distance_x_nrmse,distance_y_nrmse,growth_log_mae,tau_x,tau_y
pure_x,mechanism,TMTM,initial_y_oracle,0.10159147749975148,0.09332175725331647,0.13197545768901575,0.00047289015297275356,0.23033384176155514,0.0012744522169416681,0.0036076661315819904,0.0028186372017133523,0.037870115177200174,1.636679994072362,60,2,60,0.12,0.7719111319870466,,9.194034422677078e-17,,
pure_x,mechanism,TMTM,first_frame_2d_affine,0.05106461131149236,0.041586026234022404,0.056309188795433694,0.012776317687148538,0.1419356813904708,0.02084613957397134,0.0048090079416169456,0.0016634199498447354,0.03814724994718053,1.6238576794444732,60,2,60,0.12,0.7719111319870466,,9.194034422677078e-17,,
pure_x,mechanism,ST-MTM,initial_y_oracle,0.060201718370064584,0.05320119272004855,0.07521547531732516,0.00047289015297275356,0.13727816780917385,0.0012744522169416681,0.0035971697183776238,0.0031349035627647333,0.03777226917844767,1.62562675065756,60,0,60,0.12,0.01521014222295429,,0.00942285782638736,,
pure_x,mechanism,ST-MTM,first_frame_2d_affine,0.04869560268486476,0.04288603353820368,0.052702801322392925,0.02581529362385383,0.11696444032477075,0.03940323843925645,0.0036155672760379777,0.003138848732453918,0.03777802445583873,1.5947223815928822,60,0,60,0.12,0.01521014222295429,,0.00942285782638736,,
pure_x,mechanism,X-only RA-MTM,initial_y_oracle,0.005912294544987532,0.00591223009373596,0.008333333333333333,0.00047289015297275356,0.008333333333333333,0.0012744522169416681,0.00023542480511946077,1.6867432794954564e-05,0.0003511030256195467,0.06617482343952094,60,0,60,0.12,0.22259496196179876,,4.127196269928154e-17,0.0,
pure_x,mechanism,X-only RA-MTM,first_frame_2d_affine,0.044320284766525435,0.03378780347837933,0.003459806573842772,0.047577900738189315,0.008991051622489603,0.1270537487318482,0.0027959948068135066,0.0008474422737683396,0.029656288700923895,0.6813061267731174,60,0,60,0.12,0.22259496196179876,,4.127196269928154e-17,0.0,
pure_x,mechanism,Dual-Reference RA-MTM,dual_native,0.008333333333333333,0.008333333333333331,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.0,60,0,60,0.12,0.22259496196179876,0.3552598051370228,4.127196269928154e-17,0.0,0.0
pure_y,mechanism,TMTM,initial_y_oracle,0.10138839651146792,0.09371193326663402,0.11503040153650695,0.04978070053790339,0.172159554356072,0.09674556045054045,0.0037179436872733767,0.0028997148189159466,0.03698532871957398,1.6998840720947654,60,3,60,0.12,0.7722379987895441,,7.496896622013102e-17,,
pure_y,mechanism,TMTM,first_frame_2d_affine,0.04974081061059329,0.04680742830264036,0.03386239732785022,0.05148146808491954,0.05421243005138057,0.10553701304305856,0.004793570936755222,0.001750018441752589,0.03703111764934693,1.7351625623959628,60,3,60,0.12,0.7722379987895441,,7.496896622013102e-17,,
pure_y,mechanism,ST-MTM,initial_y_oracle,0.05958518272207618,0.05696079355401442,0.057314246178903155,0.04978070053790339,0.08510409739127826,0.09674556045054045,0.0035685049178846347,0.0031840757414298352,0.036973466690227316,1.476395269125341,60,0,60,0.12,0.014675390849508571,,0.006344698576757671,,
pure_y,mechanism,ST-MTM,first_frame_2d_affine,0.04785945706094738,0.043588836410173706,0.019781695863080668,0.05510582134437393,0.031285531304281536,0.1122330322739295,0.0035653906391511924,0.003188099919323466,0.0369746635445831,1.4301588228597522,60,0,60,0.12,0.014675390849508571,,0.006344698576757671,,
pure_y,mechanism,X-only RA-MTM,initial_y_oracle,0.041613466705989234,0.036228402530964925,0.008333333333333333,0.04978070053790339,0.008333333333333333,0.09674556045054045,0.0035223809746552917,0.003029814957665288,0.03696028446869672,1.4369173901299743,60,1,60,0.12,0.22139584153087866,,2.9649315410236925e-17,0.0,
pure_y,mechanism,X-only RA-MTM,first_frame_2d_affine,0.0501385316782775,0.043516676559882304,0.003937101845702274,0.061104717122458234,0.005967848305535975,0.12075786100201134,0.0035004005313895954,0.002895528444843821,0.03648360620518151,1.38022861977791,60,1,60,0.12,0.22139584153087866,,2.9649315410236925e-17,0.0,
pure_y,mechanism,Dual-Reference RA-MTM,dual_native,0.008333333333333333,0.008333333333333331,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.0,60,0,60,0.12,0.22139584153087866,0.3548847218621954,2.9649315410236925e-17,0.0,0.0
diagonal,mechanism,TMTM,initial_y_oracle,0.10522908062760662,0.09754370025164451,0.13185429782436717,0.03325135624212025,0.22995448625274897,0.06485549368621567,0.004407159798771781,0.0037163524931645943,0.04520114648863915,1.6820049339814414,60,4,60,0.12,0.7719267293585582,,9.802633242165607e-17,,
diagonal,mechanism,TMTM,first_frame_2d_affine,0.05777729010907014,0.050970514493091534,0.056260983577826086,0.035224132233268333,0.13836466265256464,0.0715526850059147,0.004942398535523653,0.002313840763605048,0.04524711286821814,1.73795288913578,60,4,60,0.12,0.7719267293585582,,9.802633242165607e-17,,
diagonal,mechanism,ST-MTM,initial_y_oracle,0.06620558393407519,0.061151262180314664,0.07517254114081448,0.03325135624212025,0.13690595966274427,0.06485549368621567,0.0043919921007961665,0.003927929992222764,0.045185442617073655,1.5452395360162627,60,0,60,0.12,0.014975430093166521,,0.008749460223395188,,
diagonal,mechanism,ST-MTM,first_frame_2d_affine,0.055889597547054165,0.05127495034675366,0.05285230729124265,0.040911888385609316,0.11656293818403825,0.08084509716377004,0.00438586815769897,0.003932487271190921,0.04518951862403273,1.5791522704292358,60,0,60,0.12,0.014975430093166521,,0.008749460223395188,,
diagonal,mechanism,X-only RA-MTM,initial_y_oracle,0.028150887587130774,0.024825431943071193,0.008333333333333333,0.03325135624212025,0.008333333333333333,0.06485549368621567,0.0023728742499004958,0.0007940965146257044,0.024687872456575503,0.5879710160346857,60,0,60,0.12,0.22233282635888954,,5.033589286126035e-17,0.0,
diagonal,mechanism,X-only RA-MTM,first_frame_2d_affine,0.029985695521195163,0.026229290163271236,0.003451675931600377,0.036907833540142494,0.008964151574413512,0.07020761233712473,0.0009274739306041351,0.00047247244564998196,0.0050473343729927735,0.16615496394633128,60,0,60,0.12,0.22233282635888954,,5.033589286126035e-17,0.0,
