scene,method,t,topology,hierarchy
hierarchy_conflict,TMTM,0,True,True
hierarchy_conflict,TMTM,1,True,True
hierarchy_conflict,TMTM,2,True,True
hierarchy_conflict,TMTM,3,True,True
hierarchy_conflict,TMTM,4,True,True
hierarchy_conflict,TMTM,5,True,True
hierarchy_conflict,TMTM,6,True,True
hierarchy_conflict,TMTM,7,True,True
hierarchy_conflict,TMTM,8,True,True
hierarchy_conflict,TMTM,9,True,True
hierarchy_conflict,TMTM,10,True,True
hierarchy_conflict,TMTM,11,True,True
hierarchy_conflict,TMTM,12,True,True
hierarchy_conflict,TMTM,13,True,True
hierarchy_conflict,TMTM,14,True,True
hierarchy_conflict,TMTM,15,True,True
hierarchy_conflict,TMTM,16,True,True
hierarchy_conflict,TMTM,17,True,True
hierarchy_conflict,TMTM,18,True,True
hierarchy_conflict,TMTM,19,True,True
hierarchy_conflict,TMTM,20,True,True
hierarchy_conflict,ST-MTM,0,True,True
hierarchy_conflict,ST-MTM,1,True,True
hierarchy_conflict,ST-MTM,2,True,True
hierarchy_conflict,ST-MTM,3,True,True
hierarchy_conflict,ST-MTM,4,True,True
hierarchy_conflict,ST-MTM,5,True,True
hierarchy_conflict,ST-MTM,6,True,True
hierarchy_conflict,ST-MTM,7,True,True
hierarchy_conflict,ST-MTM,8,True,True
hierarchy_conflict,ST-MTM,9,True,True
hierarchy_conflict,ST-MTM,10,True,True
hierarchy_conflict,ST-MTM,11,True,True
hierarchy_conflict,ST-MTM,12,True,True
hierarchy_conflict,ST-MTM,13,True,True
hierarchy_conflict,ST-MTM,14,True,True
hierarchy_conflict,ST-MTM,15,True,True
hierarchy_conflict,ST-MTM,16,True,True
hierarchy_conflict,ST-MTM,17,True,True
hierarchy_conflict,ST-MTM,18,True,True
hierarchy_conflict,ST-MTM,19,True,True
hierarchy_conflict,ST-MTM,20,True,True
hierarchy_conflict,X-only RA-MTM,0,True,True
hierarchy_conflict,X-only RA-MTM,1,True,True
hierarchy_conflict,X-only RA-MTM,2,True,True
hierarchy_conflict,X-only RA-MTM,3,True,True
hierarchy_conflict,X-only RA-MTM,4,True,True
hierarchy_conflict,X-only RA-MTM,5,True,True
hierarchy_conflict,X-only RA-MTM,6,True,True
hierarchy_conflict,X-only RA-MTM,7,True,True
hierarchy_conflict,X-only RA-MTM,8,True,True
hierarchy_conflict,X-only RA-MTM,9,True,True
hierarchy_conflict,X-only RA-MTM,10,True,True
hierarchy_conflict,X-only RA-MTM,11,True,True
hierarchy_conflict,X-only RA-MTM,12,True,True
hierarchy_conflict,X-only RA-MTM,13,True,True
hierarchy_conflict,X-only RA-MTM,14,True,True
hierarchy_conflict,X-only RA-MTM,15,True,True
hierarchy_conflict,X-only RA-MTM,16,True,True
hierarchy_conflict,X-only RA-MTM,17,True,True
hierarchy_conflict,X-only RA-MTM,18,True,True
hierarchy_conflict,X-only RA-MTM,19,True,True
hierarchy_conflict,X-only RA-MTM,20,True,True
hierarchy_conflict,Dual-X,0,True,True
hierarchy_conflict,Dual-X,1,True,True
hierarchy_conflict,Dual-X,2,True,True
hierarchy_conflict,Dual-X,3,True,True
hierarchy_conflict,Dual-X,4,True,True
hierarchy_conflict,Dual-X,5,True,True
hierarchy_conflict,Dual-X,6,True,True
hierarchy_conflict,Dual-X,7,True,True
hierarchy_conflict,Dual-X,8,True,True
hierarchy_conflict,Dual-X,9,True,True
hierarchy_conflict,Dual-X,10,True,True
hierarchy_conflict,Dual-X,11,True,True
hierarchy_conflict,Dual-X,12,True,True
hierarchy_conflict,Dual-X,13,True,True
hierarchy_conflict,Dual-X,14,True,True
hierarchy_conflict,Dual-X,15,True,True
hierarchy_conflict,Dual-X,16,True,True
hierarchy_conflict,Dual-X,17,True,True
hierarchy_conflict,Dual-X,18,True,True
hierarchy_conflict,Dual-X,19,True,True
hierarchy_conflict,Dual-X,20,True,True
hierarchy_conflict,Dual-Y,0,True,True
hierarchy_conflict,Dual-Y,1,True,True
hierarchy_conflict,Dual-Y,2,True,True
hierarchy_conflict,Dual-Y,3,True,True
hierarchy_conflict,Dual-Y,4,True,True
hierarchy_conflict,Dual-Y,5,True,True
hierarchy_conflict,Dual-Y,6,True,True
hierarchy_conflict,Dual-Y,7,True,True
hierarchy_conflict,Dual-Y,8,True,True
hierarchy_conflict,Dual-Y,9,True,True
hierarchy_conflict,Dual-Y,10,True,True
hierarchy_conflict,Dual-Y,11,True,True
hierarchy_conflict,Dual-Y,12,True,True
hierarchy_conflict,Dual-Y,13,True,True
hierarchy_conflict,Dual-Y,14,True,True
hierarchy_conflict,Dual-Y,15,True,True
hierarchy_conflict,Dual-Y,16,True,True
hierarchy_conflict,Dual-Y,17,True,True
hierarchy_conflict,Dual-Y,18,True,True
hierarchy_conflict,Dual-Y,19,True,True
hierarchy_conflict,Dual-Y,20,True,True
motion_growth,TMTM,0,True,True
motion_growth,TMTM,1,True,True
motion_growth,TMTM,2,True,True
motion_growth,TMTM,3,True,True
motion_growth,TMTM,4,True,True
motion_growth,TMTM,5,True,True
motion_growth,TMTM,6,True,True
motion_growth,TMTM,7,True,True
motion_growth,TMTM,8,True,True
motion_growth,TMTM,9,True,True
motion_growth,TMTM,10,True,True
motion_growth,TMTM,11,True,True
motion_growth,TMTM,12,True,True
motion_growth,TMTM,13,True,True
motion_growth,TMTM,14,True,True
motion_growth,TMTM,15,True,True
motion_growth,TMTM,16,True,True
motion_growth,TMTM,17,True,True
motion_growth,TMTM,18,True,True
motion_growth,TMTM,19,True,True
motion_growth,TMTM,20,True,True
motion_growth,ST-MTM,0,True,True
motion_growth,ST-MTM,1,True,True
motion_growth,ST-MTM,2,True,True
motion_growth,ST-MTM,3,True,True
motion_growth,ST-MTM,4,True,True
motion_growth,ST-MTM,5,True,True
motion_growth,ST-MTM,6,True,True
motion_growth,ST-MTM,7,True,True
motion_growth,ST-MTM,8,True,True
motion_growth,ST-MTM,9,True,True
motion_growth,ST-MTM,10,True,True
motion_growth,ST-MTM,11,True,True
motion_growth,ST-MTM,12,True,True
motion_growth,ST-MTM,13,True,True
motion_growth,ST-MTM,14,True,True
motion_growth,ST-MTM,15,True,True
motion_growth,ST-MTM,16,True,True
motion_growth,ST-MTM,17,True,True
motion_growth,ST-MTM,18,True,True
motion_growth,ST-MTM,19,True,True
motion_growth,ST-MTM,20,True,True
motion_growth,X-only RA-MTM,0,True,True
motion_growth,X-only RA-MTM,1,True,True
motion_growth,X-only RA-MTM,2,True,True
motion_growth,X-only RA-MTM,3,True,True
motion_growth,X-only RA-MTM,4,True,True
motion_growth,X-only RA-MTM,5,True,True
motion_growth,X-only RA-MTM,6,True,True
motion_growth,X-only RA-MTM,7,True,True
motion_growth,X-only RA-MTM,8,True,True
motion_growth,X-only RA-MTM,9,True,True
motion_growth,X-only RA-MTM,10,True,True
motion_growth,X-only RA-MTM,11,True,True
motion_growth,X-only RA-MTM,12,True,True
