method,t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
TMTM,0,0,0.07720020615631402,,,,False,True,,64.10334487892868,73.36736961768636,2.35,140.88340776212854
TMTM,0,1,0.030551126825198102,,,,False,False,,68.53350483671014,64.86736961768636,0.1,5.995038628175683
TMTM,0,2,0.054556246351474456,,,,False,True,,19.77062005550942,26.317369617686353,0.35000000000000003,20.98263519861489
TMTM,0,3,0.10120532568259026,,,,False,True,,65.81200869959719,53.667369617686354,22.200000000000003,1330.8985754550017
TMTM,1,4,0.05475385705243489,,,,False,True,,71.94690677139417,78.51736961768636,0.15000000000000002,8.992557942263524
TMTM,1,3,0.15417856175837474,0.052973236075784476,0.0,0.052973236075784476,True,True,0.44680851063829785,74.01879702869132,55.517369617686356,45.800000000000004,2745.727691704463
TMTM,1,2,3.648821843738048e-05,0.054519758133037076,2.220446049250313e-16,0.054519758133037076,True,True,0.07692307692307693,24.01299103147387,24.017369617686356,1.75,104.91317599307446
TMTM,2,5,0.04060643227166232,,,,False,False,,67.04014149028583,62.167369617686354,0.8,47.960309025405465
TMTM,2,3,0.27195719052725664,0.11777862876888191,4.440892098500626e-16,0.17075186484466637,True,True,0.06609808102345416,92.10223248095716,59.46736961768636,4.2,251.7916223833787
TMTM,2,6,0.12322760060913325,,,,False,False,,71.80468169078235,57.017369617686356,0.6000000000000001,35.970231769054095
TMTM,2,2,0.10638406265630387,0.10642055087474125,2.220446049250313e-16,0.1609403090077783,True,True,0.18181818181818182,31.18345713644281,18.417369617686347,7.3500000000000005,440.6353391709127
TMTM,2,7,0.40377062623464066,,,,False,True,,75.96984476584323,27.517369617686356,2.1,125.89581119168935
TMTM,3,3,0.004357791707576434,0.2763149822348331,0.0,0.1055631173901667,True,True,0.056451612903225805,66.64443461277718,67.16736961768635,74.4,4460.308739362708
TMTM,3,2,0.3046741166633485,0.1982900540070446,0.0,0.3592303630148229,True,True,0.29577464788732394,54.028263617288175,17.46736961768636,24.85,1489.7670991016573
TMTM,4,3,0.04311758333920454,0.038759791631628106,0.0,0.14432290902179482,True,True,0.30913978494623656,63.543259616981814,68.71736961768636,23.0,1378.8588844804071
TMTM,4,8,0.2945614948518421,,,,False,False,,92.1647489999074,56.81736961768635,0.65,38.96775108314194
TMTM,4,9,0.26517053901442283,,,,False,False,,80.18783429941709,48.36736961768635,1.75,104.91317599307446
TMTM,4,2,0.21688633986820188,0.08778777679514657,2.1510571102112408e-16,0.2714425862196764,True,True,0.8998109640831758,54.943730401870575,28.917369617686347,25.400000000000002,1522.7398115566234
TMTM,5,3,0.0010497449957853177,0.04206783834341922,0.0,0.10225507067837558,True,False,0.4007936507936508,68.99140021819213,69.11736961768636,12.3,737.389751265609
TMTM,5,2,0.03417314730508316,0.18271319256311874,0.0,0.08872939365655762,True,True,0.7552674230145867,52.618147294296335,48.517369617686356,28.75,1723.573605600509
TMTM,6,10,0.6676511781906826,,,,False,True,,21.59922823480444,101.71736961768636,0.2,11.990077256351366
TMTM,6,11,0.5085463548046287,,,,False,True,,39.34180704113091,100.36736961768636,2.4000000000000004,143.88092707621638
TMTM,6,3,0.1005665258751345,0.10161627087091982,0.0,0.0006387998074557662,True,False,0.2346723044397463,80.98535272270249,68.91736961768635,16.900000000000002,1013.1615281616904
TMTM,6,12,0.19111409351381867,,,,False,True,,21.883678396028113,44.81736961768635,0.30000000000000004,17.985115884527048
TMTM,6,2,0.01417952733813396,0.048352674643217124,0.0,0.040376719013340494,True,True,0.09913043478260869,41.465826337110286,43.16736961768636,2.85,170.85860090300696
TMTM,7,11,0.5388790674789925,0.030332712674363726,2.220446049250313e-16,0.030332712674363726,True,True,0.24120603015075376,33.60188152020726,98.26736961768636,9.950000000000001,596.5063435034805
TMTM,7,3,0.13158520993629305,0.03101868406115855,0.0,0.030379884253702787,True,True,0.5369458128078818,85.65759481004153,69.86736961768636,29.900000000000002,1792.5165498245292
TMTM,7,2,0.04065745013370711,0.05483697747184107,2.220446049250313e-16,0.09521369648518156,True,False,0.21052631578947367,39.946263633731206,35.06736961768635,0.6000000000000001,35.970231769054095
TMTM,7,13,0.14724786732652043,,,,False,True,,52.0871136968688,34.41736961768635,0.55,32.972712454966256
TMTM,8,11,0.31310372831554095,0.22577533916345155,0.0,0.1954426264890878,True,True,0.20603015075376885,21.74492221982144,59.31736961768635,2.0500000000000003,122.89829187760151
TMTM,8,14,0.11008977676321194,,,,False,True,,100.27814282927179,87.06736961768635,0.5,29.975193140878417
