scene,method,calibration,scale,initial_reference_mae,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,distance_nrmse,error_step_rms,error_step_max
hierarchy_change,TMTM,native,1.0,26.55152761828277,0.31246982623937775,0.4490616546288786,0.15711898717739667,0.013286619630722722,0.014183743777418876,5.299580219109146e-17,7.355227538141662e-17,,0.646469109182452,5.813791201486708,37.11702657596487
hierarchy_change,TMTM,first_frame_affine,0.33513676981900886,26.669578617959793,0.25259548349842703,0.3466367182529884,0.05203762726178481,0.016147388856229242,0.005165952807259779,1.027606819081761e-16,3.3306690738754695e-17,,0.876628640486553,1.9515609631972635,12.449089683454226
hierarchy_change,ST-MTM,native,1.0,13.04913219334615,0.07774442298519427,0.15483325877403212,0.08998567143249692,0.017589413191328947,0.007345282511763513,0.6079385421020255,0.6079384918076309,,0.2460030768356453,3.3603205865814347,21.241690638012443
hierarchy_change,ST-MTM,first_frame_affine,0.7350525313516039,9.676237343282349,0.0501840915848235,0.148713318186634,0.06627101979471652,0.01758941319132887,0.005599795790817145,0.6079385421020255,0.6079384918076312,,0.35585906367708464,2.475831615965285,15.699895277624421
hierarchy_change,RA-MTM,native,1.0,8.467227174780277,0.013768217758578529,0.04897242262912117,0.06785488874301351,0.004145360930394589,0.0037201309703468687,5.837344496661956e-17,5.412337245047638e-17,,0.29894022992578534,2.2870980548165445,14.873641839460504
advection_diffusion,TMTM,native,1.0,26.676178964550143,0.2214624507743703,0.4183505313152111,0.030671150804810036,0.030671150804810036,0.002889723498968306,4.299945816077511e-17,5.73759789679329e-17,,0.5798682710407316,0.38655958389857115,0.8912121212121242
advection_diffusion,TMTM,first_frame_affine,0.33155610954553927,26.699916318614584,0.22166968164318682,0.28168667151490995,0.032896527748350696,0.032896527748350696,0.0031112721369030206,7.12429247540225e-17,6.808789643208968e-17,,0.8505972351177171,0.3918682334534284,0.8152525882059329
advection_diffusion,ST-MTM,native,1.0,13.015431843646567,0.1116451373193583,0.17525825699357067,0.03400034114571917,0.03400034114571917,0.0032211628929077005,0.02196635815822493,0.021966358168446026,,0.3832416194281321,0.39468818441771125,0.6599184294571891
advection_diffusion,ST-MTM,first_frame_affine,0.7350137577018032,9.638782439961943,0.07978619580414106,0.19727149742995737,0.034000341145719114,0.034000341145719114,0.0032211628929076992,0.021966358158224918,0.021966358168445915,,0.45471169831094616,0.3956807946994994,0.6910960027141861
advection_diffusion,RA-MTM,native,1.0,8.339440595339742,0.06875601134602739,0.11695853910712246,0.0009335129114602384,4.939264681045922e-05,0.00038466060705479277,3.9394485937260806e-17,3.9660115469519753e-17,,0.41413002784114006,0.06806827992381344,0.217862555175671
translation_growth,TMTM,native,1.0,13.617676620366723,0.1382788550822526,0.22248819306319503,0.04680959746688109,0.04680959746688109,0.0044655382126559204,5.967448757360216e-17,2.6367796834847467e-17,,0.7308480328544892,0.5818640347579976,1.1179980788759423
translation_growth,TMTM,first_frame_affine,3.380369378310323,5.014083566050143,0.05934835125617463,0.13956243191108766,0.04153772390625469,0.03530410311543635,0.005494730682174706,7.979727989493313e-17,1.3426759704060488e-16,,0.14495341917019108,0.7730724977848239,1.482127524845346
translation_growth,ST-MTM,native,1.0,5.551369287907888,0.06996995730015071,0.13724262236396834,0.051643088628497306,0.0516430886284973,0.004935077354070065,0.3244577312591267,0.32445773125912664,,0.03619930586181604,0.6125788468350412,0.8540655777955024
translation_growth,ST-MTM,first_frame_affine,0.804767674492407,2.96239257565057,0.052194713383373566,0.12925272421949038,0.05164308862849733,0.05164308862849732,0.004935077354070066,0.3244577312591267,0.3244577312591267,,0.20006226409510172,0.6088105667805908,0.8659023216112871
translation_growth,RA-MTM,native,1.0,1.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.5796699765787705e-17,5.967448757360216e-17,,0.20309292121146372,0.0,0.0
