distance_nrmse,scene,method,first_frame_scale,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift
0.23878111965337176,gaussian2d_translation,TMTM,3.380369378310323,0.05618241380050666,0.1407868179999727,0.051414170250323556,0.051374092706150114,0.005367876763843653,2.6367796834847467e-17,1.1826477297471882e-16,
0.1984785930483591,gaussian2d_translation,ST-MTM,0.804767674492407,0.0527583013679884,0.12174489077988786,0.05248114233683107,0.052481142336831064,0.00501689511203839,0.022822494161362106,0.02282249416136209,
0.14499468255805312,gaussian2d_growth,TMTM,3.380369378310323,0.05207206806593872,0.1173856552799021,0.02650335230267298,0.015486991891636992,0.0038876785710501315,9.43689570931383e-17,1.536964999715451e-16,
0.2000385348313898,gaussian2d_growth,ST-MTM,0.804767674492407,0.02890597252962499,0.04556956511925721,0.004430336119163766,0.0010067888258233602,0.0006665354281880646,0.32476069720008643,0.3247606972000864,
0.1449534191701912,gaussian2d_translation_growth,TMTM,3.380369378310323,0.05934835125617457,0.13956243191108766,0.04153772390625472,0.035304103115436324,0.0054947306821747175,7.979727989493313e-17,1.3426759704060488e-16,
0.20006226409510172,gaussian2d_translation_growth,ST-MTM,0.804767674492407,0.052194713383373566,0.12925272421949038,0.05164308862849731,0.05164308862849731,0.004935077354070066,0.3244577312591267,0.3244577312591267,
0.24911799076450203,gaussian2d_local_growth,TMTM,3.380369378310323,0.038192648860737526,0.05774908932953723,0.0058943093610789275,0.0013273404119288543,0.0017153527112873776,6.406912037941007e-17,1.4838390932636613e-16,
0.1984878326575819,gaussian2d_local_growth,ST-MTM,0.804767674492407,0.024844939129893655,0.038197060886243,0.00043632415401035756,0.00034450425412277554,0.00035232329038319805,0.05494863065600393,0.054948630656003916,
0.876628640486553,gaussian2d_hierarchy_change,TMTM,0.33513676981900886,0.25259548349842703,0.3466367182529883,0.05203762726178483,0.016147388856229235,0.005165952807259778,1.027606819081761e-16,3.3306690738754695e-17,
0.35585906367708475,gaussian2d_hierarchy_change,ST-MTM,0.7350525313516039,0.05018409158482349,0.148713318186634,0.06627101979471654,0.017589413191328895,0.005599795790817147,0.6079385421020255,0.6079384918076312,
0.7103340308899709,gaussian2d_crowding,TMTM,1.222222509587131,0.02885479968825299,0.06767055836829684,0.029527836402341426,0.029527836402341426,0.0028336914236663574,9.707946252435206e-17,4.605690828718423e-17,
0.705412669791114,gaussian2d_crowding,ST-MTM,0.294529040306015,0.028991769307970316,0.07279780966364063,0.030260861266045755,0.03026086126604575,0.002895277527011084,0.025927862721388938,0.02592786272138888,
0.850597235117717,gaussian2d_advection_diffusion,TMTM,0.33155610954553927,0.22166968164318676,0.28168667151490995,0.03289652774835073,0.03289652774835073,0.003111272136903023,7.12429247540225e-17,6.808789643208968e-17,
0.45471169831094616,gaussian2d_advection_diffusion,ST-MTM,0.7350137577018032,0.07978619580414105,0.19727149742995737,0.03400034114571918,0.034000341145719176,0.003221162892907703,0.021966358158224918,0.021966358168445915,
0.19751903114922267,gaussian2d_translation,RA-MTM,,0.008333333333333333,,0.0,,,3.5908775952719906e-17,,
0.2033444413484118,gaussian2d_growth,RA-MTM,,0.008333333333333333,,0.0,,,5.689893001203927e-17,,
0.20309292121146372,gaussian2d_translation_growth,RA-MTM,,0.008333333333333333,,0.0,,,4.5796699765787705e-17,,
0.19835930186778392,gaussian2d_local_growth,RA-MTM,,0.008333333333333333,,0.0,,,4.5883435939586546e-17,,
0.2963623976008895,gaussian2d_hierarchy_change,RA-MTM,,0.015173496791737852,,0.07959678060860656,,,5.837344496661956e-17,,
0.7246482228087914,gaussian2d_crowding,RA-MTM,,0.008673364382580435,,0.0004250341841041906,,,4.1561083278611e-17,,
0.39687750570859803,gaussian2d_advection_diffusion,RA-MTM,,0.08103803963975252,,0.0009978831623876042,,,3.9394485937260806e-17,,
