dataset,method,calibration,first_frame_identifiable,position_2d_nrmse,position_2d_nmae,reference_x_nmae,reference_y_nmae,reference_x_p95,reference_y_p95,motion_2d_nmae,motion_magnitude_2d_nmae,trajectory_2d_nmae,direction_error_radians,direction_count,direction_zero_predictions,matched_steps,minimum_motion
ring,TMTM,first_frame_2d_affine,False,0.16568655692102133,0.15506345938888294,0.13333333333333333,0.14685314685314688,0.3076923076923077,0.23076923076923075,0.015937572784332166,0.015937572784332166,0.0696600184743107,3.1415926535897936,36,36,146,0.21
ring,ST-MTM,first_frame_2d_affine,False,0.16568655692102133,0.15506345938888294,0.13333333333333333,0.14685314685314688,0.3076923076923077,0.23076923076923075,0.015937572784332166,0.015937572784332166,0.0696600184743107,3.1415926535897936,36,36,146,0.21
ring,X-only RA-MTM,first_frame_2d_affine,False,0.16568655692102133,0.15506345938888294,0.13333333333333333,0.14685314685314688,0.3076923076923077,0.23076923076923075,0.015937572784332166,0.015937572784332166,0.0696600184743107,3.1415926535897936,36,36,146,0.21
ring,X-only centroid RA,first_frame_2d_affine,False,0.16568655692102133,0.15506345938888294,0.13333333333333333,0.14685314685314688,0.3076923076923077,0.23076923076923075,0.015937572784332166,0.015937572784332166,0.0696600184743107,3.1415926535897936,36,36,146,0.21
