scene,method,calibration,t,feature,q,x,reference_error,initial_error,cumulative_motion_error
hierarchy_change,TMTM,native,0,0,25.261429961089494,50.65143964543573,25.390009684346236,25.390009684346236,0.0
hierarchy_change,TMTM,native,0,1,38.67703045685279,66.39007600907209,27.7130455522193,27.7130455522193,0.0
hierarchy_change,TMTM,native,0,2,78.08219178082192,32.299166918163,-45.78302486265891,-45.78302486265891,0.0
hierarchy_change,TMTM,native,0,3,92.77260638297872,85.45257600907209,-7.320030373906633,-7.320030373906633,0.0
hierarchy_change,TMTM,native,1,0,25.560897435897434,51.134394190890276,25.573496754992842,25.390009684346236,0.1834870706466063
hierarchy_change,TMTM,native,1,1,38.836287313432834,65.424166918163,26.587879604730162,27.7130455522193,-1.125165947489137
hierarchy_change,TMTM,native,1,2,78.35170340681363,33.03780328179937,-45.31390012501426,-45.78302486265891,0.46912473764465545
hierarchy_change,TMTM,native,1,3,92.9763986013986,85.31053055452665,-7.66586804687195,-7.320030373906633,-0.34583767296531676
hierarchy_change,TMTM,native,2,0,25.700503355704697,82.55484873634481,56.85434538064011,25.390009684346236,31.464335696293876
hierarchy_change,TMTM,native,2,1,39.24607072691552,68.94689419089028,29.700823463974757,27.7130455522193,1.9877779117554581
hierarchy_change,TMTM,native,2,2,78.58272821576763,33.49234873634482,-45.09037947942281,-45.78302486265891,0.6926453832361048
hierarchy_change,TMTM,native,2,3,92.99115245009074,48.20825782725392,-44.78289462283682,-7.320030373906633,-37.46286424893019
hierarchy_change,TMTM,native,3,0,25.90412621359223,81.9582578272539,56.05413161366167,25.390009684346236,30.66412192931543
hierarchy_change,TMTM,native,3,1,39.375,69.34462146361756,29.969621463617557,27.7130455522193,2.256575911398258
hierarchy_change,TMTM,native,3,2,78.68885869565217,34.003712372708456,-44.685146322943716,-45.78302486265891,1.0978785397151967
hierarchy_change,TMTM,native,3,3,93.08085501858736,48.20825782725392,-44.87259719133344,-7.320030373906633,-37.55256681742681
hierarchy_change,TMTM,native,4,0,26.12837837837838,81.13439419089028,55.0060158125119,25.390009684346236,29.61600612816566
hierarchy_change,TMTM,native,4,1,39.51080607476636,69.7707578272539,30.259951752487545,27.7130455522193,2.5469062002682463
hierarchy_change,TMTM,native,4,2,78.90066964285714,34.571894190890276,-44.32877545196686,-45.78302486265891,1.45424941069205
hierarchy_change,TMTM,native,4,3,93.50841346153847,48.35030328179937,-45.1581101797391,-7.320030373906633,-37.838079805832464
hierarchy_change,TMTM,native,5,0,26.25,80.22530328179937,53.97530328179937,25.390009684346236,28.585293597453134
hierarchy_change,TMTM,native,5,1,39.775763358778626,69.71393964543574,29.938176286657118,27.7130455522193,2.225130734437819
hierarchy_change,TMTM,native,5,2,78.93229166666667,35.509394190890276,-43.422897475776395,-45.78302486265891,2.3601273868825174
hierarchy_change,TMTM,native,5,3,93.70931952662721,48.8900760090721,-44.819243517555115,-7.320030373906633,-37.49921314364848
