case,mode,motion_weight,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,distance_nrmse,error_step_rms,error_step_max
common_translation,residual,0.0,0.002810332540558576,0.004215499529474087,1.924386576016938e-17,7.401486830834375e-18,1.4802973661668755e-18,0.0,0.0,0.0,0.05765794776674377,1.0255800994045674e-15,7.105427357601002e-15
common_translation,residual,0.1,0.0028103325744087515,0.004215498642597737,1.3476294228690713e-09,7.565303351676612e-10,6.744055141499278e-11,0.0,0.0,0.0,0.05765794911608327,3.814545128007378e-08,2.447510567549216e-07
common_translation,residual,0.5,0.0028103330501539907,0.004215499769009045,1.6531602388249034e-09,1.4914782189537038e-09,8.471310813323245e-11,0.0,0.0,0.0,0.05765794551638081,4.947520674167893e-08,3.3412855771075556e-07
common_translation,residual,2.0,0.0028103329729935603,0.004215499527303474,1.4825553737749274e-09,1.4758520030768964e-09,8.033717148315923e-11,0.0,0.0,0.0,0.057657945795786515,3.8402054759049735e-08,2.5545631388013135e-07
common_translation,residual,8.0,0.0028103332009684913,0.004215499445318984,8.098736797240096e-10,6.496419762629873e-10,4.583909992324682e-11,0.0,0.0,0.0,0.05765794650528872,1.765579393926298e-08,1.0994266119723761e-07
common_translation,stationary,0.5,0.0029746435487321863,0.004736333059630186,0.000517576564471385,0.000517576564471385,2.6041588131959536e-05,0.0,0.0,0.0,0.05765794549282118,0.012499962437969064,0.05555558639102287
cross_axis_oscillation,residual,0.0,0.003283334843796666,0.00977074819845285,0.002095798347782628,7.876511206224751e-10,0.004077371978837029,0.0,0.0,0.0,0.08355159170028803,0.6392047577959481,1.077838898524135
cross_axis_oscillation,residual,0.1,0.003284832088410784,0.009691850340581353,0.0020574507858259236,1.246147998617491e-09,0.003986257751034437,0.0,0.0,0.0,0.08361706776388453,0.6258127481090223,1.0534011467853333
cross_axis_oscillation,residual,0.5,0.003289805068262224,0.009387719403511503,0.0019111015148618874,1.7421795502533161e-09,0.0036509976805078224,0.0,0.0,0.0,0.08387148301310793,0.5767675695637625,0.9645037104018286
cross_axis_oscillation,residual,2.0,0.003298972053898648,0.008451954259329438,0.0014692874178088954,1.387672367631549e-09,0.0027281480429691076,0.0,0.0,0.0,0.08467100805161479,0.44188856745727684,0.7230991906509487
cross_axis_oscillation,residual,8.0,0.003292594796440742,0.006745429927734197,0.0006752618101718808,7.005259631635378e-10,0.0012891913572211791,0.0,0.0,0.0,0.08619249492423868,0.22256283216743009,0.33707472996923116
cross_axis_oscillation,stationary,0.5,0.0034541156096632372,0.009908549855849262,0.002149724685235926,0.0005175764442005315,0.0036596782076884766,0.0,0.0,0.0,0.08387148273527335,0.5769030305420575,0.9706765495693332
cross_axis_step,residual,0.0,0.006504182435701772,0.01479334182462999,0.003878543096514441,1.3476132984832941e-09,0.00035259482695585803,0.0,0.0,0.0,0.14333406026809023,0.23174893751998535,1.2693414791469166
cross_axis_step,residual,0.1,0.006499385409407965,0.014793341654843317,0.003873506808829148,1.6156608549798711e-09,0.0003525949785747108,0.0,0.0,0.0,0.1433471559457379,0.22850756073236866,1.2514635748769933
cross_axis_step,residual,0.5,0.006480196783211044,0.014793342076005717,0.003853358659372213,1.842990153575228e-09,0.00035259484101408717,0.0,0.0,0.0,0.14340037590658153,0.21678127874018377,1.1847185117722319
cross_axis_step,residual,2.0,0.006408238673472069,0.014793337681093076,0.0037778025924767034,1.5177521683895631e-09,0.0003525948497554444,0.0,0.0,0.0,0.1436074749232432,0.184871670202623,0.9872652738328753
cross_axis_step,residual,8.0,0.006120787297803262,0.014771921817514761,0.003475978142711137,1.1314221604052932e-09,0.0003522446886995927,0.0,0.0,0.0,0.14446969425913309,0.12785055406943738,0.5923592384691716
cross_axis_step,stationary,0.5,0.006644507206108819,0.015314175260968376,0.004179962330886467,0.0005175763809554666,0.0003786363572288165,0.0,0.0,0.0,0.14340037561885022,0.21714136262556252,1.1847184621178144
