scene,mode,weight,temporal_lambda,t,topology_equal
advection_diffusion,temporal,uniform,2.0,1,True
advection_diffusion,temporal,uniform,2.0,2,True
advection_diffusion,temporal,uniform,2.0,3,True
advection_diffusion,temporal,uniform,2.0,4,True
advection_diffusion,temporal,uniform,2.0,5,True
advection_diffusion,temporal,uniform,2.0,6,True
advection_diffusion,temporal,uniform,2.0,7,True
advection_diffusion,temporal,uniform,2.0,8,True
advection_diffusion,temporal,uniform,2.0,9,True
advection_diffusion,temporal,uniform,2.0,10,True
advection_diffusion,temporal,uniform,2.0,11,True
advection_diffusion,temporal,uniform,2.0,12,True
advection_diffusion,temporal,uniform,2.0,13,True
advection_diffusion,temporal,uniform,2.0,14,True
advection_diffusion,temporal,uniform,2.0,15,True
advection_diffusion,temporal,uniform,2.0,16,True
advection_diffusion,temporal,uniform,2.0,17,True
advection_diffusion,temporal,uniform,2.0,18,True
advection_diffusion,temporal,uniform,2.0,19,True
advection_diffusion,temporal,uniform,2.0,20,True
advection_diffusion,temporal,inverse,0.5,0,True
advection_diffusion,temporal,inverse,0.5,1,True
advection_diffusion,temporal,inverse,0.5,2,True
advection_diffusion,temporal,inverse,0.5,3,True
advection_diffusion,temporal,inverse,0.5,4,True
advection_diffusion,temporal,inverse,0.5,5,True
advection_diffusion,temporal,inverse,0.5,6,True
advection_diffusion,temporal,inverse,0.5,7,True
advection_diffusion,temporal,inverse,0.5,8,True
advection_diffusion,temporal,inverse,0.5,9,True
advection_diffusion,temporal,inverse,0.5,10,True
advection_diffusion,temporal,inverse,0.5,11,True
advection_diffusion,temporal,inverse,0.5,12,True
advection_diffusion,temporal,inverse,0.5,13,True
advection_diffusion,temporal,inverse,0.5,14,True
advection_diffusion,temporal,inverse,0.5,15,True
advection_diffusion,temporal,inverse,0.5,16,True
advection_diffusion,temporal,inverse,0.5,17,True
advection_diffusion,temporal,inverse,0.5,18,True
advection_diffusion,temporal,inverse,0.5,19,True
advection_diffusion,temporal,inverse,0.5,20,True
