scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift,family,seed,grid,total_area_ratio_final,true_total_area_ratio_final,mean_displacement_final,true_mean_displacement_final
gaussian2d_translation,TMTM,defined,21,15.61161670201925,0.5987130195052127,0.5987130195052127,3.876969292341816e-17,0.7715904801608663,0.00916266546839566,,0,0.0,0.014204545454546746,,,0.2187539170263335,0.13009680585016042,0.21905586202110275,0.05215364864996234,0.052153648649962345,0.004989275162543439,3.972516759986888e-17,7.144892316679474e-17,,0.13009680585016042,0.21905586202110275,0.05215364864996234,0.052153648649962345,0.004989275162543439,3.972516759986888e-17,7.144892316679474e-17,,translation,0,65,1.0241379310344827,1.0241379310344827,0.06628787878788008,12.040548268892133
gaussian2d_translation,ST-MTM,defined,21,7.975450858961994,0.6020274134446065,0.6020274134446065,0.022186353049695448,0.03635737208780322,0.001321491287841994,,0,0.0,0.0,,,0.05433333304245025,0.06646209049134995,0.1283131732123211,0.05248114233683105,0.05248114233683106,0.005016895112038388,0.0228224941613621,0.02282249416136207,,0.06646000599654855,0.12825466716054798,0.05238847481933652,0.05238847481933653,0.005005311672351575,0.026331231012307724,0.02605855990521813,,translation,0,65,0.9999999999999994,1.0241379310344827,2.3684757858670005e-15,12.040548268892133
gaussian2d_translation,RA-MTM,defined,21,1.0,0.0,6.998185019331989e-06,3.52451753849256e-17,0.19751903114922267,0.017109425802169925,,0,0.0,0.00021887382983720727,0.0,0.0,0.10642899991944432,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,3.5908775952719906e-17,8.649764932089354e-17,,0.00833836950193314,0.008539349244153342,0.00017941463322733892,8.224677691398144e-05,0.00015858642455659092,0.003208742190796994,0.0010841278668656102,,translation,0,65,1.0241379310344827,1.0241379310344827,12.040548268892133,12.040548268892133
gaussian2d_growth,TMTM,defined,21,14.635148151914503,0.1683940897867346,0.1683940897867348,5.991679815437352e-17,0.7335852611074437,0.008696271113698641,,0,0.0,0.014204545454546746,,,0.21699741703923792,0.12195956793262086,0.20278867465218495,0.009262479513062517,0.005268234459496659,0.0014032840815561215,4.533410683886056e-17,5.134781488891349e-17,,0.12195956793262086,0.20278867465218495,0.009262479513062517,0.005268234459496659,0.0014032840815561215,4.533410683886056e-17,5.134781488891349e-17,,growth,0,65,1.7413793103448276,1.7413793103448276,0.8333333333333309,-0.09790363160663655
gaussian2d_growth,ST-MTM,defined,21,6.348953503346739,0.10247293628901843,0.10247293628901843,0.3815286698585796,0.036215324901220224,0.0013084532707629947,,0,0.0,0.0,,,0.0623218750115484,0.05290794586122283,0.088438598875746,0.007016416073905543,0.0010067888258233591,0.0008539411357418203,0.32476069720008643,0.3247606972000864,,0.05289899793143466,0.08839819728442809,0.00680565000004688,0.0010461429007327127,0.0008925351561575203,0.328776710469281,0.32880992647426205,,growth,0,65,1.0000000000000002,1.7413793103448276,-1.1842378929335004e-14,-0.09790363160663655
gaussian2d_growth,RA-MTM,defined,21,1.0,0.0,6.842292190079035e-06,7.401486830834377e-17,0.2033444413484118,0.017969422668203266,,0,0.0,0.0003942107943544215,0.0,0.0,0.09443595807533711,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,5.689893001203927e-17,4.9960036108132046e-17,,0.008326945341510574,0.008556624209894009,0.00015435468445875857,7.598560807368019e-05,0.00016235663104157016,0.0027350055810830077,0.0012148999084874428,,growth,0,65,1.7413793103448276,1.7413793103448276,-0.09790363160663655,-0.09790363160663655
gaussian2d_translation_growth,TMTM,defined,21,16.59346260987031,0.5358645855187104,0.5358645855187104,8.106390338532889e-17,0.7308480328544892,0.00952078878564718,,0,0.0,0.014204545454546746,,,0.25918295804876834,0.1382788550822526,0.22248819306319503,0.04680959746688109,0.04680959746688109,0.0044655382126559204,5.967448757360216e-17,2.6367796834847467e-17,,0.1382788550822526,0.22248819306319503,0.04680959746688109,0.04680959746688109,0.0044655382126559204,5.967448757360216e-17,2.6367796834847467e-17,,translation_growth,0,65,1.806896551724138,1.806896551724138,1.1268939393939423,11.84418564976815
gaussian2d_translation_growth,ST-MTM,defined,21,8.396394876018086,0.5922092824884078,0.5922092824884078,0.3810275325959017,0.03619930586181604,0.0013077639308701945,,0,0.0,0.0,,,0.05922975006978959,0.06996995730015071,0.13724262236396834,0.051643088628497306,0.0516430886284973,0.004935077354070065,0.3244577312591267,0.32445773125912664,,0.06992921056346271,0.13712846920205438,0.051806914990992,0.051806914990992,0.0049350773540700645,0.3181611774423345,0.3183235182966393,,translation_growth,0,65,0.9999999999999996,1.806896551724138,-4.144832625267251e-15,11.84418564976815
gaussian2d_translation_growth,RA-MTM,defined,21,1.0,0.0,8.96051323338772e-06,5.991679815437352e-17,0.20309292121146372,0.017931936698738323,,0,0.0,0.00042702863110832823,0.0,0.0,0.5724799999734387,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.5796699765787705e-17,5.967448757360216e-17,,0.008358286018872157,0.008547550573390706,0.0001976172842104784,7.515978240883073e-05,0.00015637540991122467,0.0026094871058797244,0.0015194048745411717,,translation_growth,0,65,1.8068965517241378,1.806896551724138,11.84418564976815,11.84418564976815
gaussian2d_local_growth,TMTM,defined,21,13.689669955460166,0.08136703013182742,0.08160377255606939,4.053195169266444e-17,0.7749712428025417,0.008817978271697948,,0,0.0,0.014204545454546746,,,0.21447370806708932,0.11408058296216805,0.17245248334183136,0.001718883108487787,0.000432002095760107,0.0006780585844318952,4.464021744846984e-17,5.950101522600448e-17,,0.11408058296216805,0.17245248334183136,0.001718883108487787,0.000432002095760107,0.0006780585844318952,4.464021744846984e-17,5.950101522600448e-17,,local_growth,0,65,0.9051724137931034,0.9051724137931034,0.03787878787878659,0.010295726892778134
gaussian2d_local_growth,ST-MTM,defined,21,5.601447186083554,0.042758291289630775,0.042758291289630775,0.05182967948177671,0.036365426941675744,0.0013224207170219856,,0,0.0,0.0,,,0.050625417032279074,0.046678726550696284,0.07012398511569701,0.000492569734850079,0.00034450425412278773,0.00035631909408025646,0.054948630656003944,0.05494863065600393,,0.046707760587889835,0.07018593779989299,0.000497805230737318,0.00030741123575876895,0.0004292153541776036,0.05323480022575266,0.05303072090568299,,local_growth,0,65,0.9999999999999997,0.9051724137931034,-1.6579330501069005e-14,0.010295726892778134
gaussian2d_local_growth,RA-MTM,defined,21,1.0,0.0,2.9294734718613805e-06,4.4056469231157003e-17,0.19835930186778392,0.017227385605746867,,0,0.0,0.00020133243167208548,0.0,0.0,0.12667724990751594,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.5883435939586546e-17,7.118871464539822e-17,,0.008354212468168363,0.008557909024292758,0.00018714731265646328,9.771249013203045e-05,0.00010600357958529402,0.0033164472070297186,0.0018265568655763543,,local_growth,0,65,0.9051724137931034,0.9051724137931034,0.010295726892778134,0.010295726892778134
gaussian2d_hierarchy_change,TMTM,defined,21,37.49637914872533,1.7020492532902651,1.7011614691993568,3.337277544260143e-17,0.646469109182452,0.07621693118471635,,0,0.0,0.014204545454560957,,,0.30591108393855393,0.31246982623937775,0.4490616546288786,0.15711898717739667,0.013286619630722722,0.014183743777418876,5.299580219109146e-17,7.355227538141662e-17,,0.31246982623937775,0.4490616546288786,0.15711898717739667,0.013286619630722722,0.014183743777418876,5.299580219109146e-17,7.355227538141662e-17,,hierarchy_change,0,65,0.3032110091743119,0.30321100917431193,1.3139204545454533,4.107880441576156
gaussian2d_hierarchy_change,ST-MTM,defined,21,9.329330758223312,0.8814339014116216,1.454238572427804,0.4022825539337298,0.2460030768356453,0.056839735198024606,,0,0.0,19.825848461601765,,,0.38056345900986344,0.07774442298519427,0.15483325877403212,0.08998567143249692,0.017589413191328947,0.007345282511763513,0.6079385421020255,0.6079384918076309,,0.07779078671290703,0.15493098306509298,0.09007663997065504,0.01745319181989176,0.007368453737965386,0.607739209145628,0.6075427348770419,,hierarchy_change,0,65,0.9999999999999999,0.30321100917431193,-3.552713678800501e-14,4.107880441576156
gaussian2d_hierarchy_change,RA-MTM,defined,21,1.6521861310294235,0.44641571644162426,0.8111632075590662,3.419883424068563e-17,0.29894022992578534,0.06241091556063175,,0,0.0,6.0328124999999915,13.264152613578403,0.0,0.16340758302249014,0.013768217758578529,0.04897242262912117,0.06785488874301351,0.004145360930394589,0.0037201309703468687,5.837344496661956e-17,5.412337245047638e-17,,0.013797601601413616,0.04901521990917589,0.06784278136215639,0.004235208205837783,0.003844264164917779,0.0018631105193079125,0.0007854057047990675,,hierarchy_change,0,65,0.30321100917431193,0.30321100917431193,4.267980104917203,4.107880441576156
gaussian2d_crowding,TMTM,defined,21,3.681896361917794,0.34127800021102744,0.3417514850595123,6.696583323135864e-17,0.7629342049940394,0.005689833952273655,,0,0.0,0.014204545454546746,,,0.20645366702228785,0.030682469682648282,0.06221238190183178,0.029661113791298318,0.029661113791298318,0.0028439833350918952,7.172358771715773e-17,6.908536243077635e-17,,0.030682469682648282,0.06221238190183178,0.029661113791298318,0.029661113791298318,0.0028439833350918952,7.172358771715773e-17,6.908536243077635e-17,,crowding,0,65,0.9658344283837057,0.9658344283837057,0.1231060606060576,6.9486660648266065
