t,current,previous,track,iou,boundary
39,5,4,36,0.6947368421052632,True
39,47,43,27,0.05,True
39,474,718,50,0.10810810810810811,True
39,1224,1070,51,0.012658227848101266,True
39,1911,1911,46,0.2372093023255814,True
39,2392,2390,28,0.04411764705882353,True
40,11,5,36,0.6692913385826772,True
40,327,474,50,0.41414141414141414,True
40,1175,1224,51,0.47619047619047616,True
40,1917,1911,46,0.32,True
40,2395,2392,28,0.26666666666666666,True
41,12,11,36,0.5978835978835979,True
41,34,327,50,0.8461538461538461,True
41,1922,1917,46,0.4098360655737705,False
41,2037,1985,57,0.22580645161290322,False
42,36,34,50,0.7236467236467237,True
42,259,12,36,0.6230366492146597,True
42,1771,1922,46,0.2786885245901639,True
42,2106,2050,58,0.14963503649635038,True
43,43,36,50,0.547244094488189,True
43,1776,1771,46,0.405982905982906,True
43,2155,2106,58,0.6825938566552902,True
44,44,43,50,0.775,True
44,1781,1776,46,0.5933333333333334,False
44,2253,2155,58,0.4748858447488584,True
45,48,44,50,0.9078947368421053,True
45,1785,1781,46,0.6048632218844985,False
45,2400,2253,58,0.125,True
46,0,0,59,0.37037037037037035,True
46,48,48,50,0.5655172413793104,True
46,1838,1785,46,0.5793103448275863,False
47,0,0,59,0.5,True
47,48,48,50,0.6585365853658537,True
47,1721,1911,62,0.3380281690140845,True
47,1841,1838,46,0.49722222222222223,True
48,47,48,50,0.2962962962962963,True
48,961,1008,64,0.06451612903225806,False
48,1676,1721,62,0.07746478873239436,True
48,2246,1841,46,0.5702479338842975,True
49,963,961,64,0.1774193548387097,False
49,1633,1676,62,0.05813953488372093,False
49,1915,1867,65,0.13333333333333333,True
49,2398,2246,46,0.7763713080168776,True
50,14,16,66,0.2,True
50,1691,1633,62,0.36363636363636365,False
50,1965,1915,65,0.48717948717948717,True
50,2400,2398,46,0.6321243523316062,True
51,637,588,68,0.23333333333333334,True
51,1644,1691,62,0.4101694915254237,False
51,1966,1965,65,0.5357142857142857,True
51,2400,2400,46,0.5245901639344263,True
52,833,637,68,0.32432432432432434,True
52,1798,1644,62,0.5620253164556962,False
52,1966,1966,65,0.7432432432432432,True
52,2400,2400,46,0.453125,True
53,882,833,68,0.64,True
53,1917,1966,65,0.1506849315068493,True
53,1948,1798,62,0.37283236994219654,False
53,2400,2400,46,0.13793103448275862,True
54,882,882,68,0.5294117647058824,True
54,1641,1786,70,0.13793103448275862,False
54,1999,1948,62,0.5695364238410596,True
55,1597,1641,70,0.32926829268292684,False
55,2050,1999,62,0.23148148148148148,True
56,1600,1597,70,0.20583468395461912,True
56,2376,2371,71,0.28125,True
57,0,0,72,0.3333333333333333,True
57,392,441,73,0.35714285714285715,True
57,1652,1600,70,0.20588235294117646,True
57,2379,2376,71,0.7586206896551724,True
58,0,0,72,0.5454545454545454,True
58,862,911,76,0.45348837209302323,False
58,1756,1652,70,0.31088082901554404,True
58,2381,2379,71,0.5414634146341464,True
59,0,0,72,0.4230769230769231,True
59,765,862,76,0.47368421052631576,True
59,1959,1756,70,0.3103448275862069,True
59,2379,2381,71,0.6869565217391305,True
60,0,0,72,0.8571428571428571,True
60,372,765,76,0.6133333333333333,True
60,1568,1868,78,0.015151515151515152,True
60,2155,1959,70,0.11904761904761904,True
60,2379,2379,71,0.36065573770491804,True
61,0,0,72,0.7777777777777778,True
61,27,372,76,0.7758620689655172,True
61,1470,1568,78,0.1956521739130435,True
61,1938,2379,71,0.37714285714285717,True
61,2400,2155,70,0.4117647058823529,True
62,0,0,72,0.8076923076923077,True
62,27,27,76,0.6,True
62,1519,1470,78,0.5348837209302325,True
62,1993,1938,71,0.5108225108225108,True
62,2400,2400,70,0.7647058823529411,True
63,0,0,72,0.8064516129032258,True
63,173,27,76,0.5620915032679739,True
63,1617,1519,78,0.5826771653543307,True
63,1996,1993,71,0.5347826086956522,True
63,2400,2400,70,0.23076923076923078,True
64,0,0,72,0.7878787878787878,True
64,24,173,76,0.8019323671497585,True
64,1666,1617,78,0.460431654676259,True
64,2049,1996,71,0.19691969196919692,True
64,2356,2352,82,0.23529411764705882,True
65,0,0,72,0.75,True
65,420,24,76,0.4427860696517413,True
65,1764,1666,78,0.52,True
65,2052,2049,71,0.7033898305084746,True
65,2357,2356,82,0.68,True
66,0,0,72,0.19047619047619047,True
66,715,420,76,0.2523809523809524,True
66,1911,1764,78,0.26556016597510373,True
66,2106,2052,71,0.6123032904148784,True
67,0,0,72,0.25,True
67,766,715,76,0.42962962962962964,True
67,1764,1911,78,0.7403846153846154,True
67,2400,2106,71,0.6,True
68,922,766,76,0.04197530864197531,True
68,1911,1764,78,0.7632978723404256,True
68,2400,2400,71,0.532319391634981,True
69,14,16,83,0.038461538461538464,True
69,670,718,84,0.06,False
69,1273,922,76,0.022222222222222223,True
69,1911,1911,78,0.7794759825327511,True
69,2400,2400,71,0.6923076923076923,True
70,11,14,83,0.3269230769230769,True
70,574,670,84,0.3009118541033435,True
70,1469,1273,76,0.14049586776859505,True
70,1917,1911,78,0.7766323024054983,True
70,2400,2400,71,0.7171717171717171,True
71,10,11,83,0.65,True
71,478,574,84,0.3079268292682927,True
71,1966,1917,78,0.8008982035928144,True
71,2400,2400,71,0.5352112676056338,True
72,12,10,83,0.2191780821917808,True
72,432,478,84,0.5779816513761468,False
72,2017,1966,78,0.8215297450424929,True
72,2400,2400,71,0.07894736842105263,True
73,14,12,83,0.42424242424242425,True
73,48,45,87,0.037037037037037035,True
73,434,432,84,0.1267605633802817,False
73,1769,2017,78,0.0015082956259426848,True
74,14,14,83,0.775,True
74,47,48,87,0.48148148148148145,True
75,14,14,83,0.6836734693877551,True
75,48,47,87,0.03757225433526012,True
75,1914,1862,90,0.3333333333333333,True
75,2025,1874,91,0.24096385542168675,False
76,13,14,83,0.373134328358209,True
76,293,48,87,0.8112676056338028,True
76,1916,1914,90,0.47368421052631576,True
76,2073,2025,91,0.37777777777777777,False
77,15,13,83,0.36363636363636365,True
77,440,293,87,0.6174496644295302,True
77,1932,2073,91,0.2077922077922078,False
78,14,15,83,0.8095238095238095,True
78,2032,1932,91,0.40625,False
78,2068,2019,95,0.04,False
79,2178,2032,91,0.024583333333333332,True
80,2271,2178,91,0.9625,True
81,0,0,97,0.6,True
81,1290,2271,91,0.005627705627705628,True
82,2029,2170,99,0.045871559633027525,False
83,985,980,100,0.25675675675675674,True
83,1110,1250,102,0.07308970099667775,False
83,2030,2029,99,0.5221238938053098,False
84,845,985,100,0.008928571428571428,True
84,1165,1110,102,0.5175438596491229,False
84,2031,2030,99,0.5441176470588235,False
85,1366,1165,102,0.6666666666666666,True
85,2009,2031,99,0.1,True
86,1565,1366,102,0.4704761904761905,True
86,2107,2009,99,0.6933333333333334,True
87,178,19,106,0.12244897959183673,True
87,1665,1565,102,0.45357142857142857,True
87,2107,2107,99,0.7922374429223744,True
88,13,15,108,0.14606741573033707,True
88,475,178,106,0.13227513227513227,True
88,1812,1665,102,0.6041666666666666,True
88,1911,2107,99,0.7969052224371374,True
89,13,13,108,0.7416666666666667,True
89,674,475,106,0.31382978723404253,True
89,1861,1812,102,0.811965811965812,True
89,2058,1911,99,0.7933333333333333,True
90,13,13,108,0.926829268292683,True
90,142,43,109,0.15,True
90,874,674,106,0.27184466019417475,True
90,1859,1861,102,0.48672566371681414,True
90,2058,2058,99,0.8160237388724035,True
91,14,13,108,0.7627118644067796,True
91,46,142,109,0.09090909090909091,True
91,1027,874,106,0.4114285714285714,True
91,2107,2058,99,0.7052401746724891,True
92,13,14,108,0.6293706293706294,True
92,44,46,109,0.16666666666666666,True
92,1224,1027,106,0.24369747899159663,True
92,2221,2107,99,0.07346491228070176,True
93,45,485,110,0.07692307692307693,True
93,211,13,108,0.035211267605633804,True
93,1224,1224,106,0.2222222222222222,True
93,2107,2058,111,0.8292682926829268,True
93,2373,2221,99,0.4666666666666667,True
94,12,13,112,0.2,True
94,44,45,110,0.6645367412140575,True
94,260,211,108,0.42857142857142855,False
94,2058,2107,111,0.4,True
94,2376,2373,99,0.6173913043478261,True
95,15,12,112,0.038461538461538464,True
95,244,44,110,0.8466453674121406,True
95,2058,2058,111,0.5517241379310345,True
95,2078,2376,99,0.04716981132075472,True
96,13,15,112,0.5721649484536082,True
96,391,244,110,0.8389261744966443,True
96,1862,2058,111,0.2553191489361702,True
96,2182,2078,99,0.12916666666666668,True
97,13,13,112,0.19428571428571428,True
97,440,391,110,0.8664596273291926,True
97,1918,1862,111,0.5275590551181102,True
97,2237,2182,99,0.004219409282700422,True
98,10,13,112,0.3333333333333333,True
98,437,440,110,0.8962264150943396,True
98,1571,1918,111,0.4090909090909091,True
98,2384,2382,119,0.14285714285714285,True
99,438,437,110,0.8771929824561403,True
99,1825,1571,111,0.33511586452762926,True
100,440,438,110,0.864,True
100,2126,1825,111,0.5665467625899281,True
101,440,440,110,0.5654450261780105,True
101,1813,1960,122,0.034482758620689655,True
101,2227,2126,111,0.5446685878962536,True
102,205,354,124,0.6269230769230769,True
102,435,440,110,0.7077244258872651,True
102,1911,1813,122,0.5031847133757962,True
102,2377,2227,111,0.40669856459330145,True
103,7,205,124,0.7877551020408163,True
103,435,435,110,0.8245967741935484,True
103,1914,1911,122,0.2214765100671141,True
104,11,7,124,0.616822429906542,True
104,435,435,110,0.7334754797441365,True
104,2222,1914,122,0.026720647773279354,True
105,15,11,124,0.34591194968553457,True
105,48,435,110,0.8866279069767442,True
105,810,762,126,0.125,False
105,2372,2222,122,0.895245769540693,True
106,24,15,124,0.041666666666666664,True
106,244,48,110,0.8918032786885246,True
106,809,810,126,0.0625,False
106,2381,2372,122,0.9001782531194296,True
107,0,0,127,0.5,True
107,25,24,124,0.5652173913043478,True
107,195,244,110,0.7904411764705882,True
107,711,809,126,0.010869565217391304,False
107,2393,2381,122,0.04729064039408867,True
108,0,0,127,0.5,True
108,25,25,124,0.3728813559322034,True
108,342,195,110,0.7162790697674418,True
108,517,711,126,0.021739130434782608,False
108,2009,1911,129,0.1989795918367347,True
108,2395,2393,122,0.6935483870967742,True
109,0,0,127,0.3333333333333333,True
109,17,25,124,0.3010204081632653,True
109,342,342,110,0.8896103896103896,True
109,2058,2009,129,0.6506849315068494,True
109,2400,2395,122,0.631578947368421,True
110,0,0,127,0.6666666666666666,True
110,17,17,124,0.45365853658536587,True
110,391,342,110,0.8026315789473685,True
110,2319,2058,129,0.17482517482517482,True
111,0,0,127,0.8181818181818182,True
111,15,17,124,0.8130841121495327,True
111,48,391,110,0.8011695906432749,True
111,1962,2058,133,0.2972972972972973,True
111,2373,2319,129,0.5324675324675324,True
112,0,0,127,0.9090909090909091,True
112,25,15,124,0.25,True
112,48,48,110,0.7953216374269005,True
112,2379,2373,129,0.4387755102040816,True
113,0,0,127,0.9090909090909091,True
113,26,25,124,0.425531914893617,True
113,48,48,110,0.7720588235294118,True
113,2384,2379,129,0.06790697674418604,True
114,0,0,127,0.6363636363636364,True
114,28,26,124,0.3282442748091603,True
114,48,48,110,0.5428571428571428,True
114,2392,2384,129,0.5432558139534883,True
115,0,0,127,0.8571428571428571,True
115,30,28,124,0.6785714285714286,True
115,48,48,110,0.3333333333333333,True
115,2360,2355,137,0.4146341463414634,True
115,2398,2392,129,0.4126712328767123,True
116,32,30,124,0.2894736842105263,True
116,1592,1689,138,0.1111111111111111,False
116,2373,2360,137,0.03773584905660377,True
116,2400,2398,129,0.3070539419087137,True
117,278,32,124,0.022727272727272728,True
117,752,801,140,0.5680473372781065,False
117,2400,2400,129,0.46835443037974683,True
