method,SNS,SNS_nontrivial,TW1,TW3,distance_NRMSE,pair_change_NRMSE,pair_change_SSE,pair_change_count,TD,TW1_frames,TW3_frames
TMTM,0.1364750855601469,0.17059385695018361,0.7039682539682542,0.7936507936507936,0.8579197266619875,0.033336783190856825,13281.748781719485,271,282.1538461538462,27,3
ST-MTM,0.06436551634457119,0.08045689543071398,0.9226631393298059,0.9365079365079364,0.28242999991827156,0.05279714387970195,33314.15019439672,271,780.7123005934789,27,3
TMTM-SNS-oracle,0.08604686808944036,0.10755858511180044,0.87826278659612,0.8968253968253969,0.8507536255653783,0.03206991663815311,12291.461987986668,271,927.230769230769,27,3
Free-SNS-oracle,0.06008633830721658,0.07510792288402073,0.9153880070546738,0.9444444444444445,0.27596907151888095,0.0676734192841528,54732.35320826985,271,6254.796473825046,27,3
Same-history-SNS-oracle,0.06420649073144964,0.08025811341431205,0.9103174603174602,0.9365079365079364,0.28397822144106766,0.06486801536765986,50288.54868734004,271,1064.1681413503177,27,3
JOLT-Guarded,0.0637242188374545,0.07965527354681812,0.9242063492063493,0.9365079365079364,0.27941972974707413,0.04929408459573942,29040.05887223012,271,1957.3687270557334,27,3
JOLT-TD-Guarded,0.06436551634457119,0.08045689543071398,0.9226631393298059,0.9365079365079364,0.28242999991827156,0.05279714387970195,33314.15019439672,271,780.7123005934789,27,3
Guarded-framewise,0.06032065897425894,0.07540082371782367,0.9317460317460317,0.9444444444444445,0.27648279911756296,0.05846100014201808,40845.13748177156,271,6850.449105641111,27,3
TMTM-Overlap-DP,0.11194273987685185,0.13992842484606483,0.7798059964726631,0.8174603174603173,0.8549518709258926,0.030657949249431857,11232.956634397236,271,143.23076923076928,27,3
