method,SNS,SNS_nontrivial,TW1,TW3,distance_NRMSE,pair_change_NRMSE,pair_change_SSE,pair_change_count,TD,TW1_frames,TW3_frames,resolution,topology_failed_frames,collapsed_width_frames
TMTM,0.1364750855601469,0.17059385695018361,0.7039682539682542,0.7936507936507936,0.8579197266619875,0.033336783190856825,13281.748781719485,271,282.1538461538462,27,3,196,[],0
ST-MTM,0.06424578990800402,0.08030723738500502,0.9211199294532628,0.9365079365079364,0.28197747379598886,0.05206893031880346,32401.5056701607,271,778.5111388745385,27,3,196,[],40
TMTM-SNS-oracle,0.08604686808944036,0.10755858511180044,0.87826278659612,0.8968253968253969,0.8507536255653783,0.03206991663815311,12291.461987986668,271,927.230769230769,27,3,196,[],0
Free-SNS-oracle,0.060153306118078564,0.0751916326475982,0.9123015873015873,0.9444444444444445,0.2761200787016977,0.06772283508109535,54812.31459811438,271,6243.7259660722275,27,3,196,[],32
Same-history-SNS-oracle,0.06407236893639429,0.08009046117049286,0.9103174603174602,0.9365079365079364,0.28336046737607884,0.06398789348181695,48933.18751683567,271,1068.9751646585312,27,3,196,[],40
JOLT-Guarded,0.06390451987774422,0.07988064984718027,0.9138447971781305,0.9365079365079364,0.2796997903416856,0.05000014065006028,29877.918092529966,271,1959.3817696814476,27,3,196,[],32
JOLT-TD-Guarded,0.06424578990800402,0.08030723738500502,0.9211199294532628,0.9365079365079364,0.28197747379598886,0.05206893031880346,32401.5056701607,271,778.5111388745385,27,3,196,[],40
Guarded-framewise,0.0603857876765847,0.07548223459573088,0.9286596119929454,0.9444444444444445,0.27664115038224363,0.0585951814798345,41032.85048204607,271,6832.859009470069,27,3,196,[],31
TMTM-Overlap-DP,0.11194273987685185,0.13992842484606483,0.7798059964726631,0.8174603174603173,0.8549518709258926,0.030657949249431857,11232.956634397236,271,143.23076923076928,27,3,196,[],0
