t,rmse_hPa,max_change_hPa,input_min_hPa,smoothed_min_hPa
0,0.9517811597561293,7.071540879853615,993.4428945411686,998.9060595640648
1,0.9187092614775673,4.786921970892763,994.9579986860065,997.8213993763193
2,1.0883771173892753,6.4201248418467,993.2458413580358,998.9780069432635
3,1.2738862597086251,7.402733375136677,984.4158256182591,988.5759154509277
4,1.315630397916148,10.043744336587906,971.7734091670403,975.8227220141091
5,1.2619725245035764,8.270901732602283,978.7163841970148,986.1501390804339
6,1.5497569551028993,9.542482516549626,970.315581534567,979.1845012835637
7,1.5083429428341477,8.789791285568185,976.7235505761543,983.3542050065315
8,1.1546091485559338,6.772969050737743,988.9808355632441,993.8300152924336
9,1.4337304810069678,12.480941067343451,967.305585725165,979.6309924381218
10,1.264080150577084,8.983783002483278,963.7333624944159,971.5977948214035
11,1.496152092591718,10.592805308803804,971.6985165274108,977.5872783522816
12,1.3420758848624965,11.516269255716452,971.5311069888709,976.1578251505888
13,1.6230302481400383,9.452016321342853,967.6397522475071,973.6073660317618
14,1.3368636646085235,11.188435840564352,953.557493833193,962.9137182318112
15,1.2212064710736716,6.5345701852818365,957.427470296381,961.9925989339
16,1.1778112102004352,6.651225421793242,973.8041957158887,976.3832951710117
17,1.3758622476928033,12.873257504422781,957.8132929587247,970.2528606092006
18,1.1036675944394811,6.51374478811158,979.2728424814734,982.7935169462459
19,1.3474227534787764,9.78920945876007,965.7900405742539,974.406246767566
20,1.4921238367870908,10.653230727945243,967.4046388367645,977.7913740538401
21,1.1915297267151892,7.955821329539162,974.9842107872596,980.9323321520462
22,1.215947086008209,6.47176548659786,966.8986727348697,971.2766257482768
23,1.1676687296761976,5.732312794473273,975.6120364728162,979.3373570699491
24,1.2159509174820713,6.446328408307181,980.264494270676,984.4222052155507
25,1.4776512592275444,8.221954194473938,973.7231982799137,979.9134953223241
26,1.531091962108252,9.615849379997599,977.544633150602,982.0804736796059
27,1.298620880938813,7.271540504783502,985.4282976848435,990.9961706534484
28,1.3502945125674766,16.00291169269576,978.0781628988877,991.7756181376903
29,1.4135524728083453,8.556473897000501,978.9147868665959,985.5581909814797
30,1.3739952486793783,6.825797700175258,977.628360077934,983.6675425200001
31,1.2677678127173637,8.278733082504573,963.4586197151399,970.8288682364645
32,1.2098139529080587,5.9839221262701585,970.1091962799927,975.8255306820181
33,1.0988011947209542,6.427110909332441,984.1680430711982,987.033770683905
34,1.3495055540659928,6.400382092812606,978.1652116028204,983.729699505398
35,1.210941234687237,6.30204369569185,981.9516136548397,987.0952468536626
36,1.4061099119867817,6.877116648769061,971.5394669176056,977.5278693234208
37,1.4875764329339756,7.696453567130902,957.2252227658452,964.7563590066969
38,1.718887363781503,14.456792697839546,945.4733041930057,959.9300968908452
39,1.5712902748242379,10.901472046448816,947.6990493648946,955.6294631629928
40,1.3092080759451774,6.964866043844836,959.7546680269114,965.5060550008709
41,1.264393190154264,10.739706782998837,971.0106819763928,981.3792533703552
42,1.0439620396168545,6.186665682472949,984.7644104692667,987.2063365583454
43,1.2128073060076041,7.677256630556371,978.4721187430333,986.1493753735897
44,1.2441965339186312,10.20928953061707,955.1410560088559,963.735868507274
45,1.206103817106132,6.842768326829628,970.8460052032964,974.3018357216841
46,1.36260010101256,9.900596462756766,969.5776198289653,978.1349796179908
47,1.5538213488813244,17.19972064728165,960.0535485712915,976.7538996130776
48,1.3459944242271245,13.219723240807411,961.9628950785024,974.2466987246139
49,1.337679925250256,6.852493537437681,968.0389238511332,973.3625026584265
50,1.2645813464744133,8.68096166087821,963.8471567619345,972.4761357816261
51,1.4949009491514629,9.159928119107917,949.782816902565,958.4235944531655
52,1.312189521711605,11.936181236132029,944.17045077727,955.2771535569788
53,1.1969664382886307,8.241874174276518,959.3306695902277,965.3479855166551
54,1.480227698520997,10.248134409775048,951.9588988344381,960.9843690608433
55,1.5638223816019656,10.438495637611709,971.5346564096047,980.4793221367025
56,1.203529604553296,8.510930387418966,983.2572916518594,989.6721999430192
57,1.0000771710762368,6.193892644234893,994.0430501906491,996.0749526653424
58,1.2018184717357634,5.039476705125821,998.5809276617952,1001.8034466782633
