Dataset,Method,SNS,TW,TD,Runtime_seconds
Ring,TMTM,0.1364750855601469,0.7936507936507936,282.1538461538462,0.02706470899283886
Ring,ST-MTM,0.06436551634457119,0.9365079365079364,780.7123005934789,0.12352587492205203
Ring,My Method,0.14682143845999573,0.7063492063492064,867.9333601377368,0.46005558304023
